year,unit_id,name,unit_type,admin_parent,population,urban_pop,rural_pop,urban_share,area_km2,density,rail_length_km,rail_density_km_1000,rail_segments_count,population_source_year,population_source_unit,population_basis,population_quality,population_method,population_note,population_source,population_reconstruction_version,population_recalc_note,urban_pop_method,urban_pop_source,merged_city_names_v114
1700,adm_1700_001,Туруханский уезд,уезд,Уездная сеть Сибири,,,,,2301758.814,,0,0,0,,,,,,,,,,,,
1700,adm_1700_002,Берёзовский уезд,уезд,Уездная сеть Сибири,,,,,769440.272,,0,0,0,,,,,,,,,,,,
1700,adm_1700_003,Енисейский уезд,уезд,Уездная сеть Сибири,,,,,421466.86,,0,0,0,,,,,,,,,,,,
1700,adm_1700_004,Илимский уезд,уезд,Уездная сеть Сибири,,,,,174075.497,,0,0,0,,,,,,,,,,,,
1700,adm_1700_005,Иркутский уезд,уезд,Уездная сеть Сибири,,,,,28277.384,,0,0,0,,,,,,,,,,,,
1700,adm_1700_006,Тобольский уезд,уезд,Уездная сеть Сибири,,,,,110626.092,,0,0,0,,,,,,,,,,,,
1700,adm_1700_007,Нарымский уезд,уезд,Уездная сеть Сибири,,,,,91325.05,,0,0,0,,,,,,,,,,,,
1700,adm_1700_008,Кетский уезд,уезд,Уездная сеть Сибири,,,,,61710.85,,0,0,0,,,,,,,,,,,,
1700,adm_1700_009,Сургутский уезд,уезд,Уездная сеть Сибири,,,,,304141.098,,0,0,0,,,,,,,,,,,,
1700,adm_1700_010,Пелымский уезд,уезд,Уездная сеть Сибири,,,,,88785.098,,0,0,0,,,,,,,,,,,,
1700,adm_1700_011,Туринский уезд,уезд,Уездная сеть Сибири,,,,,18085.892,,0,0,0,,,,,,,,,,,,
1700,adm_1700_012,Верхотурский уезд,уезд,Уездная сеть Сибири,,,,,105008.893,,0,0,0,,,,,,,,,,,,
1700,adm_1700_013,Тюменский уезд,уезд,Уездная сеть Сибири,,,,,128989.777,,0,0,0,,,,,,,,,,,,
1700,adm_1700_014,Безымянный объект №14,уезд,Уездная сеть Сибири,,,,,0.0,,0,0,0,,,,,,,,,,,,
1700,adm_1700_015,Безымянный объект №15,уезд,Уездная сеть Сибири,,,,,0.013,,0,0,0,,,,,,,,,,,,
1700,adm_1700_016,Красноярский уезд,уезд,Уездная сеть Сибири,,,,,229564.334,,0,0,0,,,,,,,,,,,,
1700,adm_1700_017,Томский уезд,уезд,Уездная сеть Сибири,,,,,188242.272,,0,0,0,,,,,,,,,,,,
