year,v100_normal_features,upper_ate_count_v100,middle_ate_count_v100,parent_ate_count,avg_lower_units_per_upper_ate,avg_lower_units_per_parent_ate,avg_area_upper_ate_km2,avg_area_middle_ate_km2,avg_area_parent_ate_km2
1700,17,1,1,1,17.0,17.0,5308432.528,5308432.528,5308432.528
1719,25,1,3,4,25.0,6.25,11146077.264,1649094.777,2786519.316
1724,25,1,4,5,25.0,5.0,11146077.264,1236821.083,2229215.453
1727,16,1,2,3,16.0,5.333333,10905352.18,2353279.623,3635117.393
1745,15,1,3,3,15.0,5.0,5109151.132,1703050.377,1703050.377
1765,17,3,3,4,5.666667,4.25,1703590.163,1689096.358,1277692.622
1780,4,1,1,1,4.0,4.0,700532.857,700532.857,700532.857
1783,21,2,2,2,10.5,10.5,2429567.955,2089012.169,2429567.955
1798,17,1,3,1,17.0,17.0,4849294.941,1616431.647,4849294.941
1805,18,2,0,2,9.0,9.0,2428389.351,,2428389.351
1809,17,2,0,2,8.5,8.5,2468744.157,,2468744.157
1821,17,2,0,2,8.5,8.5,2420783.839,,2420783.839
1838,19,3,0,3,6.333333,6.333333,786580.928,,786580.928
1848,15,2,0,2,7.5,7.5,1164671.51,,1164671.51
1855,25,4,0,4,6.25,6.25,892655.693,,892655.693
1876,29,5,0,5,5.8,5.8,654871.015,,654871.015
1897,28,4,4,4,7.0,7.0,823311.292,823311.292,823311.292
1914,27,4,4,4,6.75,6.75,824534.33,824534.33,824534.33
1918,26,1,3,4,26.0,6.5,2230009.062,146563.584,557502.265
1923,27,1,5,6,27.0,4.5,2188393.25,419636.332,364732.208
1926,265,2,18,18,132.5,14.722222,1171378.375,130153.153,130153.153
1930,191,2,15,15,95.5,12.733333,1154580.985,153944.131,153944.131
1939,201,3,3,3,67.0,67.0,743766.663,743766.663,743766.663
1947,219,6,3,9,36.5,24.333333,396104.04,444626.343,264069.36
1959,218,6,3,9,36.333333,24.222222,394760.023,446534.403,263173.349
1964,126,6,3,9,21.0,14.0,412786.08,473517.693,275190.72
1970,191,6,3,9,31.833333,21.222222,394806.522,437286.14,263204.348
1979,202,6,3,9,33.666667,22.444444,394797.463,437330.117,263198.309
1989,220,6,3,9,36.666667,24.444444,394878.137,437375.853,263252.091
2021,278,8,2,10,34.75,27.8,305065.372,609361.06,244052.298
