year,features_in_population_scope,nonzero_population_features,old_total_population,new_total_population,difference,small_polygon_population_under_50_km2,topology_excluded_population_included,old_urban_population,new_urban_population,old_rural_population,new_rural_population,new_urban_share
1700,19,0,,0.0,0,0,0,,,,,
1719,28,0,,0.0,0,0,0,,,,,
1724,28,0,,0.0,0,0,0,,,,,
1727,18,0,,0.0,0,0,0,,,,,
1745,15,0,,0.0,0,0,0,,,,,
1765,17,0,,0.0,0,0,0,,,,,
1780,5,0,,0.0,0,0,0,,,,,
1783,22,0,,0.0,0,0,0,,,,,
1798,18,0,,0.0,0,0,0,,,,,
1805,18,0,,0.0,0,0,0,,,,,
1809,17,0,,0.0,0,0,0,,,,,
1821,17,0,,0.0,0,0,0,,,,,
1838,19,4,48366.0,48366.0,0.0,0,0,,,,,
1848,15,0,,0.0,0,0,0,,,,,
1855,26,0,,0.0,0,0,0,,,,,
1876,29,0,,0.0,0,0,0,,,,,
1897,29,26,4727920.0,4727920.0,0.0,0,0,360292.0,360292.0,4288544.0,4367628.0,0.076205
1914,28,27,8544477.0,8544477.0,0.0,0,0,788274.0,788274.0,7756203.0,7756203.0,0.092255
1918,52,46,5917058.0,6504527.0,587469.0,587469.0,587469.0,0.0,587300.0,5917058.0,5917227.0,0.090291
1923,49,45,6202118.0,6793818.0,591700.0,591700.0,591700.0,0.0,591700.0,6202118.0,6202118.0,0.087094
1926,287,286,8175021.0,8929177.0,754156.0,754156.0,754156.0,0.0,754156.0,8175021.0,8175021.0,0.08446
1930,219,218,6698022.0,7644401.0,946379.0,1032911.0,946379.0,86531.0,1032910.0,6611491.0,6611491.0,0.13512
1939,241,241,6657079.0,8919779.0,2262700.0,2334554.0,2262700.0,71854.0,2334554.0,6585225.0,6585225.0,0.261728
1947,252,251,6222406.0,8604429.0,2382023.0,2382023.0,2382023.0,1119177.0,3501200.0,5103229.0,5103229.0,0.406907
1959,250,250,6832775.0,11251563.0,4418788.0,4418788.0,4418788.0,1333758.0,5751323.0,5499017.0,5500240.0,0.511158
1964,158,158,6700548.0,11598183.0,4897635.0,4897635.0,4897635.0,1171526.0,6069161.0,5529022.0,5529022.0,0.523286
1970,235,235,6103723.0,12014127.0,5910404.0,5928687.0,5910404.0,,,,,
1979,247,247,7743503.0,12886229.0,5142726.0,5157688.0,5142726.0,,,,,
1989,221,221,15003215.0,15003215.0,0.0,110411.0,0,10920662.0,10920662.0,4082553.0,4082553.0,0.727888
2021,288,288,14834721.0,15466534.0,631813.0,661574.0,631813.0,10495417.0,11127166.0,3917075.0,4339368.0,0.719435
