year,metric,before,after,delta
1926,ate_total_count,287,241,-46
1926,upper_ate_count,2,2,0
1926,middle_ate_count,18,15,-3
1926,lower_ate_count,265,219,-46
1926,total_area_km2,2343431.47,2245262.24,-98169.22999999998
1926,total_population,8929177.0,7492496.0,-1436681.0
1926,urban_population,754156.0,754156.0,0.0
1926,rural_population,8175021.0,6738340.0,-1436681.0
1926,population_density,3.8103,3.337025,-0.47327499999999967
1926,rail_length_km_total,7442.97,6057.37,-1385.6000000000004
1926,avg_adjacency,5.381132,5.39726,0.016128000000000142
1926,nodes,265,219,-46
1926,edges,713,591,-122
1926,components,1,1,0
1926,graph_density,0.020383,0.024758,0.004375
1926,bridges,1,1,0
1926,articulation_points,1,1,0
1926,avg_lower_units_per_upper_ate,132.5,109.5,-23.0
1926,avg_area_upper_ate_km2,1171378.375,1122293.76,-49084.61499999999
1930,ate_total_count,219,213,-6
1930,upper_ate_count,2,2,0
1930,middle_ate_count,15,14,-1
1930,lower_ate_count,195,189,-6
1930,total_area_km2,2309247.89,2270897.13,-38350.76000000024
1930,total_population,7644401.0,7595023.0,-49378.0
1930,urban_population,1032910.0,1032910.0,0.0
1930,rural_population,6611491.0,6562113.0,-49378.0
1930,population_density,3.310342,3.344503,0.03416100000000011
1930,rail_length_km_total,0.0,0.0,0.0
1930,avg_adjacency,5.405128,5.375661,-0.029467000000000354
1930,nodes,195,189,-6
1930,edges,527,508,-19
1930,components,1,1,0
1930,graph_density,0.027861,0.028594,0.000733000000000001
1930,bridges,4,4,0
1930,articulation_points,4,4,0
1930,avg_lower_units_per_upper_ate,95.5,92.5,-3.0
1930,avg_area_upper_ate_km2,1154580.985,1135405.605,-19175.38000000012
2021,ate_total_count,288,262,-26
2021,upper_ate_count,8,7,-1
2021,middle_ate_count,2,2,0
2021,lower_ate_count,280,254,-26
2021,total_area_km2,2440548.49,2368979.99,-71568.5
2021,total_population,15466534.0,14647964.0,-818570.0
2021,urban_population,11127166.0,11000753.0,-126413.0
2021,rural_population,4339368.0,3647211.0,-692157.0
2021,population_density,6.337319,6.183237,-0.15408199999999983
2021,rail_length_km_total,17748.21,16469.51,-1278.7000000000007
2021,avg_adjacency,4.95,4.96063,0.010629999999999917
2021,nodes,280,254,-26
2021,edges,693,630,-63
2021,components,1,1,0
2021,graph_density,0.017742,0.019607,0.0018649999999999986
2021,bridges,26,25,-1
2021,articulation_points,22,21,-1
2021,avg_lower_units_per_upper_ate,34.75,36.0,1.25
2021,avg_area_upper_ate_km2,305065.372,338422.069,33356.697000000044
