year,unit_id,name,unit_type,admin_parent,admin_intermediate,admin_superparent,area_km2,population,urban_pop,topology_excluded,excluded_by
1926,adm_1926_100,Звериноголовский,район,Курганский округ,Курганский округ,Уральская область,2785.26,30709.0,0,False,Курганский округ
1926,adm_1926_115,Половинский,район,Курганский округ,Курганский округ,Уральская область,2075.27,27490.0,0,False,Курганский округ
1926,adm_1926_117,Глядянский,район,Курганский округ,Курганский округ,Уральская область,1972.54,27398.0,0,False,Курганский округ
1926,adm_1926_118,Лопатинский,район,Курганский округ,Курганский округ,Уральская область,2297.61,24875.0,0,False,Курганский округ
1926,adm_1926_120,Куртамышский,район,Курганский округ,Курганский округ,Уральская область,1685.56,30302.0,0,False,Курганский округ
1926,adm_1926_126,Утятский,район,Курганский округ,Курганский округ,Уральская область,1710.57,27003.0,0,False,Курганский округ
1926,adm_1926_139,Макушинский,район,Курганский округ,Курганский округ,Уральская область,2599.1,36619.0,0,False,Курганский округ
1926,adm_1926_141,Варгашинский,район,Курганский округ,Курганский округ,Уральская область,1628.87,25460.0,0,False,Курганский округ
1926,adm_1926_143,Лебяжьевский,район,Курганский округ,Курганский округ,Уральская область,2094.39,34385.0,0,False,Курганский округ
1926,adm_1926_152,Юргамышский,район,Курганский округ,Курганский округ,Уральская область,2019.01,39534.0,0,False,Курганский округ
1926,adm_1926_154,Чаусовский,район,Курганский округ,Курганский округ,Уральская область,2882.63,78399.0,0,False,Курганский округ
1926,adm_1926_157,Песчанский,район,Шадринский округ,Шадринский округ,Уральская область,1367.47,28230.0,0,False,Шадринский округ
1926,adm_1926_167,Мокроусовский,район,Курганский округ,Курганский округ,Уральская область,2399.4,25626.0,0,False,Курганский округ
1926,adm_1926_169,Батуринский,район,Шадринский округ,Шадринский округ,Уральская область,1251.75,26069.0,0,False,Шадринский округ
1926,adm_1926_173,Верхтеченский,район,Шадринский округ,Шадринский округ,Уральская область,981.38,24169.0,0,False,Шадринский округ
1926,adm_1926_176,Марайский,район,Курганский округ,Курганский округ,Уральская область,2095.37,33147.0,0,False,Курганский округ
1926,adm_1926_180,Каргопольский,район,Шадринский округ,Шадринский округ,Уральская область,1863.48,32004.0,0,False,Шадринский округ
1926,adm_1926_183,Белоярский,район,Шадринский округ,Шадринский округ,Уральская область,1244.52,30908.0,0,False,Шадринский округ
1926,adm_1926_188,Чашинский,район,Курганский округ,Курганский округ,Уральская область,1618.13,27726.0,0,False,Курганский округ
1926,adm_1926_189,Белозерский,район,Курганский округ,Курганский округ,Уральская область,2466.49,41783.0,0,False,Курганский округ
1926,adm_1926_192,Исетский,район,Шадринский округ,Шадринский округ,Уральская область,1519.33,49231.0,0,False,Шадринский округ
1926,adm_1926_195,Багарякский,район,Шадринский округ,Шадринский округ,Уральская область,1530.06,41182.0,0,False,Шадринский округ
1926,adm_1926_202,Долматовский,район,Шадринский округ,Шадринский округ,Уральская область,1474.49,44233.0,0,False,Шадринский округ
1926,adm_1926_203,Катайский,район,Шадринский округ,Шадринский округ,Уральская область,1771.34,42808.0,0,False,Шадринский округ
1926,adm_1926_206,Мехонский,район,Шадринский округ,Шадринский округ,Уральская область,1597.08,25584.0,0,False,Шадринский округ
1926,adm_1926_207,Ольховский,район,Шадринский округ,Шадринский округ,Уральская область,1974.85,40647.0,0,False,Шадринский округ
1926,adm_1926_210,Покровский,район,Шадринский округ,Шадринский округ,Уральская область,1041.91,31570.0,0,False,Шадринский округ
1926,adm_1926_222,Четкаринский,район,Шадринский округ,Шадринский округ,Уральская область,1502.87,23088.0,0,False,Шадринский округ
1926,adm_1926_223,Каменский,район,Шадринский округ,Шадринский округ,Уральская область,1751.65,57380.0,0,False,Шадринский округ
1926,adm_1926_224,Буткинский,район,Шадринский округ,Шадринский округ,Уральская область,1609.04,25878.0,0,False,Шадринский округ
1926,adm_1926_237,Курьинский,район,Шадринский округ,Шадринский округ,Уральская область,1314.4,32889.0,0,False,Шадринский округ
1926,adm_1926_241,Камышловский,район,Шадринский округ,Шадринский округ,Уральская область,1905.52,59611.0,0,False,Шадринский округ
1926,adm_1926_242,Пышминский,район,Шадринский округ,Шадринский округ,Уральская область,1174.27,16155.0,0,False,Шадринский округ
1926,adm_1926_251,Заводоирбитский (Ирбитско-Заводский),район,Ирбитский округ,Ирбитский округ,Уральская область,1473.59,20458.0,0,False,Ирбитский округ
1926,adm_1926_253,Байкаловский,район,Ирбитский округ,Ирбитский округ,Уральская область,1088.3,23134.0,0,False,Ирбитский округ
1926,adm_1926_254,Зайковский,район,Ирбитский округ,Ирбитский округ,Уральская область,1360.38,18150.0,0,False,Ирбитский округ
1926,adm_1926_259,Еланский,район,Ирбитский округ,Ирбитский округ,Уральская область,1183.74,24096.0,0,False,Ирбитский округ
1926,adm_1926_262,Ирбитский,район,Ирбитский округ,Ирбитский округ,Уральская область,1939.32,26242.0,0,False,Ирбитский округ
1926,adm_1926_263,Невьянский,район,Ирбитский округ,Ирбитский округ,Уральская область,1331.68,25610.0,0,False,Ирбитский округ
1926,adm_1926_267,Слободотуринский,район,Ирбитский округ,Ирбитский округ,Уральская область,2571.44,23472.0,0,False,Ирбитский округ
