year,context,area_count_middle_ate,area_cv_middle_ate,area_gini_middle_ate,area_p90_p10_ratio_middle_ate,area_count_lower_ate,area_cv_lower_ate,area_gini_lower_ate,area_p90_p10_ratio_lower_ate,area_mean_lower_ate_km2,area_min_lower_ate_km2,area_max_lower_ate_km2
1700,Сибирский приказ / Русское царство,1,0.0,0.0,1.0,17,1.68882,0.615152,11.598793,312260.737,18085.892,2301758.814
1719,Сибирская губерния,4,0.975396,0.513392,53.841085,25,2.806892,0.810092,52.61016,445843.091,900.242,6198792.934
1724,Сибирская губерния,5,1.029891,0.55041,44.247386,25,2.806892,0.810092,52.61016,445843.091,900.242,6198792.934
1727,Сибирская губерния,3,0.50386,0.254681,2.542323,16,2.221352,0.745789,16.971575,681584.511,18085.892,6198792.934
1745,Сибирская губерния,3,0.702096,0.361325,5.565341,15,1.536285,0.597503,15.75562,340610.075,14694.444,2208785.093
1765,Горнозаводское ведомство,1,0.0,0.0,1.0,1,0.0,0.0,1.0,52630.906,52630.906,52630.906
1765,Оренбургская губерния,1,0.0,0.0,1.0,1,0.0,0.0,1.0,43481.416,43481.416,43481.416
1765,Сибирская губерния,2,0.086689,0.043344,1.149038,15,1.548817,0.601558,17.301502,334310.544,11596.271,2183359.3
1780,Сибирская губерния / Колыванская область,1,0.0,0.0,1.0,4,0.306529,0.164205,1.920752,175133.214,91658.046,240907.313
1783,Колыванское наместничество,0,,,,5,0.227894,0.124503,1.662101,136222.315,85156.823,172153.458
1783,Тобольское наместничество,2,0.372371,0.186186,1.848584,16,1.744062,0.674171,23.682335,261126.521,18851.285,1887536.815
1798,Тобольская губерния,3,0.574334,0.304319,3.238426,17,1.528454,0.612204,22.503155,285252.644,19397.07,1888733.017
1805,Тобольская губерния,0,,,,9,1.751879,0.642086,11.519451,141799.709,19397.069,839723.125
1805,Томская губерния,0,,,,9,1.498146,0.608388,10.094726,397842.369,147.141,2042942.873
1809,Тобольская губерния,0,,,,9,1.665253,0.624929,10.281127,156533.131,21496.33,886807.009
1809,Томская губерния,0,,,,8,1.356303,0.577277,11.088244,441086.267,83150.767,1976028.632
1821,Тобольская губерния,0,,,,9,1.748296,0.64099,11.519451,142042.157,19397.069,839723.125
1821,Томская губерния,0,,,,8,1.289324,0.553341,10.059503,445398.534,95420.995,1914728.275
1838,Омская область,0,,,,4,0.445918,0.233378,2.476984,52605.638,31953.42,89413.251
1838,Тобольская губерния,0,,,,9,1.790416,0.659158,13.104059,155450.632,19397.069,936893.833
1838,Томская губерния,0,,,,6,0.593764,0.333454,5.374522,125044.091,26689.651,225600.885
1848,Тобольская губерния,0,,,,9,1.661498,0.626253,12.549984,159838.952,18521.267,903577.117
1848,Томская губерния,0,,,,6,0.660215,0.333374,3.934452,148465.408,70182.95,321430.475
1855,Область Сибирских Киргизов,0,,,,5,0.797702,0.404445,5.755012,166928.062,50014.015,418011.771
1855,Семипалатинская область,0,,,,5,0.670884,0.369444,5.345456,95241.828,12081.513,202342.875
1855,Тобольская губерния,0,,,,9,1.765826,0.645971,11.809401,155870.559,18521.268,929195.763
1855,Томская губерния,0,,,,6,0.716755,0.346139,3.762204,142823.047,70301.039,352353.984
1876,Акмолинская область,0,,,,6,0.83389,0.432267,6.787229,94090.375,81.944,248538.512
1876,Верхний уровень не указан,0,,,,1,0.0,0.0,1.0,75.468,75.468,75.468
