year,area_count_upper_ate,area_count_middle_ate,area_count_lower_ate,area_mean_upper_ate_km2,area_mean_middle_ate_km2,area_mean_lower_ate_km2,area_median_upper_ate_km2,area_median_middle_ate_km2,area_median_lower_ate_km2,area_stddev_upper_ate_km2,area_stddev_middle_ate_km2,area_stddev_lower_ate_km2,area_cv_upper_ate,area_cv_middle_ate,area_cv_lower_ate,area_gini_upper_ate,area_gini_middle_ate,area_gini_lower_ate,area_p90_p10_ratio_upper_ate,area_p90_p10_ratio_middle_ate,area_p90_p10_ratio_lower_ate,area_q75_q25_ratio_upper_ate,area_q75_q25_ratio_middle_ate,area_q75_q25_ratio_lower_ate,area_range_ratio_upper_ate,area_range_ratio_middle_ate,area_range_ratio_lower_ate,area_min_upper_ate_km2,area_min_middle_ate_km2,area_min_lower_ate_km2,area_max_upper_ate_km2,area_max_middle_ate_km2,area_max_lower_ate_km2,area_context_count_v105,area_cv_lower_within_upper_mean,area_cv_lower_within_upper_max,area_gini_lower_within_upper_mean,area_gini_lower_within_upper_max,area_p90_p10_lower_within_upper_mean,area_p90_p10_lower_within_upper_max
1700,1,1,17,5308432.528,5308432.528,312260.737,5308432.528,5308432.528,128989.777,0.0,0.0,527352.055,0.0,0.0,1.68882,0.0,0.0,0.615152,1.0,1.0,11.598793,1.0,1.0,2.513706,1.0,1.0,127.268194,5308432.528,5308432.528,18085.892,5308432.528,5308432.528,2301758.814,1,1.68882,1.68882,0.615152,0.615152,11.598793,11.598793
1719,1,4,25,11146077.264,2786519.316,445843.091,11146077.264,2430393.294,90423.943,0.0,2717960.73,1251433.579,0.0,0.975396,2.806892,0.0,0.513392,0.810092,1.0,53.841085,52.61016,1.0,36.99785,9.417258,1.0,71.664217,6885.696217,11146077.264,86497.742,900.242,11146077.264,6198792.934,6198792.934,1,2.806892,2.806892,0.810092,0.810092,52.61016,52.61016
1724,1,5,25,11146077.264,2229215.453,445843.091,11146077.264,1439643.586,90423.943,0.0,2295848.674,1251433.579,0.0,1.029891,2.806892,0.0,0.55041,0.810092,1.0,44.247386,52.61016,1.0,21.182468,9.417258,1.0,71.664217,6885.696217,11146077.264,86497.742,900.242,11146077.264,6198792.934,6198792.934,1,2.806892,2.806892,0.810092,0.810092,52.61016,52.61016
1727,1,3,16,10905352.18,3635117.393,681584.511,10905352.18,2673847.792,153521.384,0.0,1831590.959,1514039.239,0.0,0.50386,2.221352,0.0,0.254681,0.745789,1.0,2.542323,16.971575,1.0,1.885165,2.649102,1.0,3.049519,342.741897,10905352.18,2032711.454,18085.892,10905352.18,6198792.934,6198792.934,1,2.221352,2.221352,0.745789,0.745789,16.971575,16.971575
1745,1,2,14,5066082.09,2533041.045,361863.006,5066082.09,2533041.045,219205.938,0.0,279125.786,535349.279,0.0,0.110194,1.479425,0.0,0.055097,0.58127,1.0,1.193356,16.945766,1.0,1.116619,4.093946,1.0,1.247681,150.314302,5066082.09,2253915.259,14694.444,5066082.09,2812166.831,2208785.093,1,1.479425,1.479425,0.58127,0.58127,16.945766,16.945766
1765,1,2,15,5014658.167,2507329.083,334310.544,5014658.167,2507329.083,193927.366,0.0,217357.093,517785.761,0.0,0.086689,1.548817,0.0,0.043344,0.601558,1.0,1.149038,17.301502,1.0,1.090616,4.7526,1.0,1.189834,188.281155,5014658.167,2289971.991,11596.271,5014658.167,2724686.176,2183359.3,1,1.548817,1.548817,0.601558,0.601558,17.301502,17.301502
1780,1,1,4,700532.857,700532.857,175133.214,700532.857,700532.857,183983.749,0.0,0.0,53683.323,0.0,0.0,0.306529,0.0,0.0,0.164205,1.0,1.0,1.920752,1.0,1.0,1.298188,1.0,1.0,2.628327,700532.857,700532.857,91658.046,700532.857,700532.857,240907.313,1,0.306529,0.306529,0.164205,0.164205,1.920752,1.920752
1783,2,2,21,2429567.955,2089012.169,231387.424,2429567.955,2089012.169,98518.889,1748456.382,777887.753,401353.805,0.719657,0.372371,1.734553,0.359829,0.186186,0.627205,3.713933,1.848584,18.246603,2.124164,1.457563,3.360199,6.134126,2.186596,100.127753,681111.573,1311124.416,18851.285,4178024.338,2866899.922,1887536.815,2,0.985978,1.744062,0.399337,0.674171,12.672218,23.682335
1798,1,3,17,4849294.941,1616431.647,285252.644,4849294.941,1315756.399,120832.324,0.0,928371.162,435995.478,0.0,0.574334,1.528454,0.0,0.304319,0.612204,1.0,3.238426,22.503155,1.0,2.120398,3.547185,1.0,4.354092,97.372078,4849294.941,659969.687,19397.07,4849294.941,2873568.855,1888733.017,1,1.528454,1.528454,0.612204,0.612204,22.503155,22.503155
1805,2,0,18,2428389.351,,269821.039,2428389.351,,100328.735,1152191.966,,474202.615,0.474468,,1.757471,0.237234,,0.674465,2.223592,,27.091856,1.622035,,4.440906,2.805664,,13884.253016,1276197.385,,147.141,3580581.317,,2042942.873,2,1.625012,1.751879,0.625237,0.642086,10.807088,11.519451
1809,2,0,17,2468744.053,,290440.477,2468744.053,,107775.505,1059946.014,,473885.982,0.429346,,1.631611,0.214673,,0.647526,2.046352,,22.686463,1.54671,,4.294815,2.504752,,91.924033,1408798.039,,21496.322,3528690.066,,1976028.614,2,1.510778,1.665253,0.601103,0.624929,10.684686,11.088245
1821,2,0,17,2420783.839,,284798.099,2420783.839,,96263.867,1142404.43,,459090.806,0.471915,,1.611987,0.235958,,0.649758,2.213017,,26.804984,1.617656,,4.285449,2.78727,,98.712247,1278379.41,,19397.069,3563188.269,,1914728.275,2,1.51881,1.748296,0.597166,0.64099,10.789477,11.519451
