year,unit_id,name,admin_parent,admin_intermediate,admin_superparent,area_km2,reason
1700,adm_1700_014,Безымянный объект №14,Уездная сеть Сибири,Уездная сеть Сибири,Сибирский приказ / Русское царство,0.0,area_lt_50_km2_or_missing
1700,adm_1700_015,Безымянный объект №15,Уездная сеть Сибири,Уездная сеть Сибири,Сибирский приказ / Русское царство,0.013,area_lt_50_km2_or_missing
1700,adm_1700_018,Зона слабого контроля в Верхнем Енисее / Хакасии,Вне регулярной уездной сети,Зона слабого контроля,Южно-сибирский фронтир,32754.589,special_or_uncertain_status
1719,adm_1719_004,Спорная зона Берёзовского / Мангазейского уездов,Тобольская провинция,Тобольская провинция,Сибирская губерния,133682.37,special_or_uncertain_status
1719,adm_1719_005,Спорная зона Мангазейского / Берёзовского уездов,Тобольская провинция,Тобольская провинция,Сибирская губерния,47614.565,special_or_uncertain_status
1719,adm_1719_007,"Барабинская степь (уезд не указан, на территории находятся крепость Омская и Железинская)",Тобольская провинция,Территория без устойчивого уездного деления,Сибирская губерния,176416.566,special_or_uncertain_status
1719,adm_1719_008,Южно-сибирская зона слабого контроля,Тобольская провинция,Зона слабого контроля,Сибирская губерния,0.0,area_lt_50_km2_or_missing
1719,adm_1719_009,"Телеутская степь (уезд не указан, это левобережье оби между иртышом и обью), находятся крепость Семипалатинская, Ямышевская, и крепость Усть-Каменогорск",Тобольская провинция,Территория без устойчивого уездного деления,Сибирская губерния,148988.33,special_or_uncertain_status
1719,adm_1719_016,Неклассифицированные,Хлыновская провинция,Хлыновская провинция,Сибирская губерния,43.401,area_lt_50_km2_or_missing
1719,adm_1719_023,Енисейский уезд,Енисейская провинция,Енисейская провинция,Сибирская губерния,0.003,area_lt_50_km2_or_missing
1719,adm_1719_024,Томский уезд,Тобольская провинция,Тобольская провинция,Сибирская губерния,32.364,area_lt_50_km2_or_missing
1719,adm_1719_026,Зона неустойчивого контроля,Тобольская провинция,Зона неустойчивого контроля,Сибирская губерния,89111.693,special_or_uncertain_status
1724,adm_1724_004,Спорная зона Берёзовского / Мангазейского уездов,Тобольская провинция,Тобольская провинция,Сибирская губерния,133682.37,special_or_uncertain_status
1724,adm_1724_005,Спорная зона Мангазейского / Берёзовского уездов,Тобольская провинция,Тобольская провинция,Сибирская губерния,47614.565,special_or_uncertain_status
1724,adm_1724_007,"Барабинская степь (уезд не указан, на территории находятся крепость Омская и Железинская)",Енисейская провинция,Территория без устойчивого уездного деления,Сибирская губерния,176416.566,special_or_uncertain_status
1724,adm_1724_009,Южно-сибирская зона слабого контроля,Тобольская провинция,Зона слабого контроля,Сибирская губерния,0.0,area_lt_50_km2_or_missing
1724,adm_1724_010,"Телеутская степь (уезд не указан, это левобережье оби между иртышом и обью), находятся крепость Семипалатинская, Ямышевская, и крепость Усть-Каменогорск",Енисейская провинция,Территория без устойчивого уездного деления,Сибирская губерния,148988.33,special_or_uncertain_status
1724,adm_1724_018,Неклассифицированные,Вятская провинция,Вятская провинция,Сибирская губерния,43.401,area_lt_50_km2_or_missing
1724,adm_1724_025,Енисейский уезд,Енисейская провинция,Енисейская провинция,Сибирская губерния,0.003,area_lt_50_km2_or_missing
1724,adm_1724_026,Томский уезд,Енисейская провинция,Енисейская провинция,Сибирская губерния,32.364,area_lt_50_km2_or_missing
1724,adm_1724_028,Зона неустойчивого контроля,Тобольская провинция,Зона неустойчивого контроля,Сибирская губерния,89111.693,special_or_uncertain_status
1727,adm_1727_003,Спорная зона Берёзовского / Мангазейского уездов,Тобольская провинция,Тобольская провинция,Сибирская губерния,47614.565,special_or_uncertain_status
1727,adm_1727_005,Спорная зона Мангазейского / Берёзовского уездов,Тобольская провинция,Тобольская провинция,Сибирская губерния,133682.37,special_or_uncertain_status
1727,adm_1727_007,"Барабинская степь (уезд не указан, на территории находятся крепость Омская и Железинская)",Тобольская провинция,Территория без устойчивого уездного деления,Сибирская губерния,176416.566,special_or_uncertain_status
1727,adm_1727_009,Южно-сибирская зона слабого контроля,Тобольская провинция,Зона слабого контроля,Сибирская губерния,0.0,area_lt_50_km2_or_missing
1727,adm_1727_010,"Телеутская степь (уезд не указан, это левобережье оби между иртышом и обью), находятся крепость Семипалатинская, Ямышевская, и крепость Усть-Каменогорск",Тобольская провинция,Территория без устойчивого уездного деления,Сибирская губерния,148988.33,special_or_uncertain_status
1727,adm_1727_015,Енисейский уезд,Енисейская провинция,Енисейская провинция,Сибирская губерния,0.003,area_lt_50_km2_or_missing
1727,adm_1727_016,Томский уезд,Енисейская провинция,Енисейская провинция,Сибирская губерния,32.364,area_lt_50_km2_or_missing
1727,adm_1727_018,Зона неустойчивого контроля,Тобольская провинция,Зона неустойчивого контроля,Сибирская губерния,89111.693,special_or_uncertain_status
1745,adm_1745_002,Спорная зона Мангазейского уезда,Зона спорной принадлежности,Зона спорной принадлежности,Зона спорной принадлежности,135304.195,special_or_uncertain_status
1745,adm_1745_005,Степь казачьей орды,Степь казачьей орды,Зона слабого контроля,Южно-сибирский фронтир,450006.038,special_or_uncertain_status
1745,adm_1745_011,Колывано-воскресенский горный округ,Колывано-Воскресенское горное ведомство,Колывано-Воскресенское горное ведомство,Сибирская губерния / горное ведомство,67134.111,special_or_uncertain_status
1745,adm_1745_014,Екатеринбургское ведомство,Тобольская провинция,Тобольская провинция,Сибирская губерния,43069.042,v107_stat_scope: Екатеринбургское ведомство не считается обычной АТЕ сопоставимого ряда
1765,adm_1765_002,Мангазейский уезд,Зона спорной принадлежности,Зона спорной принадлежности,Зона спорной принадлежности,123539.026,special_or_uncertain_status
1765,adm_1765_005,Зона неустойчивого контроля,Сибирская губерния,Сибирская губерния,Сибирская губерния,5410.45,special_or_uncertain_status
1765,adm_1765_008,Исетская провинция,Оренбургская губерния,Исетская провинция,Оренбургская губерния,43481.416,v107_stat_scope: Исетская провинция исключена из сопоставимой статистики Западной Сибири
1765,adm_1765_010,Екатеринбургское ведомство,Тобольская провинция,Тобольская провинция,Сибирская губерния,52630.906,v107_stat_scope: Екатеринбургское ведомство не считается обычной АТЕ сопоставимого ряда
1780,adm_1780_001,Енисейская провинция,Колыванская область,Колыванская область,Колыванская область,2518027.727,special_or_uncertain_status
1780,adm_1780_002,Тобольская провинция,Колыванская область,Колыванская область,Колыванская область,1636340.414,special_or_uncertain_status
1780,adm_1780_007,Ирбитский уезд,Колыванская область,Колыванская область,Колыванская область,8020.99,special_or_uncertain_status
1780,adm_1780_008,Часть обозначенная в составе Тобольской провинции в 1775,Колыванская область,Колыванская область,Колыванская область,115111.642,special_or_uncertain_status
1780,adm_1780_009,Волости двоеданцев,Колыванская область,Колыванская область,Колыванская область,6944.367,special_or_uncertain_status
1780,adm_1780_010,Кузнецкий уезд,Колыванская область,Колыванская область,Сибирская губерния / Колыванская область,0.0,area_lt_50_km2_or_missing
1780,adm_1780_011,Волости двоеданцев,Колыванская область,Колыванская область,Колыванская область,4651.417,special_or_uncertain_status
1780,adm_1780_012,Пограничная территория Российской империи и империи Цин,Колыванская область,Колыванская область,Колыванская область,2196.983,special_or_uncertain_status
1783,adm_1783_022,Бийский уезд,Колыванское наместничество,Колыванское наместничество,Колыванское наместничество,0.0,area_lt_50_km2_or_missing
1783,adm_1783_023,Волости двоеданцев,Колыванская область,Колыванская область,Колыванская область,6929.325,special_or_uncertain_status
1783,adm_1783_024,Волости двоеданцев,Колыванская область,Колыванская область,Колыванская область,4651.416,special_or_uncertain_status
1783,adm_1783_025,Пограничная территория между Россией и империей Цин,Колыванская область,Колыванская область,Колыванская область,2196.984,special_or_uncertain_status
1798,adm_1798_002,Неясные границы,Тобольская губерния,Тобольская губерния,Тобольская губерния,52995.033,special_or_uncertain_status
1798,adm_1798_018,Томский уезд,Тобольская губерния,Томская область,Тобольская губерния,0.425,area_lt_50_km2_or_missing
1798,adm_1798_019,Территория со спорным статусом,Тобольская губерния,Тобольская губерния,Тобольская губерния,3607.498,special_or_uncertain_status
1798,adm_1798_022,Волости двоеданцев,Тобольская губерния,Тобольская губерния,Тобольская губерния,8306.172,special_or_uncertain_status
1798,adm_1798_023,Волости двоеданцев,Тобольская губерния,Тобольская губерния,Тобольская губерния,4651.417,special_or_uncertain_status
1805,adm_1805_002,Неясная принадлежность границ,Зона спорной / неясной принадлежности,Зона спорной / неясной принадлежности,Зона спорной / неясной принадлежности,52995.031,special_or_uncertain_status
1805,adm_1805_003,Неясная принадлежность границ,Зона спорной / неясной принадлежности,Зона спорной / неясной принадлежности,Зона спорной / неясной принадлежности,18547.668,special_or_uncertain_status
1805,adm_1805_022,Неясная принадлежность границ,Зона спорной / неясной принадлежности,Зона спорной / неясной принадлежности,Зона спорной / неясной принадлежности,10833.554,special_or_uncertain_status
1805,adm_1805_023,Тарский уезд,Зона спорной / неясной принадлежности,Зона спорной / неясной принадлежности,Зона спорной / неясной принадлежности,1357.483,special_or_uncertain_status
1805,adm_1805_024,Березовский уезд,Зона спорной / неясной принадлежности,Зона спорной / неясной принадлежности,Зона спорной / неясной принадлежности,18507.033,special_or_uncertain_status
1805,adm_1805_025,Нарымский уезд,Зона спорной / неясной принадлежности,Зона спорной / неясной принадлежности,Зона спорной / неясной принадлежности,3732.645,special_or_uncertain_status
1805,adm_1805_026,Волости двоеданцев,Верхний уровень не указан,Верхний уровень не указан,Верхний уровень не указан,12945.699,special_or_uncertain_status
1809,adm_1809_018,Волости двоеданцев,Верхний уровень не указан,Верхний уровень не указан,Верхний уровень не указан,4648.928,special_or_uncertain_status
1809,adm_1809_019,Волости двоеданцев,Верхний уровень не указан,Верхний уровень не указан,Верхний уровень не указан,8289.003,special_or_uncertain_status
