metric,before,after,delta
ate_total_count,29,27,-2
upper_ate_count,5,4,-1
middle_ate_count,0,0,0
lower_ate_count,29,27,-2
total_area_km2,3274355.075,3274354.929,-0.14600000018253922
avg_area_km2,112908.796,121272.405,8363.608999999997
total_population,0.0,,
population_density,,,
rail_length_km_total,0.0,0.0,0.0
avg_adjacency,4.482759,4.592593,0.10983400000000021
nodes,29,27,-2
edges,65,62,-3
components,1,1,0
graph_density,0.160099,0.176638,0.016538999999999998
cyclomatic,37,36,-1
bridges,1,0,-1
articulation_points,1,0,-1
avg_degree,4.482759,4.592593,0.10983400000000021
avg_lower_units_per_upper_ate,5.8,6.75,0.9500000000000002
avg_area_upper_ate_km2,654871.015,818588.732,163717.71699999995
avg_area_middle_ate_km2,,,
