year,unit_id,name,admin_parent,unit_type,area_km2,old_population,new_population,density,control_unit,control_total,source_year,quality,method,allocation_weight
1783,adm_1783_001,Туруханский уезд,Тобольское наместничество,уезд,1887536.815,,2196,,Тобольское наместничество,514700,1785,benchmark_control_total,v109_density_proxy_distribution_to_regular_uezd_polygons,7550.14726
1783,adm_1783_002,Берёзовский уезд,Тобольское наместничество,уезд,658379.351,,6363,,Тобольское наместничество,514700,1785,benchmark_control_total,v109_density_proxy_distribution_to_regular_uezd_polygons,21875.316459
1783,adm_1783_005,Томский уезд,Тобольское наместничество,уезд,89025.65,,25904,,Тобольское наместничество,514700,1785,benchmark_control_total,v109_density_proxy_distribution_to_regular_uezd_polygons,89058.584661
1783,adm_1783_007,Ачинский уезд,Тобольское наместничество,уезд,35846.462,,6256,,Тобольское наместничество,514700,1785,benchmark_control_total,v109_density_proxy_distribution_to_regular_uezd_polygons,21507.8772
1783,adm_1783_010,Омский уезд,Тобольское наместничество,уезд,51233.115,,29667,,Тобольское наместничество,514700,1785,benchmark_control_total,v109_density_proxy_distribution_to_regular_uezd_polygons,101996.089698
1783,adm_1783_011,Курганский уезд,Тобольское наместничество,уезд,27330.226,,81828,,Тобольское наместничество,514700,1785,benchmark_control_total,v109_density_proxy_distribution_to_regular_uezd_polygons,281326.091806
1783,adm_1783_012,Ишимский уезд,Тобольское наместничество,уезд,44323.875,,81992,,Тобольское наместничество,514700,1785,benchmark_control_total,v109_density_proxy_distribution_to_regular_uezd_polygons,281890.300142
1783,adm_1783_013,Ялуторовский уезд,Тобольское наместничество,уезд,21527.419,,52289,,Тобольское наместничество,514700,1785,benchmark_control_total,v109_density_proxy_distribution_to_regular_uezd_polygons,179771.323508
1783,adm_1783_014,Каинский уезд,Тобольское наместничество,уезд,98518.889,,65221,,Тобольское наместничество,514700,1785,benchmark_control_total,v109_density_proxy_distribution_to_regular_uezd_polygons,224232.452399
1783,adm_1783_015,Тарский уезд,Тобольское наместничество,уезд,103531.323,,57845,,Тобольское наместничество,514700,1785,benchmark_control_total,v109_density_proxy_distribution_to_regular_uezd_polygons,198874.303752
1783,adm_1783_016,Тобольский уезд,Тобольское наместничество,уезд,93232.272,,27702,,Тобольское наместничество,514700,1785,benchmark_control_total,v109_density_proxy_distribution_to_regular_uezd_polygons,95242.37552
