year,source_id,source_name,source_parent,target_id,target_name,target_parent,boundary_km,relation,contact_method,is_bridge
1897,adm_1897_10,,,adm_1897_6,Кузнецкий округ,Томская губерния,42.787,cross_parent,shared_boundary,True
1897,adm_1897_12,,,adm_1897_6,Кузнецкий округ,Томская губерния,34.821,cross_parent,shared_boundary,True
1897,adm_1897_1,Атбасарский уезд,Акмолинская область,adm_1897_9,Акмолинский уезд,Акмолинская область,598.771,same_parent,shared_boundary,False
1897,adm_1897_1,Атбасарский уезд,Акмолинская область,adm_1897_17,Петропавловский уезд,Акмолинская область,112.087,same_parent,shared_boundary,False
1897,adm_1897_1,Атбасарский уезд,Акмолинская область,adm_1897_7,кокчетавский уезд,Акмолинская область,238.071,same_parent,shared_boundary,False
1897,adm_1897_18,Бийский округ,Томская губерния,adm_1897_8,Барнаульский округ,Томская губерния,225.192,same_parent,shared_boundary,False
1897,adm_1897_18,Бийский округ,Томская губерния,adm_1897_5,Змеиногорский округ,Томская губерния,668.571,same_parent,shared_boundary,False
1897,adm_1897_18,Бийский округ,Томская губерния,adm_1897_6,Кузнецкий округ,Томская губерния,638.414,same_parent,shared_boundary,False
1897,adm_1897_2,Зайсанский уезд,Семипалатинская область,adm_1897_31,Усть-Каменогорский уезд,Семипалатинская область,517.428,same_parent,shared_boundary,False
1897,adm_1897_5,Змеиногорский округ,Томская губерния,adm_1897_8,Барнаульский округ,Томская губерния,237.451,same_parent,shared_boundary,False
1897,adm_1897_5,Змеиногорский округ,Томская губерния,adm_1897_31,Усть-Каменогорский уезд,Семипалатинская область,710.681,cross_parent,shared_boundary,False
1897,adm_1897_21,Ишимский округ,Тобольская губерния,adm_1897_27,Курганский округ,Тобольская губерния,141.535,same_parent,shared_boundary,False
1897,adm_1897_21,Ишимский округ,Тобольская губерния,adm_1897_25,Тарский округ,Тобольская губерния,48.07,same_parent,shared_boundary,False
1897,adm_1897_21,Ишимский округ,Тобольская губерния,adm_1897_23,Тобольский округ,Тобольская губерния,106.405,same_parent,shared_boundary,False
1897,adm_1897_21,Ишимский округ,Тобольская губерния,adm_1897_26,Тюкалинский округ,Тобольская губерния,342.448,same_parent,shared_boundary,False
1897,adm_1897_21,Ишимский округ,Тобольская губерния,adm_1897_28,Ялуторовский округ,Тобольская губерния,157.633,same_parent,shared_boundary,False
1897,adm_1897_19,Каинский округ,Томская губерния,adm_1897_8,Барнаульский округ,Томская губерния,288.86,same_parent,shared_boundary,False
1897,adm_1897_19,Каинский округ,Томская губерния,adm_1897_25,Тарский округ,Тобольская губерния,245.829,cross_parent,shared_boundary,False
1897,adm_1897_19,Каинский округ,Томская губерния,adm_1897_20,Томский округ,Томская губерния,515.002,same_parent,shared_boundary,False
1897,adm_1897_19,Каинский округ,Томская губерния,adm_1897_26,Тюкалинский округ,Тобольская губерния,227.784,cross_parent,shared_boundary,False
1897,adm_1897_3,Каркаралинский уезд,Семипалатинская область,adm_1897_9,Акмолинский уезд,Акмолинская область,884.205,cross_parent,shared_boundary,False
1897,adm_1897_3,Каркаралинский уезд,Семипалатинская область,adm_1897_4,Павлодарский уезд,Семипалатинская область,290.999,same_parent,shared_boundary,False
1897,adm_1897_6,Кузнецкий округ,Томская губерния,adm_1897_8,Барнаульский округ,Томская губерния,415.145,same_parent,shared_boundary,False
1897,adm_1897_27,Курганский округ,Тобольская губерния,adm_1897_28,Ялуторовский округ,Тобольская губерния,207.358,same_parent,shared_boundary,False
1897,adm_1897_15,Мариинский округ,Томская губерния,adm_1897_6,Кузнецкий округ,Томская губерния,272.168,same_parent,shared_boundary,False
1897,adm_1897_15,Мариинский округ,Томская губерния,adm_1897_20,Томский округ,Томская губерния,711.319,same_parent,shared_boundary,False
1897,adm_1897_11,Омский уезд,Акмолинская область,adm_1897_9,Акмолинский уезд,Акмолинская область,71.63,same_parent,shared_boundary,False
1897,adm_1897_11,Омский уезд,Акмолинская область,adm_1897_4,Павлодарский уезд,Семипалатинская область,171.738,cross_parent,shared_boundary,False
