year,action,unit_id,name,host_unit_id,host_name,population,urban_pop
1930,merged_city_to_host,urban_1930_1,Анжеро-Судженск,adm_1930_137,Безымянный район №7 (Томский округ),47907,47907
1930,merged_city_to_host,urban_1930_2,Барабинск,adm_1930_107,Безымянный район №6 (Каинский округ),15101,15101
1930,kept_city_center_polygon,urban_1930_3,Барнаул,adm_1930_49,Безымянный район №5 (Барнаульский округ),91316,91316
1930,kept_city_center_polygon,urban_1930_4,Бийск,adm_1930_39,Безымянный район №10 (Бийский округ),51404,51404
1930,merged_city_to_host,urban_1930_5,Гурьевск,adm_1930_75,Безымянный район №3 (Щегловский округ),5606,5606
1930,kept_city_center_polygon,urban_1930_6,Ишим,adm_1930_151,Безымянный район №8 (Ишимский округ),17400,17400
1930,kept_city_center_polygon,urban_1930_7,Каинск / Куйбышев,adm_1930_107,Безымянный район №6 (Каинский округ),11612,11612
1930,kept_city_center_polygon,urban_1930_8,Камень-на-Оби,adm_1930_60,Безымянный район №6 (Каменский округ),27175,27175
1930,merged_city_to_host,urban_1930_9,Кузнецк / Сталинск / Новокузнецк,adm_1930_83,Безымянный район №4 (Щегловский округ),5568,5568
1930,merged_city_to_host,urban_1930_10,Ленинск-Кузнецкий,adm_1930_89,Безымянный район №5 (Щегловский округ),27169,27169
1930,merged_city_to_host,urban_1930_11,Мариинск,adm_1930_143,Безымянный район №8 (Томский округ),12030,12030
1930,kept_city_center_polygon,urban_1930_12,Ново-Николаевск / Новосибирск,adm_1930_98,Безымянный район №8 (Новосибирский округ),146000,146000
1930,kept_city_center_polygon,urban_1930_13,Ойрот-Тура / Горно-Алтайск,adm_1930_18,Безымянный район №8 (Ойратская АО),8074,8074
1930,kept_city_center_polygon,urban_1930_14,Омск,adm_1930_104,Безымянный район №8 (Омский округ),126591,126591
1930,merged_city_to_host,urban_1930_15,Прокопьевск,adm_1930_69,Безымянный район №1 (Щегловский округ),33018,33018
1930,kept_city_center_polygon,urban_1930_16,Рубцовск,adm_1930_21,Безымянный район №6 (Рубцовский округ),22552,22552
1930,kept_city_center_polygon,urban_1930_17,Славгород,adm_1930_43,Безымянный район №6 (Славгородский округ),24082,24082
1930,merged_city_to_host,urban_1930_18,Тайга,adm_1930_132,Безымянный район №5 (Томский округ),13539,13539
1930,merged_city_to_host,urban_1930_19,Тара,adm_1930_182,Безымянный район №17 (Омский округ),12003,12003
1930,merged_city_to_host,urban_1930_20,Татарск,adm_1930_112,Безымянный район №8 (Каинский округ),11835,11835
1930,kept_city_center_polygon,urban_1930_21,Тобольск,adm_1930_186,Безымянный район №7 (Тобольский округ),22400,22400
1930,kept_city_center_polygon,urban_1930_22,Томск,adm_1930_152,Безымянный район №11 (Томский округ),110624,110624
1930,merged_city_to_host,urban_1930_23,Тюкалинск,adm_1930_138,Безымянный район №12 (Омский округ),4353,4353
1930,kept_city_center_polygon,urban_1930_24,Тюмень,adm_1930_170,Безымянный район №7 (Тюменский округ),62600,62600
1930,merged_city_to_host,urban_1930_25,Черепаново,adm_1930_77,Безымянный район №2 (Новосибирский округ),8808,8808
1930,kept_city_center_polygon,urban_1930_26,Щегловск / Кемерово,adm_1930_111,Безымянный район №9 (Щегловский округ),47430,47430
1930,merged_city_to_host,urban_1930_27,Ялуторовск,adm_1930_161,Безымянный район №5 (Тюменский округ),8174,8174
1930,manual_add_novo_omsk,adm_1930_94,Безымянный район №4 (Омский округ),adm_1930_94,Безымянный район №4 (Омский округ),14316,14316
1930,fill_omsk_okrug_district_8,adm_1930_104,Безымянный район №8 (Омский округ),adm_1930_104,Безымянный район №8 (Омский округ),257819,65526
1926,kept_city_center_polygon,urban_1926_1,Барабинск,adm_1926_150,Барабинский,9822,9822
1926,kept_city_center_polygon,urban_1926_2,Барнаул,adm_1926_53,Павловский,73858,73858
1926,kept_city_center_polygon,urban_1926_3,Бийск,adm_1926_42,Бийский,45561,45561
1926,kept_city_center_polygon,urban_1926_4,Ишим,adm_1926_218,Жиляковский,13812,13812
1926,merged_city_to_host,urban_1926_5,Каинск / Куйбышев,adm_1926_150,Барабинский,7606,7606
1926,kept_city_center_polygon,urban_1926_6,Камень-на-Оби,adm_1926_72,Каменский район,22982,22982
1926,kept_city_center_polygon,urban_1926_7,Кузнецк / Сталинск / Новокузнецк,adm_1926_104,Кузнецкий,3894,3894
1926,merged_city_to_host,urban_1926_8,Ленинск-Кузнецкий,adm_1926_113,Ленинский,19645,19645
1926,merged_city_to_host,urban_1926_9,Мариинск,adm_1926_204,Мариинский,11440,11440
1926,kept_city_center_polygon,urban_1926_10,Ново-Николаевск / Новосибирск,adm_1926_290,Каменский,120128,120128
1926,kept_city_center_polygon,urban_1926_11,Омск,adm_1926_151,Бородинский,161684,161684
1926,kept_city_center_polygon,urban_1926_12,Славгород,adm_1926_48,Славгородский,17784,17784
1926,merged_city_to_host,urban_1926_13,Тайга,adm_1926_185,Тайгинский,10929,10929
1926,kept_city_center_polygon,urban_1926_14,Тара,adm_1926_226,Евгащинский,10345,10345
1926,merged_city_to_host,urban_1926_15,Татарск,adm_1926_156,Татарский,9706,9706
1926,kept_city_center_polygon,urban_1926_16,Тобольск,adm_1926_277,Тобольский,29437,29437
1926,kept_city_center_polygon,urban_1926_17,Томск,adm_1926_219,Томский,92274,92274
1926,merged_city_to_host,urban_1926_18,Тюкалинск,adm_1926_200,Тюкалинский,4187,4187
1926,kept_city_center_polygon,urban_1926_19,Тюмень,adm_1926_250,Тюменский,50355,50355
1926,merged_city_to_host,urban_1926_20,Черепаново,adm_1926_92,Черепановский,8807,8807
1926,merged_city_to_host,urban_1926_21,Щегловск / Кемерово,adm_1926_147,Кемеровский,21726,21726
1926,merged_city_to_host,urban_1926_22,Ялуторовск,adm_1926_234,Ялуторовский,8174,8174
1926,manual_add_novo_omsk,adm_1926_110,Сосновский,adm_1926_110,Сосновский,11070,11070
1918,merged_city_to_host,urban_1918_1,Барабинск,adm_1918_21,Каменский уезд,7300,7300
1918,merged_city_to_host,urban_1918_2,Барнаул,adm_1918_8,Барнаульский уезд,70200,70200
1918,merged_city_to_host,urban_1918_3,Берёзов,adm_1918_2,Тобольская губерния,1300,1300
1918,merged_city_to_host,urban_1918_4,Бийск,adm_1918_6,Бийский уезд,41600,41600
1918,merged_city_to_host,urban_1918_5,Ишим,adm_1918_28,Тобольская губерния,14800,14800
1918,merged_city_to_host,urban_1918_6,Каинск / Куйбышев,adm_1918_21,Каменский уезд,6600,6600
1918,merged_city_to_host,urban_1918_7,Камень-на-Оби,adm_1918_9,Каменский уезд,18500,18500
1918,merged_city_to_host,urban_1918_8,Кузнецк / Сталинск / Новокузнецк,adm_1918_16,Томская губерния,4000,4000
1918,merged_city_to_host,urban_1918_9,Мариинск,adm_1918_18,Томская губерния,13500,13500
1918,merged_city_to_host,urban_1918_10,Ново-Николаевск / Новосибирск,adm_1918_20,Томская губерния,82800,82800
1918,merged_city_to_host,urban_1918_11,Омск,adm_1918_27,Тобольская губерния,120500,120500
1918,merged_city_to_host,urban_1918_12,Славгород,adm_1918_7,Славгородский уезд,14000,14000
1918,merged_city_to_host,urban_1918_13,Тара,adm_1918_29,Тобольская губерния,10900,10900
1918,merged_city_to_host,urban_1918_14,Татарск,adm_1918_21,Каменский уезд,8800,8800
1918,merged_city_to_host,urban_1918_15,Тобольск,adm_1918_19,Тобольская губерния,22100,22100
1918,merged_city_to_host,urban_1918_16,Томск,adm_1918_25,Томская губерния,97100,97100
1918,merged_city_to_host,urban_1918_17,Тюкалинск,adm_1918_27,Тобольская губерния,6600,6600
1918,merged_city_to_host,urban_1918_18,Тюмень,adm_1918_31,Тобольская губерния,40800,40800
1918,merged_city_to_host,urban_1918_19,Ялуторовск,adm_1918_30,Тобольская губерния,5900,5900
