unit_id,name,old_population,population_1939_anchor,population_1959_anchor,new_population_1947_geom_interpolated
adm_1947_u_4,Ленинск-Кузнецкий горсовет,65089.0,82700,170946,110572
adm_1947_u_8,Тобольский горсовет,16001.0,32200,41743,35723
adm_1947_u_12,Горно-Алтайский горсовет - г. Горно-Алтайск,8437.0,24000,27534,25356
adm_1947_u_13,Бийский горсовет - г. Бийск,47571.0,80300,146416,102109
adm_1947_u_14,Славгородский горсовет - г. Славгород,18318.0,21400,38413,27042
adm_1947_u_16,Камень-на-Обский горсовет - г. Камень-на-Оби,9380.0,25000,30135,26940
adm_1947_u_21,Гурьевский горсовет - г. Гурьевск,9767.0,22900,30448,25664
adm_1947_u_24,Барабинский горсовет - г. Барабинск,14004.0,30000,40878,33952
adm_1947_u_25,Татарский горсовет - г. Татарск,16592.0,21400,30786,24751
adm_1947_u_31,Мариинский горсовет - г. Мариинск,17334.0,22300,40793,28393
