year,unit_id,name,old_unit_type,new_unit_type,reason,area_km2,admin_parent,old_admin_parent
1926,urban_1926_1,Барабинск,город,центр округа,v117: отдельный город-центр окружного уровня,28.238,Барабинский округ,
1926,urban_1926_2,Барнаул,город,центр округа,v117: отдельный город-центр окружного уровня,28.238,Барнаульский округ,
1926,urban_1926_3,Бийск,город,центр округа,v117: отдельный город-центр окружного уровня,21.946,Бийский округ,
1926,urban_1926_4,Ишим,город,центр округа,v117: отдельный город-центр окружного уровня,28.238,Ишимский округ,
1926,urban_1926_6,Камень-на-Оби,город,центр округа,v117: отдельный город-центр окружного уровня,28.238,Каменский округ,
1926,urban_1926_7,Кузнецк / Сталинск / Новокузнецк,город,центр округа,v117: отдельный город-центр окружного уровня,18.574,Кузнецкий округ,
1926,urban_1926_10,Ново-Николаевск / Новосибирск,город,центр округа,v117: отдельный город-центр окружного уровня,25.78,Новосибирский округ,
1926,urban_1926_11,Омск,город,центр округа,v117: отдельный город-центр окружного уровня,11.708,Омский округ,
1926,urban_1926_12,Славгород,город,центр округа,v117: отдельный город-центр окружного уровня,28.238,Славгородский округ,
1926,urban_1926_14,Тара,город,центр округа,v117: отдельный город-центр окружного уровня,26.177,Тарский округ,
1926,urban_1926_16,Тобольск,город,центр округа,v117: отдельный город-центр окружного уровня,28.238,Тобольский округ,
1926,urban_1926_17,Томск,город,центр округа,v117: отдельный город-центр окружного уровня,28.238,Томский округ,
1926,urban_1926_19,Тюмень,город,центр округа,v117: отдельный город-центр окружного уровня,28.238,Тюменский округ,
1930,urban_1930_3,Барнаул,город,центр округа,v117: отдельный город-центр окружного уровня,28.238,Барнаульский округ,
1930,urban_1930_4,Бийск,город,центр округа,v117: отдельный город-центр окружного уровня,28.238,Бийский округ,
1930,urban_1930_6,Ишим,город,центр округа,v117: отдельный город-центр окружного уровня,28.238,Ишимский округ,
1930,urban_1930_7,Каинск / Куйбышев,город,центр округа,v117: отдельный город-центр окружного уровня,28.238,Каинский округ,
1930,urban_1930_8,Камень-на-Оби,город,центр округа,v117: отдельный город-центр окружного уровня,28.238,Каменский округ,
1930,urban_1930_12,Ново-Николаевск / Новосибирск,город,центр округа,v117: отдельный город-центр окружного уровня,28.238,Новосибирский округ,
1930,urban_1930_13,Ойрот-Тура / Горно-Алтайск,город,центр округа,v117: отдельный город-центр окружного уровня,28.238,Ойратская АО,
1930,urban_1930_14,Омск,город,центр округа,v117: отдельный город-центр окружного уровня,21.005,Омский округ,
1930,urban_1930_16,Рубцовск,город,центр округа,v117: отдельный город-центр окружного уровня,28.238,Рубцовский округ,
1930,urban_1930_17,Славгород,город,центр округа,v117: отдельный город-центр окружного уровня,28.238,Славгородский округ,
1930,urban_1930_21,Тобольск,город,центр округа,v117: отдельный город-центр окружного уровня,28.238,Тобольский округ,
1930,urban_1930_22,Томск,город,центр округа,v117: отдельный город-центр окружного уровня,18.713,Томский округ,
1930,urban_1930_24,Тюмень,город,центр округа,v117: отдельный город-центр окружного уровня,28.238,Тюменский округ,
1930,urban_1930_26,Щегловск / Кемерово,город,центр округа,v117: отдельный город-центр окружного уровня,28.238,Щегловский округ,
1939,adm_1939_10,Ойрот-Турский (рц в г. Ойрот-Туре),район,горсовет,v117: городские контуры 1939–1989 нормализованы как горсоветы,1381.48,Алтайский край,
1939,adm_1939_129,Анжеро-Судженский (рц в г. Анжеро-Судженске),район,горсовет,v117: городские контуры 1939–1989 нормализованы как горсоветы,2340.32,Новосибирская область,
