year,unit_id,name,primary_2021_region,primary_overlap_share,top_overlaps
1700,adm_1700_001,Туруханский уезд,Ямало-Ненецкий автономный округ,0.070348,Ямало-Ненецкий автономный округ:0.070; Томская область:0.001; Ханты-Мансийский автономный округ:0.000
1700,adm_1700_002,Берёзовский уезд,Ямало-Ненецкий автономный округ,0.668896,Ямало-Ненецкий автономный округ:0.669; Ханты-Мансийский автономный округ:0.330; Тюменская область:0.000
1700,adm_1700_003,Енисейский уезд,Томская область,0.005396,Томская область:0.005
1700,adm_1700_006,Тобольский уезд,Тюменская область,0.733776,Тюменская область:0.734; Ханты-Мансийский автономный округ:0.213; Омская область:0.025
1700,adm_1700_007,Нарымский уезд,Томская область,0.986015,Томская область:0.986; Новосибирская область:0.014
1700,adm_1700_008,Кетский уезд,Томская область,0.899844,Томская область:0.900
1700,adm_1700_009,Сургутский уезд,Ханты-Мансийский автономный округ,0.681091,Ханты-Мансийский автономный округ:0.681; Томская область:0.285; Тюменская область:0.015; Омская область:0.004
1700,adm_1700_010,Пелымский уезд,Ханты-Мансийский автономный округ,0.55236,Ханты-Мансийский автономный округ:0.552; Тюменская область:0.003
1700,adm_1700_012,Верхотурский уезд,Ханты-Мансийский автономный округ,0.0004,Ханты-Мансийский автономный округ:0.000
1700,adm_1700_013,Тюменский уезд,Тюменская область,0.417534,Тюменская область:0.418; Курганская область:0.289
1700,adm_1700_014,Безымянный объект №14,Тюменская область,1.0,Тюменская область:1.000
1700,adm_1700_015,Безымянный объект №15,Томская область,0.627722,Томская область:0.628; Омская область:0.372
1700,adm_1700_017,Томский уезд,Томская область,0.37973,Томская область:0.380; Кемеровская область:0.236; Новосибирская область:0.126
1700,adm_1700_019,Тарский уезд,Омская область,0.462584,Омская область:0.463; Новосибирская область:0.440; Тюменская область:0.060; Томская область:0.038
1700,adm_1700_020,Кузнецкий уезд,Кемеровская область,0.531004,Кемеровская область:0.531; Республика Алтай:0.166; Алтайский край:0.154; Новосибирская область:0.001
1719,adm_1719_002,Туруханский уезд,Ямало-Ненецкий автономный округ,0.135826,Ямало-Ненецкий автономный округ:0.136; Ханты-Мансийский автономный округ:0.000; Томская область:0.000
1719,adm_1719_003,Берёзовский уезд,Ямало-Ненецкий автономный округ,0.597136,Ямало-Ненецкий автономный округ:0.597; Ханты-Мансийский автономный округ:0.401; Тюменская область:0.001
1719,adm_1719_006,Томский уезд,Томская область,0.383257,Томская область:0.383; Кемеровская область:0.200; Новосибирская область:0.155
