metric,v118_before,v119_rebuilt_raw,v119_final
source_admin_features,241,241,241
analytics_features,207,201,207
ate_total_count,241,241,241
lower_ate_count,207,201,207
total_area_km2,2231468.16,2231347.335,2231468.16
total_population,6657079.0,6585225.0,6657079.0
urban_population,71854.0,0.0,71854.0
rural_population,6585225.0,6585225.0,6585225.0
rail_length_km_total,6702.69,6702.69,6702.69
avg_adjacency,5.333333,5.442786,5.442786
nodes,207,201,201
edges,552,547,547
components,1,1,1
graph_density,0.02589,0.027214,0.027214
cyclomatic,346,347,347
bridges,6,1,1
articulation_points,6,1,1
avg_degree,5.333333,5.442786,5.442786
same_parent_edges,509,504,504
cross_parent_edges,43,43,43
