year,unit_id,name,unit_type,admin_parent,origin_year,age_years,age_class_10,basis,confidence,predecessor_year,predecessor_id,predecessor_name,distance_km,name_similarity,overlap_iou
1926,adm_1926_10,Бащелакский,район,Бийский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_100,Звериноголовский,район,Курганский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_101,Борисовский,район,Омский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_102,Купинский,район,Барабинский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_103,Маслянинский,район,Новосибирский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_104,Кузнецкий,район,Кузнецкий округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_105,Индерский,район,Новосибирский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_106,Крестинский,район,Омский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_107,Ужанихинский,район,Новосибирский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_108,Легостаевский,район,Новосибирский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_109,Нижнекаргатский,район,Барабинский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_11,Чемальский,район,Ойратская авт. область,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_110,Сосновский,район,Омский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_112,Бердский,район,Новосибирский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_113,Ленинский,район,Кузнецкий округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_115,Половинский,район,Курганский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_116,Юдинский,район,Барабинский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_117,Глядянский,район,Курганский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_118,Лопатинский,район,Курганский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_119,Казанский,район,Барабинский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_12,Шебалинский,район,Ойратская авт. область,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_120,Куртамышский,район,Курганский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_122,Кауракский,район,Новосибирский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_124,Карпысакский,район,Новосибирский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_125,Краснинский,район,Кузнецкий округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_126,Утятский,район,Курганский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_127,Корниловский,район,Омский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_128,Петуховский,район,Ишимский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_129,Москаленский,район,Омский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_13,Угловский,район,Рубцовский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_130,Бугринский,район,Новосибирский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_131,Калачинский,район,Омский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_132,Исиль-Кульский,район,Омский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_133,Коченевский,район,Новосибирский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_134,Убинский,район,Барабинский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_135,Алексеевский,район,Новосибирский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_136,Топкинский,район,Кузнецкий округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_137,Любинский,район,Омский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_138,Усть-Сосновский,район,Кузнецкий округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_139,Макушинский,район,Курганский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_14,Курьинский,район,Рубцовский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_140,Колыванский,район,Новосибирский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_141,Варгашинский,район,Курганский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_142,Крапивинский,район,Кузнецкий округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_143,Лебяжьевский,район,Курганский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_144,Гутовский,район,Новосибирский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_145,Чановский,район,Барабинский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_146,Чулымский,район,Новосибирский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_147,Кемеровский,район,Кузнецкий округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_149,Ильинский,район,Ишимский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_15,Солонешинский,район,Бийский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_150,Барабинский,район,Барабинский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_151,Бородинский,район,Омский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_152,Юргамышский,район,Курганский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_153,Частоозерский,район,Ишимский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_154,Чаусовский,район,Курганский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_155,Иконниковский,район,Омский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_156,Татарский,район,Барабинский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_157,Песчанский,район,Шадринский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_158,Ояшинский,район,Новосибирский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_16,Куяганский,район,Бийский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_162,Еланский,район,Омский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_163,Называевский,район,Омский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_164,Щегловский,район,Кузнецкий округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_165,Каргатский,район,Новосибирский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_166,Сладковский,район,Ишимский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_167,Мокроусовский,район,Курганский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_168,Верх-Ичинский,район,Барабинский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_169,Батуринский,район,Шадринский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_17,Покровский,район,Рубцовский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_170,Вьюнский,район,Новосибирский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_171,Ларихинский,район,Ишимский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_172,Поломошинский,район,Томский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_173,Верхтеченский,район,Шадринский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_174,Юргинский,район,Томский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_176,Марайский,район,Курганский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_177,Болотнинский,район,Томский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_179,Саргатский,район,Омский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_18,Улалинский,район,Ойратская авт. область,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_180,Каргопольский,район,Шадринский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_181,Спасский,район,Барабинский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_182,Бердюжский,район,Ишимский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_183,Белоярский,район,Шадринский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_184,Верхчебулинский,район,Томский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_185,Тайгинский,район,Томский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_186,Большереченский,район,Тарский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_187,Армизонский,район,Ишимский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_188,Чашинский,район,Курганский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
1926,adm_1926_189,Белозерский,район,Курганский округ,1926,0,0–9 лет,base_year_1926,base,,,,,,
