year,unit_id,old_name,new_name,old_unit_type,new_unit_type,reason,note
1989,adm_1989_1,Кош-Агачский муниципальный район,Кош-Агачский район,муниципальный район,район,v122_1989_admin_atd_not_municipal,v122: исторический слой 1989 нормализован к административно-территориальному словарю; поздняя муниципальная терминология и переписные пометы не считаются сменой района.
1989,adm_1989_100,Шербакульский муниципальный район,Шербакульский район,муниципальный район,район,v122_1989_admin_atd_not_municipal,v122: исторический слой 1989 нормализован к административно-территориальному словарю; поздняя муниципальная терминология и переписные пометы не считаются сменой района.
1989,adm_1989_102,Таврический муниципальный район,Таврический район,муниципальный район,район,v122_1989_admin_atd_not_municipal,v122: исторический слой 1989 нормализован к административно-территориальному словарю; поздняя муниципальная терминология и переписные пометы не считаются сменой района.
1989,adm_1989_103,Купинский муниципальный район,Купинский район,муниципальный район,район,v122_1989_admin_atd_not_municipal,v122: исторический слой 1989 нормализован к административно-территориальному словарю; поздняя муниципальная терминология и переписные пометы не считаются сменой района.
1989,adm_1989_104,Доволенский муниципальный район,Доволенский район,муниципальный район,район,v122_1989_admin_atd_not_municipal,v122: исторический слой 1989 нормализован к административно-территориальному словарю; поздняя муниципальная терминология и переписные пометы не считаются сменой района.
1989,adm_1989_105,Ленинск-Кузнецкий муниципальный округ,Ленинск-Кузнецкий район,округ,район,v122_1989_admin_atd_not_municipal,v122: исторический слой 1989 нормализован к административно-территориальному словарю; поздняя муниципальная терминология и переписные пометы не считаются сменой района.
1989,adm_1989_106+adm_1989_219,Карасукский муниципальный район,Карасукский район,муниципальный район,район,v122_1989_admin_atd_not_municipal,v122: исторический слой 1989 нормализован к административно-территориальному словарю; поздняя муниципальная терминология и переписные пометы не считаются сменой района.
1989,adm_1989_107,Оконешниковский муниципальный район,Оконешниковский район,муниципальный район,район,v122_1989_admin_atd_not_municipal,v122: исторический слой 1989 нормализован к административно-территориальному словарю; поздняя муниципальная терминология и переписные пометы не считаются сменой района.
1989,adm_1989_108,Чистоозерный муниципальный район,Чистоозерный район,муниципальный район,район,v122_1989_admin_atd_not_municipal,v122: исторический слой 1989 нормализован к административно-территориальному словарю; поздняя муниципальная терминология и переписные пометы не считаются сменой района.
1989,adm_1989_109,Марьяновский муниципальный район,Марьяновский район,муниципальный район,район,v122_1989_admin_atd_not_municipal,v122: исторический слой 1989 нормализован к административно-территориальному словарю; поздняя муниципальная терминология и переписные пометы не считаются сменой района.
1989,adm_1989_11,Чарышский муниципальный район,Чарышский район,муниципальный район,район,v122_1989_admin_atd_not_municipal,v122: исторический слой 1989 нормализован к административно-территориальному словарю; поздняя муниципальная терминология и переписные пометы не считаются сменой района.
1989,adm_1989_111,Промышленновский муниципальный округ,Промышленновский район,округ,район,v122_1989_admin_atd_not_municipal,v122: исторический слой 1989 нормализован к административно-территориальному словарю; поздняя муниципальная терминология и переписные пометы не считаются сменой района.
1989,adm_1989_112,Кормиловский муниципальный район,Кормиловский район,муниципальный район,район,v122_1989_admin_atd_not_municipal,v122: исторический слой 1989 нормализован к административно-территориальному словарю; поздняя муниципальная терминология и переписные пометы не считаются сменой района.
1989,adm_1989_113,Москаленский муниципальный район,Москаленский район,муниципальный район,район,v122_1989_admin_atd_not_municipal,v122: исторический слой 1989 нормализован к административно-территориальному словарю; поздняя муниципальная терминология и переписные пометы не считаются сменой района.
1989,adm_1989_114+adm_1989_263,Исилькульский муниципальный район,Исилькульский район,муниципальный район,район,v122_1989_admin_atd_not_municipal,v122: исторический слой 1989 нормализован к административно-территориальному словарю; поздняя муниципальная терминология и переписные пометы не считаются сменой района.
1989,adm_1989_115+adm_1989_259,Калачинский муниципальный район,Калачинский район,муниципальный район,район,v122_1989_admin_atd_not_municipal,v122: исторический слой 1989 нормализован к административно-территориальному словарю; поздняя муниципальная терминология и переписные пометы не считаются сменой района.
1989,adm_1989_116+adm_1989_264,Барабинский муниципальный район,Барабинский район,муниципальный район,район,v122_1989_admin_atd_not_municipal,v122: исторический слой 1989 нормализован к административно-территориальному словарю; поздняя муниципальная терминология и переписные пометы не считаются сменой района.
1989,adm_1989_118,Крапивинский муниципальный округ,Крапивинский район,округ,район,v122_1989_admin_atd_not_municipal,v122: исторический слой 1989 нормализован к административно-территориальному словарю; поздняя муниципальная терминология и переписные пометы не считаются сменой района.
1989,adm_1989_119+adm_1989_257,Омский муниципальный район,Омский район,муниципальный район,район,v122_1989_admin_atd_not_municipal,v122: исторический слой 1989 нормализован к административно-территориальному словарю; поздняя муниципальная терминология и переписные пометы не считаются сменой района.
1989,adm_1989_12,Угловский муниципальный район,Угловский район,муниципальный район,район,v122_1989_admin_atd_not_municipal,v122: исторический слой 1989 нормализован к административно-территориальному словарю; поздняя муниципальная терминология и переписные пометы не считаются сменой района.
1989,adm_1989_120,Коченевский муниципальный район,Коченевский район,муниципальный район,район,v122_1989_admin_atd_not_municipal,v122: исторический слой 1989 нормализован к административно-территориальному словарю; поздняя муниципальная терминология и переписные пометы не считаются сменой района.
1989,adm_1989_121,Тогучинский муниципальный район,Тогучинский район,муниципальный район,район,v122_1989_admin_atd_not_municipal,v122: исторический слой 1989 нормализован к административно-территориальному словарю; поздняя муниципальная терминология и переписные пометы не считаются сменой района.
1989,adm_1989_123+adm_1989_258,Татарский муниципальный район,Татарский район,муниципальный район,район,v122_1989_admin_atd_not_municipal,v122: исторический слой 1989 нормализован к административно-территориальному словарю; поздняя муниципальная терминология и переписные пометы не считаются сменой района.
1989,adm_1989_124,Любинский муниципальный район,Любинский район,муниципальный район,район,v122_1989_admin_atd_not_municipal,v122: исторический слой 1989 нормализован к административно-территориальному словарю; поздняя муниципальная терминология и переписные пометы не считаются сменой района.
1989,adm_1989_125,Мошковский муниципальный район,Мошковский район,муниципальный район,район,v122_1989_admin_atd_not_municipal,v122: исторический слой 1989 нормализован к административно-территориальному словарю; поздняя муниципальная терминология и переписные пометы не считаются сменой района.
1989,adm_1989_126,Чановский муниципальный район,Чановский район,муниципальный район,район,v122_1989_admin_atd_not_municipal,v122: исторический слой 1989 нормализован к административно-территориальному словарю; поздняя муниципальная терминология и переписные пометы не считаются сменой района.
1989,adm_1989_127,Каргатский муниципальный район,Каргатский район,муниципальный район,район,v122_1989_admin_atd_not_municipal,v122: исторический слой 1989 нормализован к административно-территориальному словарю; поздняя муниципальная терминология и переписные пометы не считаются сменой района.
1989,adm_1989_128+adm_1989_260,Топкинский муниципальный округ,Топкинский район,округ,район,v122_1989_admin_atd_not_municipal,v122: исторический слой 1989 нормализован к административно-территориальному словарю; поздняя муниципальная терминология и переписные пометы не считаются сменой района.
1989,adm_1989_13,Курьинский муниципальный район,Курьинский район,муниципальный район,район,v122_1989_admin_atd_not_municipal,v122: исторический слой 1989 нормализован к административно-территориальному словарю; поздняя муниципальная терминология и переписные пометы не считаются сменой района.
1989,adm_1989_130,Горьковский муниципальный район,Горьковский район,муниципальный район,район,v122_1989_admin_atd_not_municipal,v122: исторический слой 1989 нормализован к административно-территориальному словарю; поздняя муниципальная терминология и переписные пометы не считаются сменой района.
1989,adm_1989_132,Казанский муниципальный район,Казанский район,муниципальный район,район,v122_1989_admin_atd_not_municipal,v122: исторический слой 1989 нормализован к административно-территориальному словарю; поздняя муниципальная терминология и переписные пометы не считаются сменой района.
1989,adm_1989_133,Кемеровский муниципальный округ,Кемеровский район,округ,район,v122_1989_admin_atd_not_municipal,v122: исторический слой 1989 нормализован к административно-территориальному словарю; поздняя муниципальная терминология и переписные пометы не считаются сменой района.
1989,adm_1989_134,Сладковский муниципальный район,Сладковский район,муниципальный район,район,v122_1989_admin_atd_not_municipal,v122: исторический слой 1989 нормализован к административно-территориальному словарю; поздняя муниципальная терминология и переписные пометы не считаются сменой района.
1989,adm_1989_135+adm_1989_256,Называевский муниципальный район,Называевский район,муниципальный район,район,v122_1989_admin_atd_not_municipal,v122: исторический слой 1989 нормализован к административно-территориальному словарю; поздняя муниципальная терминология и переписные пометы не считаются сменой района.
1989,adm_1989_136,Чулымский муниципальный район,Чулымский район,муниципальный район,район,v122_1989_admin_atd_not_municipal,v122: исторический слой 1989 нормализован к административно-территориальному словарю; поздняя муниципальная терминология и переписные пометы не считаются сменой района.
1989,adm_1989_137,Нижнеомский муниципальный район,Нижнеомский район,муниципальный район,район,v122_1989_admin_atd_not_municipal,v122: исторический слой 1989 нормализован к административно-территориальному словарю; поздняя муниципальная терминология и переписные пометы не считаются сменой района.
1989,adm_1989_138,Болотнинский муниципальный район,Болотнинский район,муниципальный район,район,v122_1989_admin_atd_not_municipal,v122: исторический слой 1989 нормализован к административно-территориальному словарю; поздняя муниципальная терминология и переписные пометы не считаются сменой района.
1989,adm_1989_139,Бердюжский муниципальный район,Бердюжский район,муниципальный район,район,v122_1989_admin_atd_not_municipal,v122: исторический слой 1989 нормализован к административно-территориальному словарю; поздняя муниципальная терминология и переписные пометы не считаются сменой района.
1989,adm_1989_14,Краснощёковский муниципальный район,Краснощёковский район,муниципальный район,район,v122_1989_admin_atd_not_municipal,v122: исторический слой 1989 нормализован к административно-территориальному словарю; поздняя муниципальная терминология и переписные пометы не считаются сменой района.
