year,district_like_units_with_age,min_age,max_age,avg_age,class_0–9 лет,class_10–19 лет,class_20–29 лет,class_30–39 лет,class_40–49 лет,class_50–59 лет,class_60–69 лет,class_70–79 лет,class_80–89 лет,class_90 лет и старше
1926,264,0.0,0.0,0.0,264,,,,,,,,,
1930,192,0.0,4.0,3.67,192,,,,,,,,,
1939,185,0.0,13.0,10.06,48,137,,,,,,,,
1947,216,0.0,21.0,16.18,62,9,145,,,,,,,
1959,214,0.0,33.0,28.25,3,23,41,147,,,,,,
1964,119,5.0,38.0,33.41,2,12,16,89,,,,,,
1970,187,0.0,44.0,33.91,27,3,14,21,122,,,,,
1979,192,0.0,53.0,42.62,29,,3,14,29,117,,,,
1989,197,0.0,63.0,56.41,5,5,,4,15,30,138,,,
2021,225,0.0,95.0,77.31,30,,,3,,4,4,15,22,147
