unit_id,old_name,old_unit_type,old_admin_parent,old_admin_intermediate,old_admin_superparent,new_name,new_unit_type,new_admin_parent,new_admin_intermediate,new_admin_superparent,note
adm_1947_1,Кош-Агачский район,район,Горно-Алтайская автономная область,Горно-Алтайская автономная область,Алтайский край,Кош-Агачский район,район,Ойротская автономная область,Ойротская автономная область,Алтайский край,Для слоя 1947 восстановлено дореформенное название: Ойротская автономная область; переименование в Горно-Алтайскую АО произошло 07.01.1948.
adm_1947_15,Майминский район,район,Горно-Алтайская автономная область,Горно-Алтайская автономная область,Алтайский край,Ойрот-Туринский район,район,Ойротская автономная область,Ойротская автономная область,Алтайский край,Для слоя 1947 восстановлено дореформенное название: Ойротская автономная область; переименование в Горно-Алтайскую АО произошло 07.01.1948.
adm_1947_230,Усть-Коксинский район,район,Горно-Алтайская автономная область,Горно-Алтайская автономная область,Алтайский край,Усть-Коксинский район,район,Ойротская автономная область,Ойротская автономная область,Алтайский край,Для слоя 1947 восстановлено дореформенное название: Ойротская автономная область; переименование в Горно-Алтайскую АО произошло 07.01.1948.
adm_1947_3,Онгудайский район,район,Горно-Алтайская автономная область,Горно-Алтайская автономная область,Алтайский край,Онгудайский район,район,Ойротская автономная область,Ойротская автономная область,Алтайский край,Для слоя 1947 восстановлено дореформенное название: Ойротская автономная область; переименование в Горно-Алтайскую АО произошло 07.01.1948.
adm_1947_34,Турочакский район,район,Горно-Алтайская автономная область,Горно-Алтайская автономная область,Алтайский край,Турочакский район,район,Ойротская автономная область,Ойротская автономная область,Алтайский край,Для слоя 1947 восстановлено дореформенное название: Ойротская автономная область; переименование в Горно-Алтайскую АО произошло 07.01.1948.
adm_1947_5,Усть-Канский,район,Алтайский край,Алтайский край,Алтайский край,Усть-Канский район,район,Ойротская автономная область,Ойротская автономная область,Алтайский край,Для слоя 1947 восстановлено дореформенное название: Ойротская автономная область; переименование в Горно-Алтайскую АО произошло 07.01.1948.
adm_1947_7,Улаганский район,район,Горно-Алтайская автономная область,Горно-Алтайская автономная область,Алтайский край,Улаганский район,район,Ойротская автономная область,Ойротская автономная область,Алтайский край,Для слоя 1947 восстановлено дореформенное название: Ойротская автономная область; переименование в Горно-Алтайскую АО произошло 07.01.1948.
adm_1947_8,Элекмонарский район,район,Горно-Алтайская автономная область,Горно-Алтайская автономная область,Алтайский край,Элекмонарский район,район,Ойротская автономная область,Ойротская автономная область,Алтайский край,Для слоя 1947 восстановлено дореформенное название: Ойротская автономная область; переименование в Горно-Алтайскую АО произошло 07.01.1948.
adm_1947_9,Шебалинский район,район,Горно-Алтайская автономная область,Горно-Алтайская автономная область,Алтайский край,Шебалинский район,район,Ойротская автономная область,Ойротская автономная область,Алтайский край,Для слоя 1947 восстановлено дореформенное название: Ойротская автономная область; переименование в Горно-Алтайскую АО произошло 07.01.1948.
adm_1947_u_12,Горно-Алтайский горсовет - г. Горно-Алтайск,горсовет,Горно-Алтайская автономная область,Горно-Алтайская автономная область,Алтайский край,Ойрот-Туринский горсовет - г. Ойрот-Тура,горсовет,Ойротская автономная область,Ойротская автономная область,Алтайский край,Для слоя 1947 восстановлено дореформенное название: Ойротская автономная область; переименование в Горно-Алтайскую АО произошло 07.01.1948.
