unit_id,name,unit_type,admin_parent,old_unit_type,old_urban_pop,new_urban_pop,old_rural_pop,new_rural_pop,old_urban_share,new_urban_share,strict_city_pop,worker_settlement_pop,urban_settlements_1947,method,note
adm_1947_1,Кош-Агачский район,район,Ойротская автономная область,район,1493.0,0,8121.0,9614,0.155294,0.0,0,0,,v123_status_based_urban_settlement_recheck_1947,"v123: снято равномерное распределение городской доли по районам; городское население оставлено только у отдельных горсоветов/городов и у районов с известными городами, рабочими посёлками или ПГТ."
adm_1947_2,Третьяковский район,район,Алтайский край,район,4343.0,0,23636.0,27979,0.155224,0.0,0,0,,v123_status_based_urban_settlement_recheck_1947,"v123: снято равномерное распределение городской доли по районам; городское население оставлено только у отдельных горсоветов/городов и у районов с известными городами, рабочими посёлками или ПГТ."
adm_1947_3,Онгудайский район,район,Ойротская автономная область,район,2290.0,0,12462.0,14752,0.155233,0.0,0,0,,v123_status_based_urban_settlement_recheck_1947,"v123: снято равномерное распределение городской доли по районам; городское население оставлено только у отдельных горсоветов/городов и у районов с известными городами, рабочими посёлками или ПГТ."
adm_1947_4,Локтевский район,район,Алтайский край,район,4449.0,0,24210.0,28659,0.155239,0.0,0,0,,v123_status_based_urban_settlement_recheck_1947,"v123: снято равномерное распределение городской доли по районам; городское население оставлено только у отдельных горсоветов/городов и у районов с известными городами, рабочими посёлками или ПГТ."
adm_1947_5,Усть-Канский район,район,Ойротская автономная область,район,2337.0,0,12714.0,15051,0.155272,0.0,0,0,,v123_status_based_urban_settlement_recheck_1947,"v123: снято равномерное распределение городской доли по районам; городское население оставлено только у отдельных горсоветов/городов и у районов с известными городами, рабочими посёлками или ПГТ."
adm_1947_6,Змеиногорский район,район,Алтайский край,район,4312.0,0,23477.0,27789,0.155169,0.0,0,0,,v123_status_based_urban_settlement_recheck_1947,"v123: снято равномерное распределение городской доли по районам; городское население оставлено только у отдельных горсоветов/городов и у районов с известными городами, рабочими посёлками или ПГТ."
adm_1947_7,Улаганский район,район,Ойротская автономная область,район,707.0,0,3850.0,4557,0.155146,0.0,0,0,,v123_status_based_urban_settlement_recheck_1947,"v123: снято равномерное распределение городской доли по районам; городское население оставлено только у отдельных горсоветов/городов и у районов с известными городами, рабочими посёлками или ПГТ."
adm_1947_8,Элекмонарский район,район,Ойротская автономная область,район,1342.0,0,7307.0,8649,0.155162,0.0,0,0,,v123_status_based_urban_settlement_recheck_1947,"v123: снято равномерное распределение городской доли по районам; городское население оставлено только у отдельных горсоветов/городов и у районов с известными городами, рабочими посёлками или ПГТ."
adm_1947_9,Шебалинский район,район,Ойротская автономная область,район,2041.0,0,11112.0,13153,0.155174,0.0,0,0,,v123_status_based_urban_settlement_recheck_1947,"v123: снято равномерное распределение городской доли по районам; городское население оставлено только у отдельных горсоветов/городов и у районов с известными городами, рабочими посёлками или ПГТ."
adm_1947_10,Курьинский район,район,Алтайский край,район,2304.0,0,12542.0,14846,0.155193,0.0,0,0,,v123_status_based_urban_settlement_recheck_1947,"v123: снято равномерное распределение городской доли по районам; городское население оставлено только у отдельных горсоветов/городов и у районов с известными городами, рабочими посёлками или ПГТ."
