admin_parent,features_before,features_after,population_before,population_after,urban_pop_before,urban_pop_after,urban_pop_delta,rural_pop_before,rural_pop_after,rural_pop_delta
Алтайский край,71,71,2199652,2199652,730001,492680,-237321,1469651,1706972,237321
Кемеровская область,35,35,1730933,1730933,1132441,1046823,-85618,598492,684110,85618
Новосибирск — город республиканского подчинения,1,1,617064,617064,617064,617064,0,0,0,0
Новосибирская область,40,40,1267534,1267534,291950,186128,-105822,975584,1081406,105822
Ойротская автономная область,10,10,155790,155790,45600,25356,-20244,110190,130434,20244
Омск — город республиканского подчинения,1,1,315793,315793,315793,315793,0,0,0,0
Омская область,35,35,1003534,1003534,155736,43321,-112415,847798,960213,112415
Томская область,17,17,599917,599917,229513,166283,-63230,370404,433634,63230
Тюменская область,26,26,791747,791747,151799,168516,16717,639948,623231,-16717
ХМАО,8,8,90576,90576,7237,7237,0,83339,83339,0
ЯНАО,8,8,49898,49898,15896,15896,0,34002,34002,0
