year,unit_id,name,unit_type,admin_parent,total_boundary_km,coast_km,river_km,lake_km,watershed_km,inherited_km,unexplained_km,coast_pct,river_pct,lake_pct,watershed_pct,inherited_pct,unexplained_pct,dominant_origin,dominant_origin_pct
1700,adm_1700_001,Туруханский уезд,уезд,Уездная сеть Сибири,15825.535,10235.535,1250.0,30.0,3380.0,80.0,850.0,64.68,7.9,0.19,21.36,0.51,5.37,coastline,64.68
1700,adm_1700_002,Берёзовский уезд,уезд,Уездная сеть Сибири,9105.256,5604.876,480.0,20.0,2460.38,40.0,500.0,61.56,5.27,0.22,27.02,0.44,5.49,coastline,61.56
1700,adm_1700_003,Енисейский уезд,уезд,Уездная сеть Сибири,4067.612,0.0,1200.0,80.0,1997.612,480.0,310.0,0.0,29.5,1.97,49.11,11.8,7.62,watershed,49.11
1700,adm_1700_004,Илимский уезд,уезд,Уездная сеть Сибири,2192.964,0.0,800.0,322.964,490.0,220.0,360.0,0.0,36.48,14.73,22.34,10.03,16.42,river,36.48
1700,adm_1700_005,Иркутский уезд,уезд,Уездная сеть Сибири,833.634,0.0,213.634,110.0,410.0,80.0,20.0,0.0,25.63,13.2,49.18,9.6,2.4,watershed,49.18
1700,adm_1700_006,Тобольский уезд,уезд,Уездная сеть Сибири,1959.078,0.0,640.0,20.0,960.0,149.078,190.0,0.0,32.67,1.02,49.0,7.61,9.7,watershed,49.0
1700,adm_1700_007,Нарымский уезд,уезд,Уездная сеть Сибири,1548.092,0.0,810.0,0.0,588.092,60.0,90.0,0.0,52.32,0.0,37.99,3.88,5.81,river,52.32
1700,adm_1700_008,Кетский уезд,уезд,Уездная сеть Сибири,1048.983,0.0,270.0,0.0,638.983,30.0,110.0,0.0,25.74,0.0,60.91,2.86,10.49,watershed,60.91
1700,adm_1700_009,Сургутский уезд,уезд,Уездная сеть Сибири,2669.456,0.0,740.0,10.0,1459.456,50.0,410.0,0.0,27.72,0.37,54.67,1.87,15.36,watershed,54.67
1700,adm_1700_010,Пелымский уезд,уезд,Уездная сеть Сибири,1511.887,0.0,601.887,20.0,700.0,30.0,160.0,0.0,39.81,1.32,46.3,1.98,10.58,watershed,46.3
