year,units,segment_features,total_boundary_km,coast_km,coast_pct,river_km,river_pct,lake_km,lake_pct,watershed_km,watershed_pct,inherited_km,inherited_pct,unexplained_km,unexplained_pct
1700,20,836,53874.295,15840.411,29.4,10458.797,19.41,872.964,1.62,19299.531,35.82,3142.592,5.83,4260.0,7.91
1719,34,1136,92442.632,35552.327,38.46,17088.688,18.49,420.0,0.45,25861.638,27.98,3044.252,3.29,10475.727,11.33
1724,34,1136,92442.632,35552.327,38.46,17088.688,18.49,420.0,0.45,25861.638,27.98,3044.252,3.29,10475.727,11.33
1727,24,975,85842.014,35552.327,41.42,15617.568,18.19,420.0,0.49,21983.779,25.61,3024.252,3.52,9244.088,10.77
1745,18,942,58272.651,15646.083,26.85,9858.117,16.92,120.0,0.21,23438.047,40.22,3090.0,5.3,6120.404,10.5
1765,19,712,55169.375,15646.083,28.36,9218.355,16.71,70.0,0.13,24346.491,44.13,2239.658,4.06,3648.788,6.61
1780,12,407,41903.956,16080.705,38.38,12463.495,29.74,110.0,0.26,9835.279,23.47,1310.0,3.13,2104.476,5.02
1783,25,842,56594.587,16064.673,28.39,15421.45,27.25,416.752,0.74,16247.393,28.71,4694.006,8.29,3750.314,6.63
1798,22,804,53556.61,15645.095,29.21,14439.809,26.96,300.0,0.56,15712.971,29.34,3606.618,6.73,3852.117,7.19
1805,25,889,55826.8,15646.564,28.03,13863.977,24.83,270.0,0.48,17772.644,31.84,4406.531,7.89,3867.084,6.93
1809,19,684,51069.914,15646.146,30.64,11882.966,23.27,230.0,0.45,17760.088,34.78,2850.714,5.58,2700.0,5.29
1821,26,890,56165.266,15646.564,27.86,14742.834,26.25,260.0,0.46,18046.177,32.13,4047.881,7.21,3421.81,6.09
1838,27,920,40268.656,4252.699,10.56,6270.062,15.57,250.0,0.62,18392.822,45.68,4039.508,10.03,7063.565,17.54
1848,18,805,38660.682,4271.472,11.05,5546.432,14.35,450.0,1.16,18471.93,47.78,4984.91,12.89,4935.938,12.77
1855,26,953,48913.674,4259.004,8.71,7017.572,14.35,1677.838,3.43,23143.736,47.32,4979.891,10.18,7835.633,16.02
1876,27,1046,50169.926,4263.078,8.5,7727.423,15.4,1290.0,2.57,25057.643,49.95,4940.197,9.85,6891.585,13.74
1897,30,1152,52319.635,4261.618,8.15,7564.073,14.46,1085.677,2.08,26374.971,50.41,5431.233,10.38,7602.063,14.53
1914,28,1145,52135.246,4257.457,8.17,7887.638,15.13,1000.0,1.92,25223.765,48.38,5736.017,11.0,8030.369,15.4
1918,33,1025,43117.783,4262.404,9.89,6407.891,14.86,320.0,0.74,21074.53,48.88,7214.78,16.73,3838.18,8.9
1923,30,1002,42897.036,4252.699,9.91,6440.119,15.01,330.0,0.77,20983.657,48.92,8128.033,18.95,2762.527,6.44
1926,278,2635,97507.045,5838.557,5.99,15546.682,15.94,1389.128,1.42,45165.909,46.32,21979.149,22.54,7587.62,7.78
1930,206,2329,90801.988,5848.094,6.44,14026.059,15.45,1024.255,1.13,40871.627,45.01,23639.872,26.03,5392.081,5.94
1939,241,2552,98985.511,6000.036,6.06,13457.916,13.6,1341.553,1.36,46720.858,47.2,26479.538,26.75,4985.609,5.04
1947,252,2580,105119.824,6601.163,6.28,15609.736,14.85,1419.288,1.35,49806.604,47.38,28116.213,26.75,3566.82,3.39
1959,250,2471,109031.753,6640.074,6.09,14003.287,12.84,1432.684,1.31,55624.649,51.02,29833.045,27.36,1498.016,1.37
1964,158,1989,88388.391,620.809,0.7,11581.04,13.1,1280.0,1.45,47375.127,53.6,23612.542,26.71,3918.871,4.43
1970,235,2340,104519.784,6642.545,6.36,14294.94,13.68,1626.256,1.56,53041.939,50.75,28443.796,27.21,470.306,0.45
1979,247,2428,107343.554,6658.274,6.2,14480.245,13.49,1551.515,1.45,53831.189,50.15,30042.024,27.99,780.306,0.73
1989,221,2524,111972.314,6658.566,5.95,15591.904,13.92,1622.163,1.45,55777.658,49.81,31955.268,28.54,366.759,0.33
2021,288,2920,126152.937,6698.991,5.31,18078.356,14.33,2009.414,1.59,61623.392,48.85,29707.289,23.55,8035.494,6.37
