year;unit_id;name;unit_type;admin_parent;admin_intermediate;admin_superparent;nb_total_boundary_km;nb_coast_km;nb_coast_pct;nb_river_km;nb_river_pct;nb_lake_km;nb_lake_pct;nb_watershed_flowing_km;nb_watershed_flowing_pct;nb_watershed_endo_km;nb_watershed_endo_pct;nb_watershed_km;nb_watershed_pct;nb_wetland_km;nb_wetland_pct;nb_wetland_data_available;nb_unexplained_physical_km;nb_unexplained_physical_pct;nb_unexplained_km;nb_unexplained_pct;nb_match_2021_km;nb_match_2021_pct;nb_match_mo_km;nb_match_mo_pct;nb_admin_memory_km;nb_admin_memory_pct;nb_rail_km;nb_rail_pct;nb_admin_infra_union_km;nb_admin_infra_union_pct;nb_geometric_candidate_km;nb_geometric_candidate_pct;nb_rectilinear_candidate_km;nb_rectilinear_candidate_pct;nb_dominant_physical_origin;nb_dominant_physical_origin_label;nb_dominant_physical_origin_pct;nb_dominant_origin;nb_dominant_origin_label;nb_dominant_origin_pct;nb_method_version;nb_method_note
1700;adm_1700_001;Туруханский уезд;уезд;Уездная сеть Сибири;Уездная сеть Сибири;Сибирский приказ / Русское царство;15821.358;10231.497;64.67;1249.955;7.9;30.0;0.19;3379.969;21.36;0.0;0.0;3379.969;21.36;;;False;929.938;5.88;929.938;5.88;1051.463;6.65;7307.42;46.19;8261.96;52.22;0.0;0.0;8261.96;52.22;559.951;3.54;279.954;1.77;coastline;береговая линия;64.67;coastline;береговая линия;64.67;v125;"v125: physical morphology is separate from admin/MO/rail matches; match metrics use sample fractions along segment, not all-or-nothing dwithin; wetlands require a vector wetland layer."
1700;adm_1700_002;Берёзовский уезд;уезд;Уездная сеть Сибири;Уездная сеть Сибири;Сибирский приказ / Русское царство;9104.14;5603.874;61.55;479.977;5.27;20.0;0.22;2460.289;27.02;0.0;0.0;2460.289;27.02;;;False;540.001;5.93;540.001;5.93;6929.933;76.12;170.011;1.87;6980.928;76.68;17.795;0.2;6980.928;76.68;520.001;5.71;240.0;2.64;coastline;береговая линия;61.55;coastline;береговая линия;61.55;v125;"v125: physical morphology is separate from admin/MO/rail matches; match metrics use sample fractions along segment, not all-or-nothing dwithin; wetlands require a vector wetland layer."
1700;adm_1700_003;Енисейский уезд;уезд;Уездная сеть Сибири;Уездная сеть Сибири;Сибирский приказ / Русское царство;4067.497;0.0;0.0;1199.973;29.5;80.001;1.97;1997.588;49.11;0.0;0.0;1997.588;49.11;;;False;789.934;19.42;789.934;19.42;102.164;2.51;1116.795;27.46;1198.27;29.46;0.0;0.0;1198.27;29.46;589.957;14.5;209.966;5.16;watershed_flowing;водораздел сточных бассейнов;49.11;watershed_flowing;водораздел сточных бассейнов;49.11;v125;"v125: physical morphology is separate from admin/MO/rail matches; match metrics use sample fractions along segment, not all-or-nothing dwithin; wetlands require a vector wetland layer."
1700;adm_1700_004;Илимский уезд;уезд;Уездная сеть Сибири;Уездная сеть Сибири;Сибирский приказ / Русское царство;2192.915;0.0;0.0;799.977;36.48;322.963;14.73;489.998;22.34;0.0;0.0;489.998;22.34;;;False;579.977;26.45;579.977;26.45;0.0;0.0;581.505;26.52;581.505;26.52;0.0;0.0;581.505;26.52;299.979;13.68;109.986;5.02;river;река;36.48;river;река;36.48;v125;"v125: physical morphology is separate from admin/MO/rail matches; match metrics use sample fractions along segment, not all-or-nothing dwithin; wetlands require a vector wetland layer."
1700;adm_1700_005;Иркутский уезд;уезд;Уездная сеть Сибири;Уездная сеть Сибири;Сибирский приказ / Русское царство;833.628;0.0;0.0;213.628;25.63;110.0;13.2;410.001;49.18;0.0;0.0;410.001;49.18;;;False;99.999;12.0;99.999;12.0;0.0;0.0;306.167;36.73;306.167;36.73;0.0;0.0;306.167;36.73;20.0;2.4;0.0;0.0;watershed_flowing;водораздел сточных бассейнов;49.18;watershed_flowing;водораздел сточных бассейнов;49.18;v125;"v125: physical morphology is separate from admin/MO/rail matches; match metrics use sample fractions along segment, not all-or-nothing dwithin; wetlands require a vector wetland layer."
1700;adm_1700_006;Тобольский уезд;уезд;Уездная сеть Сибири;Уездная сеть Сибири;Сибирский приказ / Русское царство;1958.973;0.0;0.0;639.971;32.67;20.0;1.02;959.998;49.01;0.0;0.0;959.998;49.01;;;False;339.004;17.31;339.004;17.31;336.375;17.17;533.803;27.25;655.723;33.47;13.537;0.69;655.723;33.47;309.016;15.77;119.999;6.13;watershed_flowing;водораздел сточных бассейнов;49.01;watershed_flowing;водораздел сточных бассейнов;49.01;v125;"v125: physical morphology is separate from admin/MO/rail matches; match metrics use sample fractions along segment, not all-or-nothing dwithin; wetlands require a vector wetland layer."
1700;adm_1700_007;Нарымский уезд;уезд;Уездная сеть Сибири;Уездная сеть Сибири;Сибирский приказ / Русское царство;1548.085;0.0;0.0;810.004;52.32;0.0;0.0;588.08;37.99;0.0;0.0;588.08;37.99;;;False;150.0;9.69;150.0;9.69;202.281;13.07;285.497;18.44;348.654;22.52;0.0;0.0;348.654;22.52;100.001;6.46;70.0;4.52;river;река;52.32;river;река;52.32;v125;"v125: physical morphology is separate from admin/MO/rail matches; match metrics use sample fractions along segment, not all-or-nothing dwithin; wetlands require a vector wetland layer."
1700;adm_1700_008;Кетский уезд;уезд;Уездная сеть Сибири;Уездная сеть Сибири;Сибирский приказ / Русское царство;1048.968;0.0;0.0;270.004;25.74;0.0;0.0;638.969;60.91;0.0;0.0;638.969;60.91;;;False;139.995;13.35;139.995;13.35;189.932;18.11;76.917;7.33;249.218;23.76;4.0;0.38;253.218;24.14;80.002;7.63;30.0;2.86;watershed_flowing;водораздел сточных бассейнов;60.91;watershed_flowing;водораздел сточных бассейнов;60.91;v125;"v125: physical morphology is separate from admin/MO/rail matches; match metrics use sample fractions along segment, not all-or-nothing dwithin; wetlands require a vector wetland layer."
1700;adm_1700_009;Сургутский уезд;уезд;Уездная сеть Сибири;Уездная сеть Сибири;Сибирский приказ / Русское царство;2669.396;0.0;0.0;739.949;27.72;10.0;0.37;1459.45;54.67;0.0;0.0;1459.45;54.67;;;False;459.997;17.23;459.997;17.23;461.771;17.3;152.84;5.73;585.296;21.93;4.0;0.15;585.296;21.93;309.997;11.61;190.001;7.12;watershed_flowing;водораздел сточных бассейнов;54.67;watershed_flowing;водораздел сточных бассейнов;54.67;v125;"v125: physical morphology is separate from admin/MO/rail matches; match metrics use sample fractions along segment, not all-or-nothing dwithin; wetlands require a vector wetland layer."
1700;adm_1700_010;Пелымский уезд;уезд;Уездная сеть Сибири;Уездная сеть Сибири;Сибирский приказ / Русское царство;1511.885;0.0;0.0;601.886;39.81;19.999;1.32;699.999;46.3;0.0;0.0;699.999;46.3;;;False;190.001;12.57;190.001;12.57;120.715;7.98;200.247;13.24;273.209;18.07;8.545;0.57;277.209;18.34;140.002;9.26;20.0;1.32;watershed_flowing;водораздел сточных бассейнов;46.3;watershed_flowing;водораздел сточных бассейнов;46.3;v125;"v125: physical morphology is separate from admin/MO/rail matches; match metrics use sample fractions along segment, not all-or-nothing dwithin; wetlands require a vector wetland layer."
