year;units;total_boundary_km;coast_pct;river_pct;lake_pct;watershed_flowing_pct;watershed_endo_pct;watershed_total_pct;wetland_pct;unexplained_physical_pct;match_2021_pct;match_mo_pct;admin_memory_pct;rail_pct;admin_infra_union_pct;geometric_candidate_pct;rectilinear_candidate_pct
1700;19;53868.246;29.4;19.41;1.62;35.66;0.16;35.83;;13.74;20.31;29.75;46.32;0.61;46.58;9.73;3.33
1719;33;92432.262;38.45;18.49;0.45;27.76;0.21;27.98;;14.63;14.23;17.08;28.42;0.68;28.84;7.38;2.56
1724;33;92432.262;38.45;18.49;0.45;27.76;0.21;27.98;;14.63;14.23;17.08;28.42;0.68;28.84;7.38;2.56
1727;23;85831.935;41.41;18.2;0.49;25.38;0.23;25.61;;14.29;15.33;18.38;30.59;0.7;31.01;7.36;2.57
1745;18;58266.091;26.84;16.92;0.21;39.28;0.94;40.22;;15.81;20.19;26.07;41.88;1.16;42.6;9.54;2.26
1765;19;55163.397;28.35;16.71;0.13;42.67;1.46;44.13;;10.67;23.82;30.26;48.4;0.98;48.95;8.12;3.01
1780;12;41897.596;38.37;29.75;0.26;23.45;0.02;23.47;;8.15;27.62;38.72;59.3;0.9;59.73;4.57;0.72
1783;25;56587.666;28.38;27.25;0.74;28.13;0.58;28.71;;14.92;24.72;34.29;50.6;1.02;51.16;9.06;2.77
1798;22;53550.086;29.21;26.96;0.56;28.97;0.37;29.34;;13.93;24.81;30.93;48.26;0.69;48.65;8.22;2.4
1805;25;55820.451;28.02;24.84;0.48;31.8;0.04;31.84;;14.82;25.44;30.84;47.48;0.63;47.88;7.36;1.32
1809;19;51063.026;30.63;23.27;0.45;34.43;0.35;34.78;;10.87;27.5;33.83;52.04;1.16;52.48;6.32;1.35
1821;26;56159.069;27.85;26.25;0.46;31.11;1.02;32.13;;13.3;25.27;32.58;48.78;0.76;49.17;6.99;1.21
1838;27;40266.095;10.56;15.57;0.62;41.33;4.35;45.68;;27.57;27.95;21.07;37.51;1.48;38.44;17.93;4.25
1848;18;38657.251;11.05;14.35;1.16;42.39;5.39;47.78;;25.66;34.67;30.41;47.99;1.31;48.43;8.15;1.16
1855;26;48910.819;8.71;14.35;3.43;40.21;7.1;47.32;;26.2;27.79;23.31;38.26;1.77;39.36;10.39;0.65
1876;27;50165.832;8.5;15.4;2.57;44.86;5.09;49.95;;23.58;28.55;22.57;38.0;1.32;38.71;7.68;1.56
1897;29;52313.498;8.14;14.46;2.08;44.44;5.97;50.42;;24.91;28.02;22.69;37.45;1.42;38.26;7.92;1.82
1914;28;52131.72;8.17;15.13;1.92;43.17;5.21;48.38;;26.4;30.28;21.98;37.55;1.38;38.43;7.4;1.53
1918;33;43114.061;9.88;14.86;0.74;46.51;2.37;48.88;;25.63;43.2;36.33;55.74;1.64;56.49;6.15;0.95
1923;30;42893.313;9.91;15.01;0.77;46.23;2.69;48.92;;25.39;45.29;42.37;59.9;1.3;60.33;5.91;0.92
1926;278;97493.094;5.98;15.94;1.42;44.22;2.1;46.32;;30.32;41.32;43.56;57.74;1.9;58.4;5.25;1.4
1930;206;90790.424;6.44;15.45;1.13;42.58;2.44;45.01;;31.97;50.76;52.14;65.37;1.57;65.83;3.98;1.13
1939;241;98969.491;6.06;13.6;1.36;45.31;1.9;47.2;;31.79;63.15;57.52;72.04;2.08;72.34;3.59;0.95
1947;252;105105.876;6.28;14.85;1.35;45.32;2.07;47.38;;30.14;69.97;57.38;77.9;1.83;78.16;3.16;1.13
1959;250;109012.871;6.09;12.84;1.31;49.02;2.0;51.02;;28.74;81.93;62.29;87.81;1.8;88.04;2.12;0.72
1964;158;88375.464;0.7;13.1;1.45;51.51;2.09;53.6;;31.15;81.18;61.36;85.89;1.89;86.1;2.48;0.4
1970;235;104499.642;6.35;13.68;1.56;48.76;1.99;50.75;;27.66;87.97;62.79;90.7;1.78;90.89;1.66;0.51
1979;247;107324.055;6.2;13.49;1.45;48.23;1.92;50.15;;28.71;89.32;62.66;91.55;1.92;91.76;1.81;0.5
1989;221;111949.226;5.94;13.92;1.45;47.91;1.91;49.82;;28.87;91.34;63.06;93.15;2.31;93.31;1.4;0.46
2021;288;126126.461;5.31;14.33;1.59;47.23;1.62;48.85;;29.92;;62.38;62.38;2.84;63.32;1.54;0.41
