year;units;segments;total_boundary_km;coastline_km;river_km;lake_km;watershed_flowing_km;watershed_endo_km;wetland_km;unexplained_physical_km;match_2021_km;match_mo_km;admin_memory_km;rail_km;admin_infra_union_km;geometric_candidate_km;rectilinear_candidate_km;watershed_km;coastline_pct;river_pct;lake_pct;watershed_flowing_pct;watershed_endo_pct;wetland_pct;unexplained_physical_pct;watershed_pct;match_2021_pct;match_mo_pct;admin_memory_pct;rail_pct;admin_infra_union_pct;geometric_candidate_pct;rectilinear_candidate_pct
1700;19;836;53868.250000000065;15835.372;10458.512;872.954;19249.272;50.0;1609.951;5792.189;10941.417;16023.421;24953.481;329.071;25247.374;3922.339;1163.424;19299.272;29.396;19.415;1.621;35.734;0.093;2.989;10.753;35.827;20.311;29.746;46.323;0.611;46.869;7.281;2.16
1719;33;1136;92432.26700000007;35543.586;17088.309;420.0;25610.877;250.001;1824.384;11695.11;13155.752;15785.198;26269.896;628.433;26867.994;5431.183;1750.142;25860.878;38.454;18.487;0.454;27.708;0.27;1.974;12.653;27.978;14.233;17.078;28.421;0.68;29.068;5.876;1.893
1724;33;1136;92432.2670000001;35543.586;17088.309;420.0;25610.877;250.001;1824.384;11695.11;13155.752;15785.198;26269.896;628.433;26867.994;5431.183;1750.142;25860.878;38.454;18.487;0.454;27.708;0.27;1.974;12.653;27.978;14.233;17.078;28.421;0.68;29.068;5.876;1.893
1727;23;975;85831.93600000007;35543.586;15617.217;420.0;21733.121;250.001;1824.384;10443.627;13155.752;15772.724;26257.421;602.275;26829.362;4919.61;1588.502;21983.122;41.411;18.195;0.489;25.321;0.291;2.126;12.168;25.612;15.327;18.376;30.592;0.702;31.258;5.732;1.851
1745;18;942;58266.09600000002;15641.055;9857.787;119.991;22697.473;740.002;1425.257;7784.531;11763.827;15189.394;24400.328;677.609;24971.282;4414.938;994.095;23437.475;26.844;16.919;0.206;38.955;1.27;2.446;13.36;40.225;20.19;26.069;41.877;1.163;42.857;7.577;1.706
1765;19;712;55163.39700000009;15641.026;9218.054;69.998;23606.108;739.982;1582.456;4305.773;13141.709;16694.267;26698.954;538.23;27198.347;3008.718;1248.767;24346.09;28.354;16.71;0.127;42.793;1.341;2.869;7.805;44.135;23.823;30.263;48.4;0.976;49.305;5.454;2.264
1780;12;407;41897.602000000006;16075.178;12463.164;109.978;9834.932;0.0;530.001;2884.349;11573.048;16222.705;24842.932;375.868;25173.321;1474.457;290.0;9834.932;38.368;29.747;0.262;23.474;0.0;1.265;6.884;23.474;27.622;38.72;59.294;0.897;60.083;3.519;0.692
1783;25;842;56587.654000000075;16059.153;15421.109;416.75;15836.797;409.879;1777.079;6666.887;13988.781;19405.534;28632.513;575.683;29119.516;4046.782;1256.828;16246.676;28.379;27.252;0.736;27.986;0.724;3.14;11.782;28.711;24.721;34.293;50.599;1.017;51.459;7.151;2.221
1798;22;804;53550.088000000054;15640.056;14439.305;299.985;15493.028;219.327;1556.493;5901.894;13286.81;16565.167;25841.953;370.241;26185.394;3335.583;840.061;15712.355;29.206;26.964;0.56;28.932;0.41;2.907;11.021;29.341;24.812;30.934;48.258;0.691;48.899;6.229;1.569
1805;25;889;55820.441000000006;15641.522;13863.586;269.968;17762.149;10.0;1609.979;6663.237;14201.527;17217.18;26501.566;350.688;26829.674;3187.086;706.223;17772.149;28.021;24.836;0.484;31.82;0.018;2.884;11.937;31.838;25.441;30.844;47.476;0.628;48.064;5.71;1.265
