year;segments_total;segments_unexplained_checked;segments_reclassified_to_wetland;wetland_reclassified_km;total_boundary_km
1700;836;303;71;1609.951;53868.25
1719;1136;417;82;1824.384;92432.267
1724;1136;417;82;1824.384;92432.267
1727;975;365;82;1824.384;85831.936
1745;942;341;66;1425.257;58266.096
1765;712;237;63;1582.456;55163.397
1780;407;138;23;530.001;41897.602
1783;842;332;85;1777.079;56587.654
1798;804;289;71;1556.493;53550.088
1805;889;324;68;1609.979;55820.441
1809;684;234;70;1745.588;51063.015
1821;890;328;79;1698.737;56159.056
1838;920;376;57;1465.045;40266.096
1848;805;297;82;1732.181;38657.247
1855;953;385;67;1511.003;48910.826
1876;1046;426;84;1806.691;50165.813
1897;1152;458;83;1719.794;52313.499
1914;1145;457;86;2089.948;52131.712
1918;1025;411;115;2782.072;43114.06
1923;1002;401;136;3197.939;42893.32
1926;2635;1084;208;5434.612;97493.078
1930;2329;946;206;5997.051;90790.426
1939;2552;997;252;6751.425;98969.499
1947;2580;1000;272;7390.027;105105.865
1959;2471;957;239;7135.082;109012.849
1964;1989;763;194;5707.026;88375.489
1970;2340;859;226;6422.148;104499.625
1979;2428;913;251;7237.692;107324.057
1989;2524;943;250;7661.826;111949.221
2021;2920;1099;263;7645.917;126126.442
