year,before_ate_total_count,before_total_population,before_avg_population,before_population_density,before_urban_population,before_rural_population,before_urban_share,before_total_area_km2,before_avg_area_km2,after_ate_total_count,after_total_population,after_avg_population,after_population_density,after_urban_population,after_rural_population,after_urban_share,after_total_area_km2,after_avg_area_km2,raw_features,count_ge_200,under_200,under_200_population
1700,20,,,,,,,5308432.528,312260.737,17,0.0,0.0,0.0,,,,5308432.541,279391.186,19,17,2,0.0
1719,34,,,,,,,11146077.264,445843.091,25,0.0,0.0,0.0,,,,11146153.032,398076.894,28,25,3,0.0
1724,34,,,,,,,11146077.264,445843.091,25,0.0,0.0,0.0,,,,11146153.032,398076.894,28,25,3,0.0
1727,24,,,,,,,10905352.18,681584.511,16,0.0,0.0,0.0,,,,10905384.547,605854.697,18,16,2,0.0
1745,18,,,,,,,5066082.09,361863.006,14,0.0,0.0,0.0,,,,5066082.09,361863.006,14,14,0,0.0
1765,19,,,,,,,5014658.167,334310.544,15,0.0,0.0,0.0,,,,5014658.167,334310.544,15,15,0,0.0
1780,12,,,,,,,700532.857,175133.214,4,0.0,0.0,0.0,,,,700532.857,140106.571,5,4,1,0.0
1783,25,602900.0,28709.524,0.124076,,,,4859135.911,231387.424,21,602900.0,27404.545,0.124076,,,,4859135.911,220869.814,22,21,1,0.0
1798,22,,,,,,,4849294.941,285252.644,17,0.0,0.0,0.0,,,,4849295.366,269405.298,18,17,1,0.0
1805,25,,,,,,,4856778.702,269821.039,17,0.0,0.0,0.0,,,,4856778.702,269821.039,18,17,1,0.0
1809,19,614477.0,36145.706,0.124451,,,,4937488.105,290440.477,17,614477.0,36145.706,0.124451,,,,4937488.105,290440.477,17,17,0,0.0
1821,26,842227.0,49542.765,0.173957,,,,4841567.679,284798.099,17,842227.0,49542.765,0.173957,,,,4841567.679,284798.099,17,17,0,0.0
1838,27,1238926.0,65206.632,0.525026,,,,2359742.783,124196.989,19,1238926.0,65206.632,0.525026,,,,2359742.783,124196.989,19,19,0,0.0
1848,18,1419337.0,94622.467,0.609329,,,,2329343.02,155289.535,16,1419337.0,88708.562,0.404512,,,,3508766.038,219297.877,16,16,0,0.0
1855,26,2234432.0,85939.692,0.618944,165688.0,2068744.0,0.074152,3570622.77,142824.911,26,2234432.0,85939.692,0.618944,165688.0,2068744.0,0.074152,3610069.588,138848.83,26,26,0,0.0
1876,27,3291163.0,121894.926,1.005133,236734.0,3054429.0,0.07193,3274354.929,121272.405,27,3291163.0,121894.926,1.005133,236734.0,3054429.0,0.07193,3274354.929,121272.405,27,27,0,0.0
1897,30,4727920.0,175108.148,1.435515,360292.0,4383398.0,0.076205,3293535.623,113570.194,27,4727920.0,157597.333,1.435515,360292.0,4383398.0,0.076205,3293535.623,109784.521,30,27,3,0.0
1914,28,8544477.0,316462.111,2.590698,788274.0,7756203.0,0.092255,3298137.32,122153.234,27,8544477.0,305159.893,2.590698,788274.0,7756203.0,0.092255,3298137.42,117790.622,28,27,1,0.0
1918,33,6504358.0,250167.615,2.916039,587300.0,5917058.0,0.090293,2230545.595,85790.215,32,6504527.0,197106.879,2.863197,587300.0,5917227.0,0.090291,2271770.886,68841.542,33,32,1,169.0
1923,30,6793818.0,251622.889,3.103717,591700.0,6202118.0,0.087094,2188929.783,81071.473,30,6793818.0,226460.6,3.08791,591700.0,6202118.0,0.087094,2200134.503,73337.817,30,30,0,0.0
1926,278,8288311.0,31395.117,3.536452,113290.0,8175021.0,0.013669,2343679.794,8844.075,265,8940247.0,32159.162,3.814082,765226.0,8175021.0,0.085593,2344009.883,8431.69,278,265,13,651936.0
1930,206,7088736.0,37113.801,3.069344,284953.0,6803783.0,0.040198,2309528.154,12091.77,191,7857997.0,38145.617,3.401866,1054213.0,6803784.0,0.134158,2309907.931,11213.145,206,191,15,769261.0
1939,241,6657079.0,32159.802,2.983273,71854.0,6585225.0,0.010794,2231468.16,10780.039,201,8919779.0,37011.531,3.995487,2334554.0,6585225.0,0.261728,2232463.547,9263.334,241,201,40,2334554.0
1947,252,6206627.0,28340.763,2.614756,1077219.0,5129408.0,0.173559,2373692.18,10838.777,217,8822438.0,35009.675,3.716168,3085097.0,5737341.0,0.349688,2374068.63,9420.907,252,217,35,2631707.0
1959,250,6832775.0,31343.005,2.88478,1333758.0,5499017.0,0.1952,2368560.14,10864.955,217,11251563.0,45006.252,4.749683,5751323.0,5500240.0,0.511158,2368908.34,9475.633,250,217,33,4440575.0
1964,158,6700548.0,53178.952,2.705416,1171526.0,5529022.0,0.17484,2476716.48,19656.48,122,11598183.0,73406.222,4.682229,6069161.0,5529022.0,0.523286,2477064.68,15677.625,158,122,36,5056422.0
1970,235,6103723.0,31790.224,2.57667,,,,2368841.86,12337.718,190,12014127.0,51123.945,5.070892,,,,2369233.38,10081.844,235,190,45,5960964.0
1979,247,7743503.0,38145.335,3.268973,,,,2368787.51,11668.904,196,12886229.0,52170.968,5.438876,,,,2369281.8,9592.234,247,196,51,5725211.0
1989,221,15003215.0,67887.851,6.332381,10920662.0,4082553.0,0.727888,2369284.8,10720.746,211,15003215.0,67887.851,6.332381,10920662.0,4082553.0,0.727888,2369284.8,10720.746,221,211,10,1002856.0
2021,288,14834721.0,52981.146,6.078437,10495417.0,3917075.0,0.70749,2440548.49,8716.245,255,15466534.0,53703.243,6.336768,11127166.0,3917139.0,0.719435,2440760.77,8474.864,288,255,33,1935314.0
