name,admin_parent,center,population,urban_pop,rural_pop,urban_share,source
Купинский,Барабинский округ,город Купино,46410.0,46410.0,0.0,1.0,v21 centers_1926_final: г. Купино
Кузнецкий,Кузнецкий округ,город Кузнецк,22878.0,22878.0,0.0,1.0,v21 centers_1926_final: г. Кузнецк (Новокузнецк)
Бердский,Новосибирский округ,г. Бердск,41380.0,41380.0,0.0,1.0,v21 centers_1926_final: 3с. Бердское (г. Бердск)
Ленинский,Кузнецкий округ,город Ленинск,64141.0,64141.0,0.0,1.0,v21 centers_1926_final: г. Ленинск-Кузнецкий
Куртамышский,Курганский округ,с. Куртамыш,30302.0,30302.0,0.0,1.0,v21 centers_1926_final: г. Куртамыш
Петуховский,Ишимский округ,село Юдино,42897.0,42897.0,0.0,1.0,v21 centers_1926_final: г. Петухово
Калачинский,Омский округ,г. Калачинск,55319.0,55319.0,0.0,1.0,v21 centers_1926_final: г. Калачинск
Исиль-Кульский,Омский округ,г. Исилькуль,39007.0,39007.0,0.0,1.0,v21 centers_1926_final: г. Исиль-Куль
Макушинский,Курганский округ,с. Макушино,36619.0,36619.0,0.0,1.0,v21 centers_1926_final: г. Макушино
Колыванский,Новосибирский округ,с. Колывань,26849.0,26849.0,0.0,1.0,v21 centers_1926_final: г. Колывань
Кемеровский,Кузнецкий округ,село Кемерово,25837.0,25837.0,0.0,1.0,v21 centers_1926_final: г. Кемерово
Барабинский,Барабинский округ,город Барабинск,53205.0,14484.0,38721.0,0.27223,v21 centers_1926_final: г. Барабинск + сельская часть района
Чаусовский,Курганский округ,г. Курган,78399.0,28143.0,50256.0,0.358971,v21 centers_1926_final: г. Курган + сельская часть района
Татарский,Барабинский округ,город Татарск,64984.0,9736.0,55248.0,0.149821,v21 centers_1926_final: г. Татарск + сельская часть района
Называевский,Омский округ,г. Называевск,43513.0,43513.0,0.0,1.0,v21 centers_1926_final: г. Называевск
Щегловский,Кузнецкий округ,город Щегловск,35001.0,35001.0,0.0,1.0,v21 centers_1926_final: г. Щегловск (Кемерово)
Каргатский,Новосибирский округ,г. Каргат,45480.0,45480.0,0.0,1.0,v21 centers_1926_final: г. Каргат
Тайгинский,Томский округ,г. Тайга,31478.0,31478.0,0.0,1.0,v21 centers_1926_final: г. Тайга
Рубцовский,Рубцовский округ,г. Рубцовск,81601.0,81601.0,0.0,1.0,v21 centers_1926_final: Рубцово (с 1927 г. — Рубцовск)
Исетский,Шадринский округ,с. Исетское (Шадр.),49231.0,49231.0,0.0,1.0,v21 centers_1926_final: г. Шадринск
Судженский,Томский округ,г. Судженка (Анжеро-Судженск),53321.0,53321.0,0.0,1.0,v21 centers_1926_final: г. Анжеро-Судженск
Тюкалинский,Омский округ,г. Тюкалинск,54128.0,54128.0,0.0,1.0,v21 centers_1926_final: г. Тюкалинск
Долматовский,Шадринский округ,г. Далматово,44233.0,44233.0,0.0,1.0,v21 centers_1926_final: г. Далматово
Катайский,Шадринский округ,г. Катайск,42808.0,42808.0,0.0,1.0,v21 centers_1926_final: г. Катайск
Мариинский,Томский округ,г. Мариинск,38482.0,38482.0,0.0,1.0,v21 centers_1926_final: г. Мариинск
Томский,Томский округ,г. Томск,211376.0,161684.0,49692.0,0.764912,v21 centers_1926_final: г. Томск + сельская часть района
Каменский,Шадринский округ,г. Каменск-Уральский,57380.0,57380.0,0.0,1.0,v21 centers_1926_final: г. Каменск-Уральский
Ялуторовский,Тюменский округ,г. Ялуторовск,43869.0,43869.0,0.0,1.0,v21 centers_1926_final: г. Ялуторовск
Камышловский,Шадринский округ,г. Камышлов,59611.0,59611.0,0.0,1.0,v21 centers_1926_final: г. Камышлов
Талицкий,Тюменский округ,г. Талица,43165.0,43165.0,0.0,1.0,v21 centers_1926_final: г. Талица
Тюменский,Тюменский округ,г. Тюмень,105135.0,50323.0,54812.0,0.478651,v21 centers_1926_final: г. Тюмень + сельская часть района
Ирбитский,Ирбитский округ,город Ирбит,26242.0,26242.0,0.0,1.0,v21 centers_1926_final: г. Ирбит
Туринский,Ирбитский округ,город Туринск,32542.0,32542.0,0.0,1.0,v21 centers_1926_final: г. Туринск
Тобольский,Тобольский округ,г. Тобольск,41999.0,41999.0,0.0,1.0,v21 centers_1926_final: г. Тобольск
Сургутский,Тобольский округ,г. Сургут,6915.0,6915.0,0.0,1.0,v21 centers_1926_final: г. Сургут
Берёзовский,Тобольский округ,г. Берёзово,12875.0,12875.0,0.0,1.0,v21 centers_1926_final: г. Берёзово
Богдановичевский,Шадринский округ,г. Богданович,27611.0,27611.0,0.0,1.0,v21 centers_1926_final: г. Богданович
Бийский,Бийский округ,г. Бийск,106161.0,45511.0,60650.0,0.428698,v21 centers_1926_final: г. Бийск + сельская часть района
Славгородский,Славгородский,г. Славгород,57987.0,14531.0,43456.0,0.250591,v21 centers_1926_final: г. Славгород + сельская часть района
Барнаульский (Шадринский),Барнаульский округ,село Шадрино,129986.0,73858.0,56128.0,0.5682,v21 centers_1926_final: г. Барнаул + сельская часть района
Каменский район,Каменский округ,город Камень-на-Оби,65709.0,22952.0,42757.0,0.349298,v21 centers_1926_final: г. Камень-на-Оби + сельская часть района
Змеиногорский,Рубцовский округ,г. Змеиногорск,62706.0,62706.0,0.0,1.0,v21 centers_1926_final: г. Змеиногорск
Прокопьевский,Кузнецкий округ,село Прокопьевка,45655.0,45655.0,0.0,1.0,v21 centers_1926_final: г. Прокопьевск
Черепановский,Новосибирский округ,г. Черепаново,68635.0,68635.0,0.0,1.0,v21 centers_1926_final: г. Черепаново
