unit_id,name,admin_parent,urban_before,urban_after,population,matched_1959_urban_share
adm_1947_1,Кош-Агачский район,Горно-Алтайская автономная область,0,2368,9614,0.186705
adm_1947_4,Локтевский район,Алтайский край,0,12814,28659,0.338898
adm_1947_6,Змеиногорский район,Алтайский край,0,10861,27789,0.296258
adm_1947_20,Поспелихинский район,Алтайский край,0,10641,25165,0.320524
adm_1947_21,Михайловский район,Алтайский край,0,7288,22342,0.247243
adm_1947_25,Смоленский район,Алтайский край,0,5866,32285,0.137729
adm_1947_30,Быстроистокский район,Алтайский край,0,13219,18828,0.53216
adm_1947_31,Алейский район,Алтайский край,0,18864,26563,0.538279
adm_1947_36,Кулундинский район,Алтайский край,0,10010,14866,0.510406
adm_1947_49,Троицкий район,Алтайский край,0,17861,44013,0.307592
adm_1947_53,Таштагольский район,Кемеровская область,0,30057,35177,0.647664
adm_1947_58,Павловский район,Алтайский край,0,7550,21224,0.269633
adm_1947_63,Барнаульский (рц в г. Барнауле),Алтайский край,0,41054,41054,0.960989
adm_1947_64,Кузедеевский район,Кемеровская область,0,14330,16892,0.643027
adm_1947_69,Краюшкинский район,Алтайский край,0,5719,34655,0.125094
adm_1947_71,Карасукский район,Новосибирская область,0,17290,28360,0.462103
adm_1947_74,Тальменский район,Алтайский край,0,18837,39516,0.361329
adm_1947_76,Сорокинский район,Алтайский край,0,16041,42003,0.289465
adm_1947_79,Прокопьевский район,Кемеровская область,0,7500,29281,0.194151
adm_1947_87,Сузунский район,Новосибирская область,0,12824,36098,0.269286
adm_1947_90,Черепановский район,Новосибирская область,0,24505,37315,0.497773
adm_1947_92,Черлакский,Омская область,0,17399,38751,0.340338
adm_1947_94,Беловский район,Кемеровская область,0,10077,33378,0.228831
adm_1947_100,Гурьевский район ),Кемеровская область,0,24748,31727,0.59124
adm_1947_101,Купинский район,Новосибирская область,0,23721,40971,0.438852
adm_1947_102,Маслянинский район,Новосибирская область,0,9483,35976,0.199796
adm_1947_113,Марьяновский район,Омская область,0,7351,28249,0.197253
adm_1947_114,Промышленновский район,Кемеровская область,0,18347,44816,0.31031
adm_1947_115,Москаленский район,Омская область,0,8183,33395,0.185744
adm_1947_116,Исиль-Кульский район,Омская область,0,21654,38533,0.425945
adm_1947_117,Новосибирский район,Новосибирская область,0,13523,48333,0.212081
adm_1947_118,Калачинский район,Омская область,0,18946,33740,0.425632
adm_1947_121,Крапивинский район,Кемеровская область,0,7252,32426,0.169516
adm_1947_122,Тогучинский район,Новосибирская область,0,20468,59858,0.259185
adm_1947_126,Коченевский район,Новосибирская область,0,4600,45735,0.07623
adm_1947_127,Кемеровский район,Кемеровская область,0,6069,35747,0.128688
adm_1947_128,Любинский район,Омская область,0,12727,42129,0.228985
adm_1947_129,Чановский район,Новосибирская область,0,10512,36010,0.221264
adm_1947_130,Топкинский район,Кемеровская область,0,20034,32622,0.465491
adm_1947_131,Каргатский район,Новосибирская область,0,16921,33502,0.382838
adm_1947_137,Чулымский район,Новосибирская область,0,17668,38081,0.351678
adm_1947_138,Тисульский район,Кемеровская область,0,30683,35353,0.657851
adm_1947_140,Называевский район,Омская область,0,20799,46237,0.340968
adm_1947_142,Болотнинский район,Новосибирская область,0,15825,26662,0.449887
adm_1947_150,Яшкинский район,Кемеровская область,0,15305,38655,0.300117
adm_1947_155,Тюкалинский район,Омская область,0,12541,44983,0.211319
adm_1947_161,Анжеро-Судженский район,Кемеровская область,0,17961,28946,0.470335
adm_1947_162,Ижморский район,Кемеровская область,0,4826,30478,0.120016
adm_1947_167,Тяжинский,Кемеровская область,0,15814,43036,0.278533
adm_1947_174,Томский район,Томская область,0,23061,45322,0.385677
adm_1947_176,Тарский район,Омская область,0,15306,28363,0.409038
adm_1947_189,Кривошеинский,Томская область,0,26881,61074,0.333612
adm_1947_208,Каргасокский район,Томская область,0,5251,17243,0.230842
adm_1947_229,Чистоозерный район,Новосибирская область,0,9026,27133,0.252136
adm_1947_u_1,Колпашевский горсовет / район,Томская область,23285,34541,44679,0.585983
adm_1947_u_6,Омский горсовет,Омская область,314815,315793,315793,0.9979
adm_1947_u_35,Барнаульский горсовет,Алтайский край,234416,244499,244499,0.960989
adm_1947_u_36,Мыскинский горсовет,Кемеровская область,11261,15779,15779,0.850665
