year,merge_key_type,merge_key,count_before,kept_unit_id,merged_from_unit_ids,name,admin_parent,population_after,urban_after,rural_after,area_km2_after,rail_length_km_after
1959,unit_id,adm_1959_133,2,adm_1959_133,adm_1959_133;adm_1959_133,Называевский район,Омская область,48374,16494,31880,5701.11,173.44
1959,unit_id,adm_1959_158,2,adm_1959_158,adm_1959_158;adm_1959_158,Крутинский район (сельское население),Омская область,29246,0,29246,5788.44,0.0
1959,unit_id,adm_1959_175,2,adm_1959_175,adm_1959_175;adm_1959_175,Викуловский район (сельское население),Тюменская область,26375,0,26375,5511.05,0.0
1959,unit_id,adm_1959_64,2,adm_1959_64,adm_1959_64;adm_1959_64,Кузедеевский район,Кемеровская область,59744,38417,21327,3956.41,149.36
1947,name+admin_parent,Майминский район | Горно-Алтайская автономная область,2,adm_1947_16,adm_1947_15;adm_1947_16,Майминский район,Горно-Алтайская автономная область,24688,0,24688,5802.14,0.0
1947,name+admin_parent,Барнаульский (рц в г. Барнауле) | Алтайский край,2,adm_1947_63,adm_1947_55;adm_1947_63,Барнаульский (рц в г. Барнауле),Алтайский край,41054,0,41054,2657.25,151.06
1947,name+admin_parent,Прокопьевский район | Кемеровская область,2,adm_1947_79,adm_1947_79;adm_1947_80,Прокопьевский район,Кемеровская область,29281,0,29281,3716.07,127.94
1947,name+admin_parent,Ульяновский район | Омская область,3,adm_1947_107,adm_1947_107;adm_1947_111;adm_1947_112,Ульяновский район,Омская область,32570,0,32570,2276.26,150.07
1947,name+admin_parent,Колыванский район | Новосибирская область,2,adm_1947_158,adm_1947_135;adm_1947_158,Колыванский район,Новосибирская область,44478,0,44478,10308.45,0.0
1947,name+admin_parent,Тюкалинский район | Омская область,2,adm_1947_155,adm_1947_141;adm_1947_155,Тюкалинский район,Омская область,44983,0,44983,7184.68,0.0
1947,name+admin_parent,Пышкино-Троицкий район | Томская область,2,adm_1947_202,adm_1947_184;adm_1947_202,Пышкино-Троицкий район,Томская область,31282,0,31282,14174.98,0.0
1947,name+admin_parent,Кривошеинский | Томская область,2,adm_1947_189,adm_1947_189;adm_1947_195,Кривошеинский,Томская область,61074,0,61074,18209.29,58.15
1947,name+admin_parent,Тевризский район | Омская область,2,adm_1947_201,adm_1947_197;adm_1947_201,Тевризский район,Омская область,23118,0,23118,9156.15,0.0
1947,name+admin_parent,Колпашевский горсовет | Томская область,2,adm_1947_u_1,adm_1947_206;adm_1947_u_1,Колпашевский горсовет / район,Томская область,44679,23285,21394,26771.98,0.0
1947,name+admin_parent,Александровский район | Томская область,2,adm_1947_207,adm_1947_207;adm_1947_212,Александровский район,Томская область,17079,0,17079,61723.03,0.0
1947,name+admin_parent,Каргасокский район | Томская область,2,adm_1947_208,adm_1947_208;adm_1947_213,Каргасокский район,Томская область,17243,0,17243,64216.43,0.0
1947,name+admin_parent,Тазовский район | ЯНАО,2,adm_1947_226,adm_1947_226;adm_1947_228,Тазовский район,ЯНАО,5424,0,5424,130390.03,0.0
1947,name+admin_parent,Ямальский район | ЯНАО,2,adm_1947_232,adm_1947_227;adm_1947_232,Ямальский район,ЯНАО,8110,0,8110,116852.83,0.0
1964,name+admin_parent,Кузнецкий район | Кемеровская область,2,adm_1964_92,adm_1964_92;adm_1964_328,Кузнецкий район,Кемеровская область,114298,4007,110291,35613.17,542.37
1964,name+admin_parent,Искитимский район | Новосибирская область,2,adm_1964_103,adm_1964_103;adm_1964_257,Искитимский район,Новосибирская область,161362,0,161362,13281.44,396.36
1964,name+admin_parent,Тевризский район | Омская область,3,adm_1964_188,adm_1964_188;adm_1964_275;adm_1964_276,Тевризский район,Омская область,50419,0,50419,17778.61,0.0
1964,name+admin_parent,Парабельский район | Томская область,2,adm_1964_197,adm_1964_197;adm_1964_262,Парабельский район,Томская область,25855,0,25855,36779.35,0.0
