year,unit_id,name,admin_parent,unit_type,fragments_before,population_kept_once,urban_pop_kept_once,rural_pop_kept_once,area_km2_summed,rail_length_km_summed,rail_segments_summed,population_values_identical,urban_values_identical,rural_values_identical
1970,adm_1970_137,Крутинский,Омская область,район,4,27219,,,5879.32,0.0,0,True,True,True
1970,adm_1970_82,Новокузнецкий,Кемеровская область,район,2,51503,,,33142.08,640.11,21,True,True,True
1979,adm_1979_103,Новокузнецкий,Кемеровская область,район,2,44532,,,33252.31,645.42,21,True,True,True
1979,adm_1979_144,Сладковский,Тюменская область,район,2,20282,,,3858.34,34.63,1,True,True,True
1979,adm_1979_176,Крутинский,Омская область,район,4,24097,,,5739.74,0.0,0,True,True,True
1989,adm_1989_114,Исилькульский муниципальный район,Омская область,муниципальный район,2,22691,0.0,22691.0,2774.49,72.58,1,True,True,True
1989,adm_1989_134,Сладковский муниципальный район,Тюменская область,муниципальный район,2,17750,0.0,17750.0,3858.34,34.63,1,True,True,True
1989,adm_1989_160,Седельниковский муниципальный район,Омская область,муниципальный район,2,12890,0.0,12890.0,5281.24,0.0,0,True,True,True
1989,adm_1989_161,Крутинский муниципальный район,Омская область,муниципальный район,4,23411,8047.0,15364.0,5740.24,0.0,0,True,True,True
1989,adm_1989_52,Новокузнецкий муниципальный район,Кемеровская область,муниципальный район,2,39436,4600.0,34836.0,15833.9,307.2,15,True,True,True
1989,adm_1989_64,Осинниковский,Кемеровская область,район,2,88056,88056.0,0.0,180.68,50.83,3,True,True,True
2021,adm_2021_121,Новокузнецкий муниципальный район,Кемеровская область,муниципальный район,2,50094.0,0.0,50094.0,12506.01,217.08,13,True,True,True
2021,adm_2021_158,Любинский муниципальный район,Омская область,муниципальный район,2,37381.0,15515.0,21866.0,3293.43,126.7,1,True,True,True
2021,adm_2021_217,Абатский муниципальный район,Тюменская область,муниципальный район,3,16260.0,0.0,16260.0,4070.12,45.06,1,True,True,True
2021,adm_2021_221,Крутинский муниципальный район,Омская область,муниципальный район,4,14414.0,6580.0,7834.0,5725.97,0.0,0,True,True,True
