year,name,admin_parent,unit_type,components_before,merge_mode,population_after,urban_pop_after,rural_pop_after,area_km2_after,unit_ids_before
1989,Карасукский муниципальный район,Новосибирская область,муниципальный район,2,same-name administrative components aggregated: population summed,71409,35242,36167,9126.68,adm_1989_106;adm_1989_219
1989,Исилькульский муниципальный район,Омская область,муниципальный район,2,same-name administrative components aggregated: population summed,49121,26430,22691,2777.13,adm_1989_114;adm_1989_263
1989,Калачинский муниципальный район,Омская область,муниципальный район,2,same-name administrative components aggregated: population summed,47826,25014,22812,2839.02,adm_1989_115;adm_1989_259
1989,Барабинский муниципальный район,Новосибирская область,муниципальный район,2,same-name administrative components aggregated: population summed,54780,36501,18279,5226.77,adm_1989_116;adm_1989_264
1989,Омский муниципальный район,Омская область,муниципальный район,2,same-name administrative components aggregated: population summed,1262271,1174546,87725,4387.23,adm_1989_119;adm_1989_257
1989,Татарский муниципальный район,Новосибирская область,муниципальный район,2,same-name administrative components aggregated: population summed,51073,30355,20718,5232.85,adm_1989_123;adm_1989_258
1989,Топкинский муниципальный округ,Кемеровская область,округ,2,same-name administrative components aggregated: population summed,52592,33574,19018,2766.53,adm_1989_128;adm_1989_260
1989,Называевский муниципальный район,Омская область,муниципальный район,2,same-name administrative components aggregated: population summed,36042,14416,21626,5919.86,adm_1989_135;adm_1989_256
1989,Куйбышевский муниципальный район,Новосибирская область,муниципальный район,2,same-name administrative components aggregated: population summed,72929,51171,21758,8543.52,adm_1989_147;adm_1989_243
1989,Тюкалинский муниципальный район,Омская область,муниципальный район,2,same-name administrative components aggregated: population summed,34621,12191,22430,6402.62,adm_1989_152;adm_1989_255
1989,Ишимский муниципальный район,Тюменская область,муниципальный район,2,same-name administrative components aggregated: population summed,101436,66373,35063,5505.5,adm_1989_156;adm_1989_253
1989,Мариинский муниципальный район,Кемеровская область,муниципальный район,2,same-name administrative components aggregated: population summed,62993,40956,22037,5603.62,adm_1989_166;adm_1989_248
1989,Ялуторовский муниципальный район,Тюменская область,муниципальный район,2,same-name administrative components aggregated: population summed,53537,37987,15550,2996.66,adm_1989_172;adm_1989_238
1989,Томский муниципальный район,Томская область,муниципальный район,2,same-name administrative components aggregated: population summed,595300,537031,58269,10625.95,adm_1989_176;adm_1989_250
1989,Тюменский муниципальный район,Тюменская область,муниципальный район,2,same-name administrative components aggregated: population summed,616827,517714,99113,4516.07,adm_1989_179;adm_1989_239
1989,Асиновский муниципальный район,Томская область,муниципальный район,2,same-name administrative components aggregated: population summed,49693,36496,13197,5819.68,adm_1989_182;adm_1989_249
1989,Тарский муниципальный район,Омская область,муниципальный район,2,same-name administrative components aggregated: population summed,51804,26152,25652,15739.64,adm_1989_190;adm_1989_254
