year,operation_group_id,operation_type,status,name_after,admin_parent,unit_type_after,feature_count_before,feature_count_after,unit_ids_before,raw_objectids_before,names_before,unit_types_before,population_handling,population_before_values,urban_pop_before_values,rural_pop_before_values,population_after,urban_pop_after,rural_pop_after,area_km2_after,rail_length_km_after,rail_segments_after,note
1926,1926_adm_1926_77_technical_unit_id_duplicate,technical_unit_id_duplicate,applied_in_v76,Крутихинский район,Каменский округ,район,2,1,adm_1926_77;adm_1926_77,77;77,Крутихинский район;Крутихинский район,район;район,оставлено один раз,35114;35114,0;0,35114;35114,35114,0,35114,1881.71,0.0,0,"Крутихинский район был разнесён на две смежные геометрические части с повтором одного и того же населения; геометрия объединена, население оставлено один раз, площадь пересчитана по WGS84."
1947,1947_adm_1947_206_admin_city_district_component_merge,admin_city_district_component_merge,applied_in_v76,Колпашевский горсовет / район,Томская область,горсовет / район,2,1,adm_1947_206;adm_1947_u_1,206;urban1959_202,Колпашевский горсовет;Колпашевский горсовет,район;горсовет,суммировано по фрагментам/компонентам,4300;40379,0;23285,4300;17094,44679,23285,21394,14235.51,0.0,0,"Горсовет и районная компонента были отдельными строками с одним именем; сведены в один объект, городская и сельская части сохранены в urban_pop/rural_pop."
1947,1947_adm_1947_207_fragmented_same_ate_merge,fragmented_same_ate_merge,applied_in_v76,Александровский район,Томская область,район,2,1,adm_1947_207;adm_1947_212,207;212,Александровский район;Александровский район,район;район,суммировано по фрагментам/компонентам,10790;6289,0;0,10790;6289,17079,0,17079,61722.25,0.0,0,"Одноимённые фрагменты одной АТЕ объединены; население и ЖД-показатели суммированы, геометрия объединена, плотности пересчитаны."
1947,1947_adm_1947_55_fragmented_same_ate_merge,fragmented_same_ate_merge,applied_in_v76,Барнаульский (рц в г. Барнауле),Алтайский край,район,2,1,adm_1947_55;adm_1947_63,55;63,Барнаульский (рц в г. Барнауле);Барнаульский (рц в г. Барнауле),район;район,суммировано по фрагментам/компонентам,8500;32554,0;0,8500;32554,41054,0,41054,2657.03,151.06,9,"Одноимённые фрагменты одной АТЕ объединены; население и ЖД-показатели суммированы, геометрия объединена, плотности пересчитаны."
1947,1947_adm_1947_208_fragmented_same_ate_merge,fragmented_same_ate_merge,applied_in_v76,Каргасокский район,Томская область,район,2,1,adm_1947_208;adm_1947_213,208;213,Каргасокский район;Каргасокский район,район;район,суммировано по фрагментам/компонентам,13149;4094,0;0,13149;4094,17243,0,17243,64213.11,0.0,0,"Одноимённые фрагменты одной АТЕ объединены; население и ЖД-показатели суммированы, геометрия объединена, плотности пересчитаны."
1947,1947_adm_1947_135_fragmented_same_ate_merge,fragmented_same_ate_merge,applied_in_v76,Колыванский район,Новосибирская область,район,2,1,adm_1947_135;adm_1947_158,135;158,Колыванский район;Колыванский район,район;район,суммировано по фрагментам/компонентам,24111;20367,0;0,24111;20367,44478,0,44478,10306.66,0.0,0,"Одноимённые фрагменты одной АТЕ объединены; население и ЖД-показатели суммированы, геометрия объединена, плотности пересчитаны."
1947,1947_adm_1947_189_fragmented_same_ate_merge,fragmented_same_ate_merge,applied_in_v76,Кривошеинский,Томская область,район,2,1,adm_1947_189;adm_1947_195,189;195,Кривошеинский;Кривошеинский,район;район,суммировано по фрагментам/компонентам,35395;25679,0;0,35395;25679,61074,0,61074,18209.84,58.15,2,"Одноимённые фрагменты одной АТЕ объединены; население и ЖД-показатели суммированы, геометрия объединена, плотности пересчитаны."
1947,1947_adm_1947_15_fragmented_same_ate_merge,fragmented_same_ate_merge,applied_in_v76,Майминский район,Горно-Алтайская автономная область,район,2,1,adm_1947_15;adm_1947_16,15;16,Майминский район;Майминский район,район;район,суммировано по фрагментам/компонентам,8562;16126,0;0,8562;16126,24688,0,24688,5802.15,0.0,0,"Одноимённые фрагменты одной АТЕ объединены; население и ЖД-показатели суммированы, геометрия объединена, плотности пересчитаны."
1947,1947_adm_1947_79_fragmented_same_ate_merge,fragmented_same_ate_merge,applied_in_v76,Прокопьевский район,Кемеровская область,район,2,1,adm_1947_79;adm_1947_80,79;80,Прокопьевский район;Прокопьевский район,район;район,суммировано по фрагментам/компонентам,24834;4447,0;0,24834;4447,29281,0,29281,3715.99,127.94,12,"Одноимённые фрагменты одной АТЕ объединены; население и ЖД-показатели суммированы, геометрия объединена, плотности пересчитаны."
1947,1947_adm_1947_184_fragmented_same_ate_merge,fragmented_same_ate_merge,applied_in_v76,Пышкино-Троицкий район,Томская область,район,2,1,adm_1947_184;adm_1947_202,184;202,Пышкино-Троицкий район;Пышкино-Троицкий район,район;район,суммировано по фрагментам/компонентам,0;31282,0;0,0;31282,31282,0,31282,14174.7,0.0,0,"Одноимённые фрагменты одной АТЕ объединены; население и ЖД-показатели суммированы, геометрия объединена, плотности пересчитаны."
