year,unit_id,name,admin_parent,operation,population_before,population_after,urban_before,urban_after,rural_before,rural_after,note
1930,adm_1930_1,Безымянный район №1 (Тобольский округ),Тобольский округ,population_recalculated,10746,10717,0,0,10746,10717,"Малая поправка после чистки 1926; городской разрез v53 сохранён, embedded urban повторно не добавлялся."
1930,adm_1930_2,Безымянный район №2 (Тобольский округ),Тобольский округ,population_recalculated,19463,19411,0,0,19463,19411,"Малая поправка после чистки 1926; городской разрез v53 сохранён, embedded urban повторно не добавлялся."
1930,adm_1930_3,Безымянный район №3 (Тобольский округ),Тобольский округ,population_recalculated,26044,25974,0,0,26044,25974,"Малая поправка после чистки 1926; городской разрез v53 сохранён, embedded urban повторно не добавлялся."
1930,adm_1930_4,Безымянный район №1 (Ойратская АО),Ойратская АО,population_recalculated,7973,7952,0,0,7973,7952,"Малая поправка после чистки 1926; городской разрез v53 сохранён, embedded urban повторно не добавлялся."
1930,adm_1930_5,Безымянный район №2 (Ойратская АО),Ойратская АО,population_recalculated,13681,13644,0,0,13681,13644,"Малая поправка после чистки 1926; городской разрез v53 сохранён, embedded urban повторно не добавлялся."
1930,adm_1930_6,Безымянный район №3 (Ойратская АО),Ойратская АО,population_recalculated,11201,11171,0,0,11201,11171,"Малая поправка после чистки 1926; городской разрез v53 сохранён, embedded urban повторно не добавлялся."
1930,adm_1930_7,Безымянный район №4 (Ойратская АО),Ойратская АО,population_recalculated,13273,13237,0,0,13273,13237,"Малая поправка после чистки 1926; городской разрез v53 сохранён, embedded urban повторно не добавлялся."
1930,adm_1930_8,Безымянный район №1 (Рубцовский округ),Рубцовский округ,population_recalculated,36418,36320,0,0,36418,36320,"Малая поправка после чистки 1926; городской разрез v53 сохранён, embedded urban повторно не добавлялся."
1930,adm_1930_9,Безымянный район №2 (Рубцовский округ),Рубцовский округ,population_recalculated,54420,54274,0,0,54420,54274,"Малая поправка после чистки 1926; городской разрез v53 сохранён, embedded urban повторно не добавлялся."
1930,adm_1930_10,Безымянный район №5 (Ойратская АО),Ойратская АО,population_recalculated,4577,4565,0,0,4577,4565,"Малая поправка после чистки 1926; городской разрез v53 сохранён, embedded urban повторно не добавлялся."
1930,adm_1930_11,Безымянный район №3 (Рубцовский округ),Рубцовский округ,population_recalculated,29220,29142,0,0,29220,29142,"Малая поправка после чистки 1926; городской разрез v53 сохранён, embedded urban повторно не добавлялся."
1930,adm_1930_12,Безымянный район №1 (Бийский округ),Бийский округ,population_recalculated,33663,33573,0,0,33663,33573,"Малая поправка после чистки 1926; городской разрез v53 сохранён, embedded urban повторно не добавлялся."
1930,adm_1930_13,Безымянный район №6 (Ойратская АО),Ойратская АО,population_recalculated,6687,6669,0,0,6687,6669,"Малая поправка после чистки 1926; городской разрез v53 сохранён, embedded urban повторно не добавлялся."
1930,adm_1930_14,Безымянный район №4 (Рубцовский округ),Рубцовский округ,population_recalculated,20241,20187,0,0,20241,20187,"Малая поправка после чистки 1926; городской разрез v53 сохранён, embedded urban повторно не добавлялся."
1930,adm_1930_15,Безымянный район №7 (Ойратская АО),Ойратская АО,population_recalculated,14221,14183,0,0,14221,14183,"Малая поправка после чистки 1926; городской разрез v53 сохранён, embedded urban повторно не добавлялся."
1930,adm_1930_16,Безымянный район №2 (Бийский округ),Бийский округ,population_recalculated,30296,30215,0,0,30296,30215,"Малая поправка после чистки 1926; городской разрез v53 сохранён, embedded urban повторно не добавлялся."
1930,adm_1930_17,Безымянный район №5 (Рубцовский округ),Рубцовский округ,population_recalculated,46619,46494,0,0,46619,46494,"Малая поправка после чистки 1926; городской разрез v53 сохранён, embedded urban повторно не добавлялся."
1930,adm_1930_18,Безымянный район №8 (Ойратская АО),Ойратская АО,population_recalculated,8080,8058,0,0,8080,8058,"Малая поправка после чистки 1926; городской разрез v53 сохранён, embedded urban повторно не добавлялся."
1930,adm_1930_19,Безымянный район №3 (Бийский округ),Бийский округ,population_recalculated,26858,26786,0,0,26858,26786,"Малая поправка после чистки 1926; городской разрез v53 сохранён, embedded urban повторно не добавлялся."
1930,adm_1930_20,Безымянный район №9 (Ойратская АО),Ойратская АО,population_recalculated,9523,9497,0,0,9523,9497,"Малая поправка после чистки 1926; городской разрез v53 сохранён, embedded urban повторно не добавлялся."
1930,adm_1930_21,Безымянный район №6 (Рубцовский округ),Рубцовский округ,population_recalculated,77728,77520,0,0,77728,77520,"Малая поправка после чистки 1926; городской разрез v53 сохранён, embedded urban повторно не добавлялся."
1930,adm_1930_22,Безымянный район №1 (Славгородский округ),Славгородский округ,population_recalculated,30424,30342,0,0,30424,30342,"Малая поправка после чистки 1926; городской разрез v53 сохранён, embedded urban повторно не добавлялся."
1930,adm_1930_23,Безымянный район №4 (Бийский округ),Бийский округ,population_recalculated,55891,55741,0,0,55891,55741,"Малая поправка после чистки 1926; городской разрез v53 сохранён, embedded urban повторно не добавлялся."
1930,adm_1930_24,Безымянный район №7 (Рубцовский округ),Рубцовский округ,population_recalculated,17053,17007,0,0,17053,17007,"Малая поправка после чистки 1926; городской разрез v53 сохранён, embedded urban повторно не добавлялся."
1930,adm_1930_25,Безымянный район №8 (Рубцовский округ),Рубцовский округ,population_recalculated,51075,50938,0,0,51075,50938,"Малая поправка после чистки 1926; городской разрез v53 сохранён, embedded urban повторно не добавлялся."
1930,adm_1930_26,Безымянный район №2 (Славгородский округ),Славгородский округ,population_recalculated,33456,33366,0,0,33456,33366,"Малая поправка после чистки 1926; городской разрез v53 сохранён, embedded urban повторно не добавлялся."
1930,adm_1930_27,Безымянный район №5 (Бийский округ),Бийский округ,population_recalculated,44869,44749,0,0,44869,44749,"Малая поправка после чистки 1926; городской разрез v53 сохранён, embedded urban повторно не добавлялся."
1930,adm_1930_28,Безымянный район №6 (Бийский округ),Бийский округ,population_recalculated,40830,40721,0,0,40830,40721,"Малая поправка после чистки 1926; городской разрез v53 сохранён, embedded urban повторно не добавлялся."
1930,adm_1930_29,Безымянный район №9 (Рубцовский округ),Рубцовский округ,population_recalculated,32292,32205,0,0,32292,32205,"Малая поправка после чистки 1926; городской разрез v53 сохранён, embedded urban повторно не добавлялся."
1930,adm_1930_30,Безымянный район №7 (Бийский округ),Бийский округ,population_recalculated,37618,37517,0,0,37618,37517,"Малая поправка после чистки 1926; городской разрез v53 сохранён, embedded urban повторно не добавлялся."
1930,adm_1930_31,Безымянный район №8 (Бийский округ),Бийский округ,population_recalculated,30662,30580,0,0,30662,30580,"Малая поправка после чистки 1926; городской разрез v53 сохранён, embedded urban повторно не добавлялся."
1930,adm_1930_32,Безымянный район №9 (Бийский округ),Бийский округ,population_recalculated,36822,36723,0,0,36822,36723,"Малая поправка после чистки 1926; городской разрез v53 сохранён, embedded urban повторно не добавлялся."
1930,adm_1930_33,Безымянный район №10 (Ойратская АО),Ойратская АО,population_recalculated,29068,28990,0,0,29068,28990,"Малая поправка после чистки 1926; городской разрез v53 сохранён, embedded urban повторно не добавлялся."
1930,adm_1930_34,Безымянный район №3 (Славгородский округ),Славгородский округ,population_recalculated,42034,41921,0,0,42034,41921,"Малая поправка после чистки 1926; городской разрез v53 сохранён, embedded urban повторно не добавлялся."
1930,adm_1930_35,Безымянный район №4 (Славгородский округ),Славгородский округ,population_recalculated,30162,30081,0,0,30162,30081,"Малая поправка после чистки 1926; городской разрез v53 сохранён, embedded urban повторно не добавлялся."
1930,adm_1930_36,Безымянный район №1 (Барнаульский округ),Барнаульский округ,population_recalculated,34398,34306,0,0,34398,34306,"Малая поправка после чистки 1926; городской разрез v53 сохранён, embedded urban повторно не добавлялся."
1930,adm_1930_37,Безымянный район №2 (Барнаульский округ),Барнаульский округ,population_recalculated,69073,68888,0,0,69073,68888,"Малая поправка после чистки 1926; городской разрез v53 сохранён, embedded urban повторно не добавлялся."
1930,adm_1930_38,Безымянный район №3 (Барнаульский округ),Барнаульский округ,population_recalculated,43159,43043,0,0,43159,43043,"Малая поправка после чистки 1926; городской разрез v53 сохранён, embedded urban повторно не добавлялся."
1930,adm_1930_39,Безымянный район №10 (Бийский округ),Бийский округ,population_recalculated,75477,75275,0,0,75477,75275,"Малая поправка после чистки 1926; городской разрез v53 сохранён, embedded urban повторно не добавлялся."
1930,adm_1930_40,Безымянный район №1 (Каменский округ),Каменский округ,population_recalculated,42791,42676,0,0,42791,42676,"Малая поправка после чистки 1926; городской разрез v53 сохранён, embedded urban повторно не добавлялся."
1930,adm_1930_41,Безымянный район №5 (Славгородский округ),Славгородский округ,population_recalculated,26096,26026,0,0,26096,26026,"Малая поправка после чистки 1926; городской разрез v53 сохранён, embedded urban повторно не добавлялся."
1930,adm_1930_42,Безымянный район №11 (Бийский округ),Бийский округ,population_recalculated,51792,51653,0,0,51792,51653,"Малая поправка после чистки 1926; городской разрез v53 сохранён, embedded urban повторно не добавлялся."
1930,adm_1930_43,Безымянный район №6 (Славгородский округ),Славгородский округ,population_recalculated,39742,39635,0,0,39742,39635,"Малая поправка после чистки 1926; городской разрез v53 сохранён, embedded urban повторно не добавлялся."
1930,adm_1930_44,Безымянный район №12 (Бийский округ),Бийский округ,population_recalculated,92109,91862,0,0,92109,91862,"Малая поправка после чистки 1926; городской разрез v53 сохранён, embedded urban повторно не добавлялся."
1930,adm_1930_45,Безымянный район №4 (Барнаульский округ),Барнаульский округ,population_recalculated,39937,39830,0,0,39937,39830,"Малая поправка после чистки 1926; городской разрез v53 сохранён, embedded urban повторно не добавлялся."
1930,adm_1930_46,Безымянный район №13 (Бийский округ),Бийский округ,population_recalculated,31304,31220,0,0,31304,31220,"Малая поправка после чистки 1926; городской разрез v53 сохранён, embedded urban повторно не добавлялся."
1930,adm_1930_47,Безымянный район №2 (Каменский округ),Каменский округ,population_recalculated,31419,31335,0,0,31419,31335,"Малая поправка после чистки 1926; городской разрез v53 сохранён, embedded urban повторно не добавлялся."
1930,adm_1930_48,Безымянный район №7 (Славгородский округ),Славгородский округ,population_recalculated,29356,29277,0,0,29356,29277,"Малая поправка после чистки 1926; городской разрез v53 сохранён, embedded urban повторно не добавлялся."
1930,adm_1930_49,Безымянный район №5 (Барнаульский округ),Барнаульский округ,population_recalculated,67368,67187,0,0,67368,67187,"Малая поправка после чистки 1926; городской разрез v53 сохранён, embedded urban повторно не добавлялся."
1930,adm_1930_50,Безымянный район №8 (Славгородский округ),Славгородский округ,population_recalculated,13543,13507,0,0,13543,13507,"Малая поправка после чистки 1926; городской разрез v53 сохранён, embedded urban повторно не добавлялся."
1930,adm_1930_51,Безымянный район №3 (Каменский округ),Каменский округ,population_recalculated,19045,18994,0,0,19045,18994,"Малая поправка после чистки 1926; городской разрез v53 сохранён, embedded urban повторно не добавлялся."
1930,adm_1930_52,Безымянный район №6 (Барнаульский округ),Барнаульский округ,population_recalculated,52404,52264,0,0,52404,52264,"Малая поправка после чистки 1926; городской разрез v53 сохранён, embedded urban повторно не добавлялся."
1930,adm_1930_53,Безымянный район №4 (Каменский округ),Каменский округ,population_recalculated,35510,35415,0,0,35510,35415,"Малая поправка после чистки 1926; городской разрез v53 сохранён, embedded urban повторно не добавлялся."
1930,adm_1930_54,Безымянный район №7 (Барнаульский округ),Барнаульский округ,population_recalculated,38732,38628,0,0,38732,38628,"Малая поправка после чистки 1926; городской разрез v53 сохранён, embedded urban повторно не добавлялся."
1930,adm_1930_55,Безымянный район №9 (Славгородский округ),Славгородский округ,population_recalculated,34356,34264,0,0,34356,34264,"Малая поправка после чистки 1926; городской разрез v53 сохранён, embedded urban повторно не добавлялся."
1930,adm_1930_56,Безымянный район №5 (Каменский округ),Каменский округ,population_recalculated,14912,14872,0,0,14912,14872,"Малая поправка после чистки 1926; городской разрез v53 сохранён, embedded urban повторно не добавлялся."
1930,adm_1930_57,Безымянный район №10 (Славгородский округ),Славгородский округ,population_recalculated,31841,31756,0,0,31841,31756,"Малая поправка после чистки 1926; городской разрез v53 сохранён, embedded urban повторно не добавлялся."
1930,adm_1930_58,Безымянный район №8 (Барнаульский округ),Барнаульский округ,population_recalculated,27597,27523,0,0,27597,27523,"Малая поправка после чистки 1926; городской разрез v53 сохранён, embedded urban повторно не добавлялся."
1930,adm_1930_59,Безымянный район №9 (Барнаульский округ),Барнаульский округ,population_recalculated,80304,80089,0,0,80304,80089,"Малая поправка после чистки 1926; городской разрез v53 сохранён, embedded urban повторно не добавлялся."
1930,adm_1930_60,Безымянный район №6 (Каменский округ),Каменский округ,population_recalculated,36097,36000,0,0,36097,36000,"Малая поправка после чистки 1926; городской разрез v53 сохранён, embedded urban повторно не добавлялся."
1930,adm_1930_61,Безымянный район №14 (Бийский округ),Бийский округ,population_recalculated,57837,57682,0,0,57837,57682,"Малая поправка после чистки 1926; городской разрез v53 сохранён, embedded urban повторно не добавлялся."
1930,adm_1930_62,Безымянный район №7 (Каменский округ),Каменский округ,population_recalculated,30248,30167,0,0,30248,30167,"Малая поправка после чистки 1926; городской разрез v53 сохранён, embedded urban повторно не добавлялся."
1930,adm_1930_63,Безымянный район №8 (Каменский округ),Каменский округ,population_recalculated,35575,35480,0,0,35575,35480,"Малая поправка после чистки 1926; городской разрез v53 сохранён, embedded urban повторно не добавлялся."
1930,adm_1930_64,Безымянный район №11 (Славгородский округ),Славгородский округ,population_recalculated,24642,24576,0,0,24642,24576,"Малая поправка после чистки 1926; городской разрез v53 сохранён, embedded urban повторно не добавлялся."
1930,adm_1930_65,Безымянный район №10 (Барнаульский округ),Барнаульский округ,population_recalculated,63957,63786,0,0,63957,63786,"Малая поправка после чистки 1926; городской разрез v53 сохранён, embedded urban повторно не добавлялся."
