year,unit_id,name,admin_parent,operation,old_population,new_population,note,source_total,urban_subtracted,old_name
1926,urban_1926_1,Барабинск,Барабинский округ,urban_exact,9800.0,9822,"Точное городское население по таблицам переписи/Шнейдера; для Омска объединены Омск, Ново-Омск и Ленинск-Омский.",,,
1926,urban_1926_2,Барнаул,Барнаульский округ,urban_exact,73200.0,73858,"Точное городское население по таблицам переписи/Шнейдера; для Омска объединены Омск, Ново-Омск и Ленинск-Омский.",,,
1926,urban_1926_3,Бийск,Бийский округ,urban_exact,45500.0,45561,"Точное городское население по таблицам переписи/Шнейдера; для Омска объединены Омск, Ново-Омск и Ленинск-Омский.",,,
1926,urban_1926_4,Ишим,Ишимский округ,urban_exact,14100.0,13812,"Точное городское население по таблицам переписи/Шнейдера; для Омска объединены Омск, Ново-Омск и Ленинск-Омский.",,,
1926,urban_1926_5,Каинск / Куйбышев,Барабинский округ,urban_exact,7600.0,7606,"Точное городское население по таблицам переписи/Шнейдера; для Омска объединены Омск, Ново-Омск и Ленинск-Омский.",,,
1926,urban_1926_6,Камень-на-Оби,Каменский округ,urban_exact,22900.0,22982,"Точное городское население по таблицам переписи/Шнейдера; для Омска объединены Омск, Ново-Омск и Ленинск-Омский.",,,
1926,urban_1926_7,Кузнецк / Сталинск / Новокузнецк,Кузнецкий округ,urban_exact,4000.0,3894,"Точное городское население по таблицам переписи/Шнейдера; для Омска объединены Омск, Ново-Омск и Ленинск-Омский.",,,
1926,urban_1926_8,Ленинск-Кузнецкий,Кузнецкий округ,urban_exact,19600.0,19645,"Точное городское население по таблицам переписи/Шнейдера; для Омска объединены Омск, Ново-Омск и Ленинск-Омский.",,,
1926,urban_1926_9,Мариинск,Томский округ,urban_exact,11400.0,11440,"Точное городское население по таблицам переписи/Шнейдера; для Омска объединены Омск, Ново-Омск и Ленинск-Омский.",,,
1926,urban_1926_10,Ново-Николаевск / Новосибирск,Новосибирский округ,urban_exact,120100.0,120128,"Точное городское население по таблицам переписи/Шнейдера; для Омска объединены Омск, Ново-Омск и Ленинск-Омский.",,,
1926,urban_1926_11,Омск,Омский округ,urban_exact,157900.0,161684,"Точное городское население по таблицам переписи/Шнейдера; для Омска объединены Омск, Ново-Омск и Ленинск-Омский.",,,
1926,urban_1926_12,Славгород,Славгородский,urban_exact,17800.0,17784,"Точное городское население по таблицам переписи/Шнейдера; для Омска объединены Омск, Ново-Омск и Ленинск-Омский.",,,
1926,urban_1926_13,Тайга,Томский округ,urban_exact,10900.0,10929,"Точное городское население по таблицам переписи/Шнейдера; для Омска объединены Омск, Ново-Омск и Ленинск-Омский.",,,
1926,urban_1926_14,Тара,Тарский округ,urban_exact,10300.0,10345,"Точное городское население по таблицам переписи/Шнейдера; для Омска объединены Омск, Ново-Омск и Ленинск-Омский.",,,
1926,urban_1926_15,Татарск,Барабинский округ,urban_exact,9700.0,9706,"Точное городское население по таблицам переписи/Шнейдера; для Омска объединены Омск, Ново-Омск и Ленинск-Омский.",,,
1926,urban_1926_16,Тобольск,Тобольский округ,urban_exact,18200.0,29437,"Точное городское население по таблицам переписи/Шнейдера; для Омска объединены Омск, Ново-Омск и Ленинск-Омский.",,,
1926,urban_1926_17,Томск,Томский округ,urban_exact,92200.0,92274,"Точное городское население по таблицам переписи/Шнейдера; для Омска объединены Омск, Ново-Омск и Ленинск-Омский.",,,
