year,unit_id,name,unit_type,admin_parent,population_before,population_after,delta_population,prev_areal_estimate_1914,next_areal_estimate_1926_before,allocated_1926_delta,next_areal_estimate_1926_after,original_before_urban_split_before,original_before_urban_split_after,urban_extracted,top_1926_delta_contributors,operation
1918,adm_1918_6,Бийский уезд,уезд,Алтайская губерния,317664,322268,4604,204253,669286,13811.9,683098,359264,363868,41600,Бийский (Бийский округ): +13811 / source_delta +13811; Кузнецкий (Кузнецкий округ): +1 / source_delta +106,delta_recalculate_from_v79_corrected_1926
1918,adm_1918_7,Славгородский уезд,уезд,Алтайская губерния,436748,439088,2340,457550,437145,7018.0,444163,450748,453088,14000,Славгородский (Славгородский): +7018 / source_delta +7018,delta_recalculate_from_v79_corrected_1926
1918,adm_1918_8,Барнаульский уезд,уезд,Алтайская губерния,541272,511475,-29797,492827,848764,-89392.1,759372,611472,581675,70200,Барнаульский (Шадринский) (Барнаульский округ): -89395 / source_delta -89395; Черепаново (Новосибирский округ): +7 / source_delta +7; Черепановский (Новосибирский округ): -4 / source_delta -7,delta_recalculate_from_v79_corrected_1926
1918,adm_1918_9,Каменский уезд,уезд,Алтайская губерния,346441,346084,-357,317025,460772,-1069.0,459703,364941,364584,18500,Каменский район (Каменский округ): -1069 / source_delta -1069,delta_recalculate_from_v79_corrected_1926
1918,adm_1918_16,Томская губерния,губерния,Томская губерния,164056,164098,42,159157,185855,124.0,185979,168056,168098,4000,Кузнецкий (Кузнецкий округ): +99 / source_delta +106; Ленинск-Кузнецкий (Кузнецкий округ): +45 / source_delta +45; Ленинский (Кузнецкий округ): -20 / source_delta -45,delta_recalculate_from_v79_corrected_1926
1918,adm_1918_18,Томская губерния,губерния,Томская губерния,250747,250733,-14,296379,199982,-40.0,199942,264247,264233,13500,Мариинский (Томский округ): -40 / source_delta -40,delta_recalculate_from_v79_corrected_1926
1918,adm_1918_20,Томская губерния,губерния,Томская губерния,307542,307541,-1,282358,606311,-2.9,606308,390342,390341,82800,Черепановский (Новосибирский округ): -3 / source_delta -7,delta_recalculate_from_v79_corrected_1926
1918,adm_1918_21,Каменский уезд,уезд,Томская губерния,418385,419316,931,422419,478417,2791.6,481209,441085,442016,22700,Татарский (Барабинский округ): +3912 / source_delta +4809; Барабинский (Барабинский округ): -1120 / source_delta -1120,delta_recalculate_from_v79_corrected_1926
1918,adm_1918_22,Томская губерния,губерния,Томская губерния,113017,120078,7061,64936,209179,21183.8,230363,0,120078,0,Кемеровский (Кузнецкий округ): +21179 / source_delta +21700; Щегловск / Кемерово (Кузнецкий округ): +26 / source_delta +26; Ленинский (Кузнецкий округ): -25 / source_delta -45; Кузнецкий (Кузнецкий округ): +3 / source_delta +106,delta_recalculate_from_v79_corrected_1926
1918,adm_1918_23,Томская губерния,губерния,Томская губерния,9132,9133,1,9498,8401,3.4,8404,0,9133,0,Кузнецкий (Кузнецкий округ): +3 / source_delta +106,delta_recalculate_from_v79_corrected_1926
1918,adm_1918_25,Томская губерния,губерния,Томская губерния,194651,165586,-29065,161288,552677,-87195.3,465482,291751,262686,97100,Томский (Томский округ): -87716 / source_delta -87716; Кемеровский (Кузнецкий округ): +521 / source_delta +21700; Тайга (Томский округ): +29 / source_delta +29; Тайгинский (Томский округ): -29 / source_delta -29,delta_recalculate_from_v79_corrected_1926
1918,adm_1918_27,Тобольская губерния,губерния,Тобольская губерния,118498,118498,0,237875,261045,-1.7,261043,245598,245598,127100,Бородинский (Омский округ): -14 / source_delta -20; Тюкалинский (Омский округ): +12 / source_delta +13,delta_recalculate_from_v79_corrected_1926
1918,adm_1918_29,Тобольская губерния,губерния,Тобольская губерния,267173,270607,3434,264052,306115,10300.6,316416,278073,281507,10900,Евгащинский (Тарский округ): +10300 / source_delta +10300; Тюкалинский (Омский округ): +1 / source_delta +13,delta_recalculate_from_v79_corrected_1926
1918,adm_1918_33,Калачинский уезд,уезд,Тобольская губерния,130982,131280,298,117413,158120,892.5,159013,0,131280,0,Татарский (Барабинский округ): +897 / source_delta +4809; Бородинский (Омский округ): -5 / source_delta -20,delta_recalculate_from_v79_corrected_1926
1923,adm_1923_5,Бийский уезд,уезд,Алтайская губерния,534605,544964,10359,217177,699481,13811.9,713293,578905,589264,44300,Бийский (Бийский округ): +13811 / source_delta +13811; Кузнецкий (Кузнецкий округ): +1 / source_delta +106,delta_recalculate_from_v79_corrected_1926
1923,adm_1923_6,Барнаульский уезд,уезд,Алтайская губерния,528894,461848,-67046,365029,676716,-89395.0,587321,598794,531748,69900,Барнаульский (Шадринский) (Барнаульский округ): -89395 / source_delta -89395,delta_recalculate_from_v79_corrected_1926
1923,adm_1923_7,Каменский уезд,уезд,Ново-Николаевская губерния,341221,340420,-801,271100,393262,-1069.0,392193,362721,361920,21500,Каменский район (Каменский округ): -1069 / source_delta -1069,delta_recalculate_from_v79_corrected_1926
1923,adm_1923_8,Каинский уезд,уезд,Ново-Николаевская губерния,180145,179304,-841,196229,196383,-1120.0,195263,196345,195504,16200,Барабинский (Барабинский округ): -1120 / source_delta -1120,delta_recalculate_from_v79_corrected_1926
1923,adm_1923_9,Кузнецкий уезд,уезд,Томская губерния,179131,179226,95,166328,188465,127.4,188592,182931,183026,3800,Кузнецкий (Кузнецкий округ): +103 / source_delta +106; Ленинск-Кузнецкий (Кузнецкий округ): +45 / source_delta +45; Ленинский (Кузнецкий округ): -20 / source_delta -45,delta_recalculate_from_v79_corrected_1926
1923,adm_1923_11,Омский уезд,уезд,Омская губерния,133746,133734,-12,223316,303889,-15.1,303874,283746,283734,150000,Бородинский (Омский округ): -15 / source_delta -20,delta_recalculate_from_v79_corrected_1926
1923,adm_1923_12,Калачинский уезд,уезд,Омская губерния,139087,139253,166,109980,148789,221.6,149011,0,139253,0,Татарский (Барабинский округ): +226 / source_delta +4809; Бородинский (Омский округ): -5 / source_delta -20,delta_recalculate_from_v79_corrected_1926
1923,adm_1923_13,Щегловский уезд,уезд,Томская губерния,142006,157872,15866,53079,190315,21154.4,211469,156006,171872,14000,Кемеровский (Кузнецкий округ): +21179 / source_delta +21700; Ленинский (Кузнецкий округ): -25 / source_delta -45,delta_recalculate_from_v79_corrected_1926
1923,adm_1923_15,Томский уезд,уезд,Томская губерния,424984,359588,-65396,178338,607200,-87195.3,520005,499984,434588,75000,Томский (Томский округ): -87716 / source_delta -87716; Кемеровский (Кузнецкий округ): +521 / source_delta +21700; Тайга (Томский округ): +29 / source_delta +29; Тайгинский (Томский округ): -29 / source_delta -29,delta_recalculate_from_v79_corrected_1926
1923,adm_1923_17,Тюкалинский уезд,уезд,Омская губерния,191628,191638,10,190282,198877,12.9,198890,196728,196738,5100,Тюкалинский (Омский округ): +13 / source_delta +13,delta_recalculate_from_v79_corrected_1926
1923,adm_1923_20,Мариинский уезд,уезд,Томская губерния,211982,211951,-31,296379,199982,-40.0,199942,224082,224051,12100,Мариинский (Томский округ): -40 / source_delta -40,delta_recalculate_from_v79_corrected_1926
1923,adm_1923_23,Славгородский уезд,уезд,Омская губерния,395648,400912,5264,422885,409236,7018.0,416254,412648,417912,17000,Славгородский (Славгородский): +7018 / source_delta +7018,delta_recalculate_from_v79_corrected_1926
1923,adm_1923_24,Тарский уезд,уезд,Омская губерния,254329,262054,7725,246408,270969,10300.0,281269,264829,272554,10500,Евгащинский (Тарский округ): +10300 / source_delta +10300,delta_recalculate_from_v79_corrected_1926
1923,adm_1923_26,Татарский уезд,уезд,Омская губерния,226255,229692,3437,186757,251954,4582.5,256537,235655,239092,9400,Татарский (Барабинский округ): +4583 / source_delta +4809,delta_recalculate_from_v79_corrected_1926
