year,admin_parent,features,population,urban_pop,rural_pop
1918,Алтайская губерния,17,2471775,144300,2327475
1918,Тобольская губерния,19,2065037,222900,1842137
1918,Томская губерния,16,1967715,220100,1747615
1923,Алтайская губерния,5,1447000,114200,1332800
1923,Губернии и автономные области,3,0,0,0
1923,Ново-Николаевская губерния,9,1357656,112300,1245356
1923,Ойратская АО,1,171591,0,171591
1923,Омская губерния,11,1549283,192000,1357283
1923,Томская губерния,9,1141497,90900,1050597
1923,Тюменская губерния,11,1126791,82300,1044491
