year,name,admin_parent,unit_type,merged_features,raw_objectids,area_km2
1798,Туруханский уезд,Тобольская губерния,уезд,2,1;20,15634677.23
1798,Березовский уезд,Тобольская губерния,уезд,2,3;21,4907590.56
1798,Томский уезд,Тобольская губерния,уезд,2,15;18,394066.93
1798,Волости двоеданцев,Тобольская губерния,волость,2,22;23,32389.21
1805,Туруханский уезд,Томская губерния,уезд,2,1;17,16292670.69
1805,Неясная принадлежность границ,Неясная принадлежность границ,АТЕ,3,2;3;22,473606.43
1805,Енисейский уезд,Томская губерния,уезд,2,20;21,762077.68
1809,Волости двоеданцев,Верхний уровень не указан,волость,2,18;19,32338.84
1821,Неясная принадлежность границ,Неясная принадлежность границ,АТЕ,5,2;3;19;20;22,491285.8
1821,Волости двоеданцев,Верхний уровень не указан,волость,2,23;26,69990.7
