year,unit_id,name,operation,details,status_code,include_in_analytics,area_km2
1700,adm_1700_018,Зона слабого контроля в Верхнем Енисее / Хакасии,classify_special,"Безымянный объект №18 → зона слабого контроля, исключена из аналитики/выборки.",low_control_frontier,False,32754.587
1719,adm_1719_004,Спорная зона Берёзовского / Мангазейского уездов,classify_special,"Спорная зона Берёзовского/Мангазейского уездов, не объединялась, исключена из аналитики.",disputed_berezov_mangazeya,False,133682.39
1719,adm_1719_005,Спорная зона Мангазейского / Берёзовского уездов,classify_special,"Спорная зона Берёзовского/Мангазейского уездов, не объединялась, исключена из аналитики.",disputed_berezov_mangazeya,False,47614.542
1719,adm_1719_007,"Барабинская степь (уезд не указан, на территории находятся крепость Омская и Железинская)",classify_special,Барабинская степь → в составе Российской Сибири без уездного деления.,no_uezd_russian_siberia,False,176416.569
1719,adm_1719_008,Южно-сибирская зона слабого контроля,classify_special,Безымянный южный фрагмент → зона слабого контроля.,low_control_frontier,False,0.0
1719,adm_1719_009,"Телеутская степь (уезд не указан, это левобережье оби между иртышом и обью), находятся крепость Семипалатинская, Ямышевская, и крепость Усть-Каменогорск",classify_special,Телеутская степь → в составе Российской Сибири без уездного деления.,no_uezd_russian_siberia,False,148988.323
1719,adm_1719_026,Зона неустойчивого контроля,classify_special,"Зона неустойчивого контроля, исключена из аналитики.",unstable_control,False,89111.852
1719,adm_1719_030,Кетский уезд,mark_low_confidence,"Кетский уезд сохранён, но помечен низкой уверенностью.",normal,True,79619.961
1724,adm_1724_004,Спорная зона Берёзовского / Мангазейского уездов,classify_special,"Спорная зона Берёзовского/Мангазейского уездов, не объединялась, исключена из аналитики.",disputed_berezov_mangazeya,False,133682.39
1724,adm_1724_005,Спорная зона Мангазейского / Берёзовского уездов,classify_special,"Спорная зона Берёзовского/Мангазейского уездов, не объединялась, исключена из аналитики.",disputed_berezov_mangazeya,False,47614.542
1724,adm_1724_007,"Барабинская степь (уезд не указан, на территории находятся крепость Омская и Железинская)",classify_special,Барабинская степь → в составе Российской Сибири без уездного деления.,no_uezd_russian_siberia,False,176416.569
1724,adm_1724_009,Южно-сибирская зона слабого контроля,classify_special,Безымянный южный фрагмент → зона слабого контроля.,low_control_frontier,False,0.0
1724,adm_1724_010,"Телеутская степь (уезд не указан, это левобережье оби между иртышом и обью), находятся крепость Семипалатинская, Ямышевская, и крепость Усть-Каменогорск",classify_special,Телеутская степь → в составе Российской Сибири без уездного деления.,no_uezd_russian_siberia,False,148988.323
1724,adm_1724_028,Зона неустойчивого контроля,classify_special,"Зона неустойчивого контроля, исключена из аналитики.",unstable_control,False,89111.852
1724,adm_1724_034,Кетский уезд,mark_low_confidence,"Кетский уезд сохранён, но помечен низкой уверенностью.",normal,True,79619.961
1727,adm_1727_003,Спорная зона Берёзовского / Мангазейского уездов,classify_special,"Спорная зона Берёзовского/Мангазейского уездов, не объединялась, исключена из аналитики.",disputed_berezov_mangazeya,False,47614.542
1727,adm_1727_005,Спорная зона Мангазейского / Берёзовского уездов,classify_special,"Спорная зона Берёзовского/Мангазейского уездов, не объединялась, исключена из аналитики.",disputed_berezov_mangazeya,False,133682.39
1727,adm_1727_007,"Барабинская степь (уезд не указан, на территории находятся крепость Омская и Железинская)",classify_special,Барабинская степь → в составе Российской Сибири без уездного деления.,no_uezd_russian_siberia,False,176416.569
1727,adm_1727_009,Южно-сибирская зона слабого контроля,classify_special,Безымянный южный фрагмент → зона слабого контроля.,low_control_frontier,False,0.0
1727,adm_1727_010,"Телеутская степь (уезд не указан, это левобережье оби между иртышом и обью), находятся крепость Семипалатинская, Ямышевская, и крепость Усть-Каменогорск",classify_special,Телеутская степь → в составе Российской Сибири без уездного деления.,no_uezd_russian_siberia,False,148988.323
1727,adm_1727_018,Зона неустойчивого контроля,classify_special,"Зона неустойчивого контроля, исключена из аналитики.",unstable_control,False,89111.852
1727,adm_1727_024,Кетский уезд,mark_low_confidence,"Кетский уезд сохранён, но помечен низкой уверенностью.",normal,True,79619.961
1745,adm_1745_002,Спорная зона Мангазейского уезда,classify_special,Спорная зона Мангазейского уезда.,disputed_berezov_mangazeya,False,135304.195
1745,adm_1745_005,Степь казачьей орды,classify_special,Степь Казачьей Орды → зона слабого контроля.,low_control_frontier,False,450006.038
1745,adm_1745_008,Кузнецкий уезд,rename,Безымянный объект №8 → Кузнецкий уезд.,normal,True,170437.856
1745,adm_1745_009,Нарымский уезд,rename,Безымянный объект №9 → Нарымский уезд.,normal,True,101593.249
1745,adm_1745_011,Колывано-воскресенский горный округ,classify_special,Колывано-Воскресенский горный округ → специальное горнозаводское ведомство.,mining_department,False,67134.111
1745,adm_1745_014,Екатеринбургский уезд,hierarchy,Екатеринбургский уезд отнесён к промежуточному уровню Екатеринбургского горного ведомства.,normal,True,43069.042
1765,adm_1765_002,Мангазейский уезд,classify_special,Спорная зона Мангазейского уезда.,disputed_berezov_mangazeya,False,123539.026
1765,adm_1765_005,Зона неустойчивого контроля,classify_special,Зона неустойчивого контроля у Алтая.,unstable_control,False,5410.45
1765,adm_1765_008,Исетская провинция,hierarchy,Исетская провинция → Оренбургская губерния.,normal,True,43481.416
1765,adm_1765_010,Екатеринбургский уезд,hierarchy,Екатеринбургское ведомство сохранено как особый промежуточный уровень.,normal,True,52630.906
1780,adm_1780_001,Енисейская провинция,classify_context,"Контекстный объект слоя 1780, исключён из статистики.",context_only,False,2518027.727
1780,adm_1780_002,Тобольская провинция,classify_context,"Контекстный объект слоя 1780, исключён из статистики.",context_only,False,1636340.414
1780,adm_1780_003,Барнаульский уезд,focus_layer,"Основной уезд Колыванской области, учитывается в статистике.",normal,True,240907.313
1780,adm_1780_004,Бурлинский уезд,focus_layer,"Основной уезд Колыванской области, учитывается в статистике.",normal,True,190172.323
1780,adm_1780_005,Кузнецкий уезд,focus_layer,"Основной уезд Колыванской области, учитывается в статистике.",normal,True,177795.175
1780,adm_1780_006,Томский уезд,focus_layer,"Основной уезд Колыванской области, учитывается в статистике.",normal,True,91658.046
1780,adm_1780_007,Ирбитский уезд,classify_context,"Контекстный объект слоя 1780, исключён из статистики.",context_only,False,8020.99
1780,adm_1780_008,Часть обозначенная в составе Тобольской провинции в 1775,classify_context,"Контекстный объект слоя 1780, исключён из статистики.",context_only,False,115111.642
1780,adm_1780_009,Волости двоеданцев,classify_special,Двоеданческие волости.,double_tax_volosts,False,6944.367
1780,adm_1780_010,Кузнецкий уезд,focus_layer,"Основной уезд Колыванской области, учитывается в статистике.",normal,True,0.0
1780,adm_1780_011,Волости двоеданцев,classify_special,Двоеданческие волости.,double_tax_volosts,False,4651.417
1780,adm_1780_012,Пограничная территория Российской империи и империи Цин,classify_special,Пограничная территория РФ/Цин.,qing_frontier,False,2196.983
1783,adm_1783_023,Волости двоеданцев,classify_special,Двоеданческие волости.,double_tax_volosts,False,6929.319
1783,adm_1783_024,Волости двоеданцев,classify_special,Двоеданческие волости.,double_tax_volosts,False,4651.416
1783,adm_1783_025,Пограничная территория между Россией и империей Цин,classify_special,Пограничная территория РФ/Цин.,qing_frontier,False,2196.983
1798,adm_1798_020,Туруханский уезд,delete,Удалена микротерритория Туруханского уезда как остаточный/ошибочный фрагмент.,normal,True,801.674
1798,adm_1798_012,Тарский уезд,geometry_split,Тарский уезд раздроблен: крупнейшая часть оставлена Тарской.,normal,True,157378.528
1798,adm_1798_kainsky_split,Каинский уезд,geometry_merge,Малые осколки Тарского уезда присоединены к Каинскому.,normal,True,106206.455
1798,adm_1798_002,Неясные границы,classify_special,Спорная/неуточнённая территория.,disputed_affiliation,False,52995.033
1798,adm_1798_019,Территория со спорным статусом,classify_special,Спорная/неуточнённая территория.,disputed_affiliation,False,3607.498
1798,adm_1798_022,Волости двоеданцев,classify_special,Двоеданческие волости.,double_tax_volosts,False,8306.172
1798,adm_1798_023,Волости двоеданцев,classify_special,Двоеданческие волости.,double_tax_volosts,False,4651.417
1805,adm_1805_002,Неясная принадлежность границ,classify_special,Неясная принадлежность → спорная территория.,disputed_berezov_mangazeya,False,52995.033
1805,adm_1805_003,Неясная принадлежность границ,classify_special,Неясная принадлежность → спорная территория.,disputed_berezov_mangazeya,False,18547.631
1805,adm_1805_022,Неясная принадлежность границ,classify_special,Неясная принадлежность → спорная территория.,disputed_berezov_mangazeya,False,10833.554
1805,adm_1805_023,Тарский уезд,classify_special,Неясная принадлежность → спорная территория.,disputed_berezov_mangazeya,False,1357.483
1805,adm_1805_024,Березовский уезд,classify_special,Неясная принадлежность → спорная территория.,disputed_berezov_mangazeya,False,18507.07
1805,adm_1805_025,Нарымский уезд,classify_special,Неясная принадлежность → спорная территория.,disputed_berezov_mangazeya,False,3732.646
1805,adm_1805_026,Волости двоеданцев,classify_special,Двоеданческие волости.,double_tax_volosts,False,12945.694
1821,adm_1821_002,Неясная принадлежность границ,classify_special,Неясная принадлежность → спорная территория.,disputed_berezov_mangazeya,False,52995.033
1821,adm_1821_003,Неясная принадлежность границ,classify_special,Неясная принадлежность → спорная территория.,disputed_berezov_mangazeya,False,18547.631
1821,adm_1821_019,Неясная принадлежность границ,classify_special,Неясная принадлежность → спорная территория.,disputed_berezov_mangazeya,False,10833.554
1821,adm_1821_020,Неясная принадлежность границ,classify_special,Неясная принадлежность → спорная территория.,disputed_berezov_mangazeya,False,1357.483
1821,adm_1821_021,Березовский уезд,classify_special,Неясная принадлежность → спорная территория.,disputed_berezov_mangazeya,False,18507.07
1821,adm_1821_022,Неясная принадлежность границ,classify_special,Неясная принадлежность → спорная территория.,disputed_berezov_mangazeya,False,3732.646
1821,adm_1821_023,Волости двоеданцев,classify_special,Двоеданческие волости.,double_tax_volosts,False,12945.694
1821,adm_1821_025,Волости двоеданцев,classify_special,Двоеданческие волости.,double_tax_volosts,False,10407.705
1821,adm_1821_026,Волости двоеданцев,classify_special,Двоеданческие волости.,double_tax_volosts,False,15494.084
1809,adm_1809_018,Волости двоеданцев,classify_special,Двоеданческие волости.,double_tax_volosts,False,4648.928
1809,adm_1809_019,Волости двоеданцев,classify_special,Двоеданческие волости.,double_tax_volosts,False,8289.003
1838,adm_1838_009,Де-юре территория бийского округа,classify_special,"Де-юре территория Бийского округа → спецстатус, без статистики.",double_tax_volosts,False,10407.705
1838,adm_1838_017,Волости двоеданцев,classify_special,Двоеданческие волости.,double_tax_volosts,False,8294.573
1838,adm_1838_018,Волости двоеданцев,classify_special,Двоеданческие волости.,double_tax_volosts,False,15494.084
1838,adm_1838_022,Акмолинский внешний округ,classify_special,Внешний округ Омской области → контекстный спецстатус.,external_district_context,False,120776.501
1838,adm_1838_023,Кокчетавский внешний округ,classify_special,Внешний округ Омской области → контекстный спецстатус.,external_district_context,False,169806.769
1838,adm_1838_024,Аягузский внешний округ,classify_special,Внешний округ Омской области → контекстный спецстатус.,external_district_context,False,134619.388
1838,adm_1838_025,Баянаульский внешний округ,classify_special,Внешний округ Омской области → контекстный спецстатус.,external_district_context,False,50509.333
1838,adm_1838_026,Каркаралинский внешний округ,classify_special,Внешний округ Омской области → контекстный спецстатус.,external_district_context,False,66644.987
1848,adm_1848_2,Киргизская степь,classify_special,"Киргизская степь → отдельный спецкласс, без статистики.",kazakh_steppe,False,1179423.164
1848,adm_1848_15,Волости двоеданцев,classify_special,Двоеданческие волости; геометрию Бийского округа не резал.,double_tax_volosts,False,39446.818
1848,adm_1848_18,Волости двоеданцев,classify_special,Двоеданческие волости; геометрию Бийского округа не резал.,double_tax_volosts,False,39446.818
