year,unit_id_a,name_a,unit_type_a,unit_id_b,name_b,unit_type_b,shared_boundary_km
1700,adm_1700_001,Туруханский уезд,уезд,adm_1700_009,Сургутский уезд,уезд,1145.091
1700,adm_1700_001,Туруханский уезд,уезд,adm_1700_002,Берёзовский уезд,уезд,2431.2
1700,adm_1700_001,Туруханский уезд,уезд,adm_1700_004,Илимский уезд,уезд,779.421
1700,adm_1700_001,Туруханский уезд,уезд,adm_1700_003,Енисейский уезд,уезд,2113.532
1700,adm_1700_001,Туруханский уезд,уезд,adm_1700_007,Нарымский уезд,уезд,111.359
1700,adm_1700_001,Туруханский уезд,уезд,adm_1700_008,Кетский уезд,уезд,483.883
1700,adm_1700_002,Берёзовский уезд,уезд,adm_1700_012,Верхотурский уезд,уезд,110.758
1700,adm_1700_002,Берёзовский уезд,уезд,adm_1700_006,Тобольский уезд,уезд,192.823
1700,adm_1700_002,Берёзовский уезд,уезд,adm_1700_010,Пелымский уезд,уезд,847.388
1700,adm_1700_002,Берёзовский уезд,уезд,adm_1700_009,Сургутский уезд,уезд,1661.99
1700,adm_1700_003,Енисейский уезд,уезд,adm_1700_005,Иркутский уезд,уезд,353.439
1700,adm_1700_003,Енисейский уезд,уезд,adm_1700_016,Красноярский уезд,уезд,1140.793
1700,adm_1700_003,Енисейский уезд,уезд,adm_1700_004,Илимский уезд,уезд,1967.281
1700,adm_1700_003,Енисейский уезд,уезд,adm_1700_017,Томский уезд,уезд,373.837
1700,adm_1700_003,Енисейский уезд,уезд,adm_1700_008,Кетский уезд,уезд,454.138
1700,adm_1700_005,Иркутский уезд,уезд,adm_1700_016,Красноярский уезд,уезд,258.308
1700,adm_1700_006,Тобольский уезд,уезд,adm_1700_019,Тарский уезд,уезд,755.115
1700,adm_1700_006,Тобольский уезд,уезд,adm_1700_013,Тюменский уезд,уезд,768.13
1700,adm_1700_006,Тобольский уезд,уезд,adm_1700_010,Пелымский уезд,уезд,971.165
1700,adm_1700_006,Тобольский уезд,уезд,adm_1700_009,Сургутский уезд,уезд,1004.373
1700,adm_1700_007,Нарымский уезд,уезд,adm_1700_019,Тарский уезд,уезд,212.217
1700,adm_1700_007,Нарымский уезд,уезд,adm_1700_009,Сургутский уезд,уезд,1169.886
1700,adm_1700_007,Нарымский уезд,уезд,adm_1700_017,Томский уезд,уезд,538.415
1700,adm_1700_007,Нарымский уезд,уезд,adm_1700_008,Кетский уезд,уезд,491.961
1700,adm_1700_009,Сургутский уезд,уезд,adm_1700_019,Тарский уезд,уезд,169.701
1700,adm_1700_009,Сургутский уезд,уезд,adm_1700_015,Безымянный объект №15,уезд,14.61
1700,adm_1700_010,Пелымский уезд,уезд,adm_1700_011,Туринский уезд,уезд,376.119
1700,adm_1700_010,Пелымский уезд,уезд,adm_1700_012,Верхотурский уезд,уезд,803.892
1700,adm_1700_011,Туринский уезд,уезд,adm_1700_013,Тюменский уезд,уезд,421.661
1700,adm_1700_011,Туринский уезд,уезд,adm_1700_012,Верхотурский уезд,уезд,281.75
1700,adm_1700_012,Верхотурский уезд,уезд,adm_1700_013,Тюменский уезд,уезд,482.947
1700,adm_1700_013,Тюменский уезд,уезд,adm_1700_019,Тарский уезд,уезд,159.245
1700,adm_1700_016,Красноярский уезд,уезд,adm_1700_017,Томский уезд,уезд,318.423
1700,adm_1700_017,Томский уезд,уезд,adm_1700_019,Тарский уезд,уезд,144.134
1700,adm_1700_017,Томский уезд,уезд,adm_1700_020,Кузнецкий уезд,уезд,676.072
1719,adm_1719_001,Иркутская провинция,провинция,adm_1719_011,Красноярский уезд,уезд,672.068
1719,adm_1719_001,Иркутская провинция,провинция,adm_1719_012,Енисейский уезд,уезд,775.449
1719,adm_1719_001,Иркутская провинция,провинция,adm_1719_002,Туруханский уезд,уезд,5052.651
1719,adm_1719_002,Туруханский уезд,уезд,adm_1719_012,Енисейский уезд,уезд,1445.597
1719,adm_1719_002,Туруханский уезд,уезд,adm_1719_030,Кетский уезд,уезд,278.096
1719,adm_1719_002,Туруханский уезд,уезд,adm_1719_034,Сургутский уезд,уезд,495.717
1719,adm_1719_002,Туруханский уезд,уезд,adm_1719_003,Берёзовский уезд,уезд,1752.977
1719,adm_1719_003,Берёзовский уезд,уезд,adm_1719_033,Тобольский уезд,уезд,250.369
1719,adm_1719_003,Берёзовский уезд,уезд,adm_1719_027,Верхотурский уезд,уезд,142.756
1719,adm_1719_003,Берёзовский уезд,уезд,adm_1719_028,Пелымский уезд,уезд,866.127
1719,adm_1719_003,Берёзовский уезд,уезд,adm_1719_034,Сургутский уезд,уезд,1697.148
1719,adm_1719_006,Томский уезд,уезд,adm_1719_010,Кузнецкий уезд,уезд,1242.95
1719,adm_1719_006,Томский уезд,уезд,adm_1719_011,Красноярский уезд,уезд,528.146
1719,adm_1719_006,Томский уезд,уезд,adm_1719_024,Томский уезд,уезд,34.648
1719,adm_1719_006,Томский уезд,уезд,adm_1719_031,Нарымский уезд,уезд,456.253
1719,adm_1719_006,Томский уезд,уезд,adm_1719_012,Енисейский уезд,уезд,139.61
1719,adm_1719_006,Томский уезд,уезд,adm_1719_030,Кетский уезд,уезд,645.825
1719,adm_1719_010,Кузнецкий уезд,уезд,adm_1719_011,Красноярский уезд,уезд,455.872
1719,adm_1719_011,Красноярский уезд,уезд,adm_1719_012,Енисейский уезд,уезд,334.616
1719,adm_1719_012,Енисейский уезд,уезд,adm_1719_030,Кетский уезд,уезд,306.546
1719,adm_1719_013,Кунгурский уезд,уезд,adm_1719_017,Соликамский уезд,уезд,526.295
1719,adm_1719_013,Кунгурский уезд,уезд,adm_1719_027,Верхотурский уезд,уезд,173.67
1719,adm_1719_014,Чердынский уезд,уезд,adm_1719_017,Соликамский уезд,уезд,629.419
1719,adm_1719_014,Чердынский уезд,уезд,adm_1719_027,Верхотурский уезд,уезд,355.496
1719,adm_1719_014,Чердынский уезд,уезд,adm_1719_019,Кайгородский уезд,уезд,411.563
1719,adm_1719_015,Хлыновский уезд,уезд,adm_1719_018,Слободской уезд,уезд,410.185
1719,adm_1719_015,Хлыновский уезд,уезд,adm_1719_021,Котельничский уезд,уезд,62.693
1719,adm_1719_015,Хлыновский уезд,уезд,adm_1719_020,Неклассифицированные,АТЕ,346.314
