year,unit_id,name,unit_type,area_km2,special_status_code,reason
1700,adm_1700_018,Зона слабого контроля в Верхнем Енисее / Хакасии,особая реконструкционная территория,32754.587,low_control_frontier,special_status
1719,adm_1719_004,Спорная зона Берёзовского / Мангазейского уездов,спорная территория,133682.39,disputed_berezov_mangazeya,special_status
1719,adm_1719_005,Спорная зона Мангазейского / Берёзовского уездов,спорная территория,47614.542,disputed_berezov_mangazeya,special_status
1719,adm_1719_007,"Барабинская степь (уезд не указан, на территории находятся крепость Омская и Железинская)",степная территория без уезда,176416.569,no_uezd_russian_siberia,special_status
1719,adm_1719_008,Южно-сибирская зона слабого контроля,особая реконструкционная территория,0.0,low_control_frontier,special_status
1719,adm_1719_009,"Телеутская степь (уезд не указан, это левобережье оби между иртышом и обью), находятся крепость Семипалатинская, Ямышевская, и крепость Усть-Каменогорск",степная территория без уезда,148988.323,no_uezd_russian_siberia,special_status
1719,adm_1719_026,Зона неустойчивого контроля,зона неустойчивого контроля,89111.852,unstable_control,special_status
1724,adm_1724_004,Спорная зона Берёзовского / Мангазейского уездов,спорная территория,133682.39,disputed_berezov_mangazeya,special_status
1724,adm_1724_005,Спорная зона Мангазейского / Берёзовского уездов,спорная территория,47614.542,disputed_berezov_mangazeya,special_status
1724,adm_1724_007,"Барабинская степь (уезд не указан, на территории находятся крепость Омская и Железинская)",степная территория без уезда,176416.569,no_uezd_russian_siberia,special_status
1724,adm_1724_009,Южно-сибирская зона слабого контроля,особая реконструкционная территория,0.0,low_control_frontier,special_status
1724,adm_1724_010,"Телеутская степь (уезд не указан, это левобережье оби между иртышом и обью), находятся крепость Семипалатинская, Ямышевская, и крепость Усть-Каменогорск",степная территория без уезда,148988.323,no_uezd_russian_siberia,special_status
1724,adm_1724_028,Зона неустойчивого контроля,зона неустойчивого контроля,89111.852,unstable_control,special_status
1727,adm_1727_003,Спорная зона Берёзовского / Мангазейского уездов,спорная территория,47614.542,disputed_berezov_mangazeya,special_status
