year,features_total,adjacency_included_features,adjacency_excluded_features,adjacency_edges,method
1700,20,19,1,35,shared boundary >= 0.5 km; special/unclear/dvoedantsy/context and cities <50 km2 excluded
1719,34,28,6,51,shared boundary >= 0.5 km; special/unclear/dvoedantsy/context and cities <50 km2 excluded
1724,34,28,6,51,shared boundary >= 0.5 km; special/unclear/dvoedantsy/context and cities <50 km2 excluded
1727,24,18,6,36,shared boundary >= 0.5 km; special/unclear/dvoedantsy/context and cities <50 km2 excluded
1745,18,15,3,32,shared boundary >= 0.5 km; special/unclear/dvoedantsy/context and cities <50 km2 excluded
1765,19,17,2,37,shared boundary >= 0.5 km; special/unclear/dvoedantsy/context and cities <50 km2 excluded
1780,12,5,7,6,shared boundary >= 0.5 km; special/unclear/dvoedantsy/context and cities <50 km2 excluded
1783,25,22,3,46,shared boundary >= 0.5 km; special/unclear/dvoedantsy/context and cities <50 km2 excluded
1798,22,18,4,37,shared boundary >= 0.5 km; special/unclear/dvoedantsy/context and cities <50 km2 excluded
1805,26,19,7,38,shared boundary >= 0.5 km; special/unclear/dvoedantsy/context and cities <50 km2 excluded
1809,19,17,2,35,shared boundary >= 0.5 km; special/unclear/dvoedantsy/context and cities <50 km2 excluded
1821,26,17,9,34,shared boundary >= 0.5 km; special/unclear/dvoedantsy/context and cities <50 km2 excluded
1838,27,19,8,40,shared boundary >= 0.5 km; special/unclear/dvoedantsy/context and cities <50 km2 excluded
1848,18,15,3,30,shared boundary >= 0.5 km; special/unclear/dvoedantsy/context and cities <50 km2 excluded
1855,26,26,0,58,shared boundary >= 0.5 km; special/unclear/dvoedantsy/context and cities <50 km2 excluded
1876,29,29,0,65,shared boundary >= 0.5 km; special/unclear/dvoedantsy/context and cities <50 km2 excluded
1897,29,29,0,60,shared boundary >= 0.5 km; special/unclear/dvoedantsy/context and cities <50 km2 excluded
1914,28,28,0,61,shared boundary >= 0.5 km; special/unclear/dvoedantsy/context and cities <50 km2 excluded
1918,52,33,19,74,shared boundary >= 0.5 km; special/unclear/dvoedantsy/context and cities <50 km2 excluded
1923,49,30,19,68,shared boundary >= 0.5 km; special/unclear/dvoedantsy/context and cities <50 km2 excluded
1926,287,265,22,713,shared boundary >= 0.5 km; special/unclear/dvoedantsy/context and cities <50 km2 excluded
1930,219,195,24,527,shared boundary >= 0.5 km; special/unclear/dvoedantsy/context and cities <50 km2 excluded
1939,241,207,34,552,shared boundary >= 0.5 km; special/unclear/dvoedantsy/context and cities <50 km2 excluded
1947,252,220,32,586,shared boundary >= 0.5 km; special/unclear/dvoedantsy/context and cities <50 km2 excluded
1959,250,218,32,590,shared boundary >= 0.5 km; special/unclear/dvoedantsy/context and cities <50 km2 excluded
1964,158,126,32,324,shared boundary >= 0.5 km; special/unclear/dvoedantsy/context and cities <50 km2 excluded
1970,235,235,0,554,shared boundary >= 0.5 km; special/unclear/dvoedantsy/context and cities <50 km2 excluded
1979,247,247,0,583,shared boundary >= 0.5 km; special/unclear/dvoedantsy/context and cities <50 km2 excluded
1989,221,221,0,572,shared boundary >= 0.5 km; special/unclear/dvoedantsy/context and cities <50 km2 excluded
2021,288,288,0,694,shared boundary >= 0.5 km; special/unclear/dvoedantsy/context and cities <50 km2 excluded
