year,source_id,source_name,source_parent,target_id,target_name,target_parent,boundary_km,relation
1700,adm_1700_001,Туруханский уезд,Уездная сеть Сибири,adm_1700_009,Сургутский уезд,Уездная сеть Сибири,541.539,same_parent
1700,adm_1700_001,Туруханский уезд,Уездная сеть Сибири,adm_1700_002,Берёзовский уезд,Уездная сеть Сибири,928.208,same_parent
1700,adm_1700_001,Туруханский уезд,Уездная сеть Сибири,adm_1700_004,Илимский уезд,Уездная сеть Сибири,414.44,same_parent
1700,adm_1700_001,Туруханский уезд,Уездная сеть Сибири,adm_1700_003,Енисейский уезд,Уездная сеть Сибири,1054.543,same_parent
1700,adm_1700_001,Туруханский уезд,Уездная сеть Сибири,adm_1700_007,Нарымский уезд,Уездная сеть Сибири,55.546,same_parent
1700,adm_1700_001,Туруханский уезд,Уездная сеть Сибири,adm_1700_008,Кетский уезд,Уездная сеть Сибири,243.321,same_parent
1700,adm_1700_002,Берёзовский уезд,Уездная сеть Сибири,adm_1700_006,Тобольский уезд,Уездная сеть Сибири,94.339,same_parent
1700,adm_1700_002,Берёзовский уезд,Уездная сеть Сибири,adm_1700_009,Сургутский уезд,Уездная сеть Сибири,780.964,same_parent
1700,adm_1700_002,Берёзовский уезд,Уездная сеть Сибири,adm_1700_012,Верхотурский уезд,Уездная сеть Сибири,52.345,same_parent
1700,adm_1700_002,Берёзовский уезд,Уездная сеть Сибири,adm_1700_010,Пелымский уезд,Уездная сеть Сибири,407.112,same_parent
1700,adm_1700_003,Енисейский уезд,Уездная сеть Сибири,adm_1700_005,Иркутский уезд,Уездная сеть Сибири,214.074,same_parent
1700,adm_1700_003,Енисейский уезд,Уездная сеть Сибири,adm_1700_016,Красноярский уезд,Уездная сеть Сибири,649.56,same_parent
1700,adm_1700_003,Енисейский уезд,Уездная сеть Сибири,adm_1700_017,Томский уезд,Уездная сеть Сибири,197.369,same_parent
1700,adm_1700_003,Енисейский уезд,Уездная сеть Сибири,adm_1700_004,Илимский уезд,Уездная сеть Сибири,1117.858,same_parent
1700,adm_1700_003,Енисейский уезд,Уездная сеть Сибири,adm_1700_008,Кетский уезд,Уездная сеть Сибири,234.757,same_parent
1700,adm_1700_005,Иркутский уезд,Уездная сеть Сибири,adm_1700_016,Красноярский уезд,Уездная сеть Сибири,156.844,same_parent
1700,adm_1700_006,Тобольский уезд,Уездная сеть Сибири,adm_1700_019,Тарский уезд,Уездная сеть Сибири,402.301,same_parent
1700,adm_1700_006,Тобольский уезд,Уездная сеть Сибири,adm_1700_013,Тюменский уезд,Уездная сеть Сибири,412.84,same_parent
1700,adm_1700_006,Тобольский уезд,Уездная сеть Сибири,adm_1700_009,Сургутский уезд,Уездная сеть Сибири,511.262,same_parent
1700,adm_1700_006,Тобольский уезд,Уездная сеть Сибири,adm_1700_010,Пелымский уезд,Уездная сеть Сибири,495.634,same_parent
1700,adm_1700_007,Нарымский уезд,Уездная сеть Сибири,adm_1700_019,Тарский уезд,Уездная сеть Сибири,116.768,same_parent
1700,adm_1700_007,Нарымский уезд,Уездная сеть Сибири,adm_1700_009,Сургутский уезд,Уездная сеть Сибири,598.534,same_parent
1700,adm_1700_007,Нарымский уезд,Уездная сеть Сибири,adm_1700_017,Томский уезд,Уездная сеть Сибири,293.337,same_parent
1700,adm_1700_007,Нарымский уезд,Уездная сеть Сибири,adm_1700_008,Кетский уезд,Уездная сеть Сибири,251.918,same_parent
1700,adm_1700_009,Сургутский уезд,Уездная сеть Сибири,adm_1700_019,Тарский уезд,Уездная сеть Сибири,90.571,same_parent
1700,adm_1700_009,Сургутский уезд,Уездная сеть Сибири,adm_1700_015,Безымянный объект №15,Уездная сеть Сибири,7.801,same_parent
1700,adm_1700_010,Пелымский уезд,Уездная сеть Сибири,adm_1700_011,Туринский уезд,Уездная сеть Сибири,196.434,same_parent
1700,adm_1700_010,Пелымский уезд,Уездная сеть Сибири,adm_1700_012,Верхотурский уезд,Уездная сеть Сибири,399.31,same_parent
1700,adm_1700_011,Туринский уезд,Уездная сеть Сибири,adm_1700_013,Тюменский уезд,Уездная сеть Сибири,226.066,same_parent
1700,adm_1700_011,Туринский уезд,Уездная сеть Сибири,adm_1700_012,Верхотурский уезд,Уездная сеть Сибири,148.667,same_parent
1700,adm_1700_012,Верхотурский уезд,Уездная сеть Сибири,adm_1700_013,Тюменский уезд,Уездная сеть Сибири,264.909,same_parent
1700,adm_1700_013,Тюменский уезд,Уездная сеть Сибири,adm_1700_019,Тарский уезд,Уездная сеть Сибири,88.491,same_parent
1700,adm_1700_016,Красноярский уезд,Уездная сеть Сибири,adm_1700_017,Томский уезд,Уездная сеть Сибири,176.451,same_parent
1700,adm_1700_017,Томский уезд,Уездная сеть Сибири,adm_1700_019,Тарский уезд,Уездная сеть Сибири,80.876,same_parent
1700,adm_1700_017,Томский уезд,Уездная сеть Сибири,adm_1700_020,Кузнецкий уезд,Уездная сеть Сибири,389.601,same_parent
1719,adm_1719_001,Иркутская провинция,Иркутская провинция,adm_1719_011,Красноярский уезд,Тобольская провинция,386.748,same_superparent
1719,adm_1719_001,Иркутская провинция,Иркутская провинция,adm_1719_012,Енисейский уезд,Тобольская провинция,406.543,same_superparent
1719,adm_1719_001,Иркутская провинция,Иркутская провинция,adm_1719_002,Туруханский уезд,Тобольская провинция,2040.537,same_superparent
1719,adm_1719_002,Туруханский уезд,Тобольская провинция,adm_1719_030,Кетский уезд,Тобольская провинция,139.559,same_parent
