year,features_total,nodes_in_graph,edges,excluded,components,density,cyclomatic,max_degree,avg_degree
1700,20,19,35,1,2,0.204678,18,6,3.684
1719,34,28,50,6,2,0.132275,24,7,3.571
1724,34,28,50,6,2,0.132275,24,7,3.571
1727,24,18,35,6,2,0.228758,19,6,3.889
1745,18,15,32,3,1,0.304762,18,7,4.267
1765,19,17,37,2,1,0.272059,21,8,4.353
1780,12,5,6,7,1,0.6,2,4,2.4
1783,25,22,46,3,1,0.199134,25,7,4.182
1798,22,18,37,4,1,0.24183,20,7,4.111
1805,26,19,38,7,1,0.222222,20,6,4.0
1809,19,17,35,2,1,0.257353,19,6,4.118
1821,26,17,34,9,1,0.25,18,6,4.0
1838,27,19,40,8,1,0.233918,22,8,4.211
1848,18,15,30,3,1,0.285714,16,6,4.0
1855,26,26,58,0,1,0.178462,33,9,4.462
1876,29,29,65,0,1,0.160099,37,7,4.483
1897,29,28,59,1,1,0.156085,32,8,4.214
1914,28,27,60,1,1,0.17094,34,7,4.444
1918,52,33,74,19,2,0.140152,43,9,4.485
1923,49,30,68,19,1,0.156322,39,8,4.533
1926,287,265,713,22,1,0.020383,449,9,5.381
1930,219,195,527,24,1,0.027861,333,9,5.405
1939,241,207,552,34,1,0.02589,346,11,5.333
1947,252,220,586,32,3,0.024325,369,10,5.327
1959,250,218,590,32,1,0.024944,373,9,5.413
1964,158,126,324,32,1,0.041143,199,10,5.143
1970,235,193,512,42,1,0.027634,320,9,5.306
1979,247,204,539,43,1,0.026031,336,10,5.284
1989,221,221,579,0,1,0.023817,359,12,5.24
2021,288,280,693,8,1,0.017742,414,13,4.95
