year,nodes,edges,bridges,articulation_points_computed,articulation_points_existing
1700,19,35,2,2,2
1719,28,50,3,4,4
1724,28,50,3,4,4
1727,18,35,0,0,0
1745,15,32,0,0,0
1765,17,37,0,0,0
1780,5,6,1,1,1
1783,22,46,1,1,1
1798,18,37,1,1,1
1805,19,38,1,1,1
1809,17,35,0,0,0
1821,17,34,0,0,0
1838,19,40,0,0,0
1848,15,30,0,0,0
1855,26,58,0,0,0
1876,29,65,1,1,1
1897,28,59,3,2,2
1914,27,60,0,0,0
1918,33,74,1,1,1
1923,30,68,0,0,0
1926,265,713,1,1,1
1930,195,527,4,4,4
1939,207,552,6,6,6
1947,220,586,1,1,1
1959,218,590,1,1,1
1964,126,324,3,3,3
1970,193,512,3,3,3
1979,204,539,5,5,5
1989,221,579,8,7,7
2021,280,693,26,22,22
