year,nodes,edges,same_parent_edges,same_superparent_edges,cross_parent_edges,unknown_edges,bridge_edges
1700,19,35,35,0,0,0,2
1719,28,50,41,9,0,0,3
1724,28,50,36,14,0,0,3
1727,18,35,23,12,0,0,0
1745,15,32,21,11,0,0,0
1765,17,37,23,7,7,0,0
1780,5,6,6,0,0,0,1
1783,22,46,39,0,7,0,1
1798,18,37,37,0,0,0,1
1805,19,38,33,0,5,0,1
1809,17,35,29,0,6,0,0
1821,17,34,29,0,5,0,0
1838,19,40,29,0,11,0,0
1848,15,30,25,0,5,0,0
1855,26,58,35,0,23,0,0
1876,29,65,44,0,21,0,1
1897,28,59,41,0,18,0,3
1914,27,60,43,0,17,0,0
1918,33,74,62,12,0,0,1
1923,30,68,35,33,0,0,0
1926,265,713,523,174,16,0,1
1930,195,527,383,131,13,0,4
1939,207,552,509,0,43,0,6
1947,220,586,485,20,81,0,1
1959,218,590,490,19,81,0,1
1964,126,324,253,16,55,0,3
1970,193,512,419,20,73,0,3
1979,204,539,445,21,73,0,5
1989,221,579,480,23,76,0,8
2021,280,693,584,15,94,0,26
