year,nodes,edges,components,graph_density,cyclomatic,articulation_points,avg_degree,avg_degree_centrality,avg_betweenness,avg_closeness,avg_k_core,avg_external_degree,avg_internal_degree,avg_external_share,avg_super_external_degree,same_parent_edges,same_superparent_edges,cross_parent_edges,other_edges,max_degree,max_degree_name,max_betweenness,max_betweenness_name,max_closeness,max_closeness_name,max_k_core,max_k_core_name,bridges,articulation_points_computed
1700,19,35,2,0.204678,18,2,3.684211,0.204678,0.069832,0.394967,2.473684,0.0,3.684211,0.0,0.0,35,0,0,0,6.0,Туруханский уезд,0.21329,Туруханский уезд,0.517921,Туруханский уезд,3.0,Туруханский уезд,2,2
1719,28,50,2,0.132275,24,4,3.571429,0.132275,0.094729,0.265785,2.357143,0.642857,2.928571,0.170068,0.0,41,9,0,0,7.0,Верхотурский уезд,0.470655,Верхотурский уезд,0.373687,Верхотурский уезд,3.0,Иркутская провинция,3,4
1724,28,50,2,0.132275,24,4,3.571429,0.132275,0.094729,0.265785,2.357143,1.0,2.571429,0.242687,0.0,36,14,0,0,7.0,Верхотурский уезд,0.470655,Верхотурский уезд,0.373687,Верхотурский уезд,3.0,Иркутская провинция,3,4
1727,18,35,2,0.228758,19,0,3.888889,0.228758,0.075572,0.385983,2.666667,1.333333,2.555556,0.336111,0.0,23,12,0,0,6.0,Томский уезд,0.251628,Тобольский уезд,0.501961,Сургутский уезд,3.0,Иркутская провинция,0,0
1745,15,32,1,0.304762,18,0,4.266667,0.304762,0.086447,0.483088,3.0,1.466667,2.8,0.365238,0.0,21,11,0,0,7.0,Сургутский уезд,0.419362,Тобольский уезд,0.636364,Сургутский уезд,3.0,Мангазейский уезд,0,0
1765,17,37,1,0.272059,21,0,4.352941,0.272059,0.083333,0.455739,3.0,1.647059,2.705882,0.411274,0.823529,23,7,7,0,8.0,Тобольский уезд,0.405072,Тобольский уезд,0.615385,Тобольский уезд,3.0,Мангазейский уезд,0,0
1780,5,6,1,0.6,2,1,2.4,0.6,0.133333,0.740953,1.8,0.0,2.4,0.0,0.0,6,0,0,0,4.0,Кузнецкий уезд,0.583333,Кузнецкий уезд,1.0,Кузнецкий уезд,2.0,Барнаульский уезд,1,1
1783,22,46,1,0.199134,25,1,4.181818,0.199134,0.083333,0.384711,2.863636,0.636364,3.545455,0.155303,0.636364,39,0,7,0,7.0,Тобольский уезд,0.205117,Нарымский уезд,0.488372,Тарский уезд,3.0,Туруханский уезд,1,1
1798,18,37,1,0.24183,20,1,4.111111,0.24183,0.086601,0.431134,2.833333,0.0,4.111111,0.0,0.0,37,0,0,0,7.0,Томский уезд,0.326039,Тарский уезд,0.566667,Тарский уезд,3.0,Туруханский уезд,1,1
1805,19,38,1,0.222222,20,1,4.0,0.222222,0.085655,0.416667,2.789474,0.526316,3.473684,0.111404,0.526316,33,0,5,0,6.0,Туруханский уезд,0.297349,Березовский уезд,0.529412,Березовский уезд,3.0,Туруханский уезд,1,1
1809,17,35,1,0.257353,19,0,4.117647,0.257353,0.089216,0.438899,2.941176,0.705882,3.411765,0.146078,0.705882,29,0,6,0,6.0,Березовский уезд,0.275756,Березовский уезд,0.551724,Березовский уезд,3.0,Березовский уезд,0,0
1821,17,34,1,0.25,18,0,4.0,0.25,0.091176,0.432097,2.941176,0.588235,3.411765,0.134314,0.588235,29,0,5,0,6.0,Тобольский уезд,0.234077,Березовский уезд,0.533333,Тарский уезд,3.0,Туруханский уезд,0,0
1838,19,40,1,0.233918,22,0,4.210526,0.233918,0.079463,0.434372,2.947368,1.157895,3.052632,0.263158,1.157895,29,0,11,0,8.0,Каинский округ,0.312915,Каинский округ,0.5625,Каинский округ,3.0,Берёзовский округ,0,0
1848,15,30,1,0.285714,16,0,4.0,0.285714,0.092308,0.464135,2.933333,0.666667,3.333333,0.155556,0.666667,25,0,5,0,6.0,Тобольский округ,0.25275,Омский округ,0.56,Омский округ,3.0,Берёзовский округ,0,0
1855,26,58,1,0.178462,33,0,4.461538,0.178462,0.07,0.382555,2.961538,1.769231,2.692308,0.387698,1.769231,35,0,23,0,9.0,Округ внутренних киргизов,0.32022,Округ внутренних киргизов,0.510204,Омский округ,3.0,Берёзовский округ,0,0
1876,29,65,1,0.160099,37,1,4.482759,0.160099,0.069513,0.358328,2.827586,1.448276,3.034483,0.325452,1.448276,44,0,21,0,7.0,Барнаульский округ,0.271055,Тюкалинский округ,0.491228,Тюкалинский округ,3.0,Сургутский округ,1,1
1897,28,59,1,0.156085,32,2,4.214286,0.156084,0.069088,0.368042,2.75,1.285714,2.928571,0.299022,0.0,41,0,18,0,8.0,Барнаульский округ,0.299702,Барнаульский округ,0.5,Тюкалинский округ,3.0,Атбасарский уезд,3,2
1914,27,60,1,0.17094,34,0,4.444444,0.17094,0.070997,0.369479,2.888889,1.259259,3.185185,0.240123,0.0,43,0,17,0,7.0,Барнаульский уезд,0.23671,Павлодарский уезд,0.472727,Тюкалинский уезд,3.0,Кокчетавский уезд,0,0
1918,33,74,2,0.140152,43,1,4.484848,0.140152,0.06476,0.307611,3.121212,0.727273,3.757576,0.134921,0.0,62,12,0,0,9.0,Змеиногорский уезд,0.2994,Тобольская губерния,0.411387,Каменский уезд,4.0,"Бухтарминский уезд, переданный в 1920 г. в Семипалатинскую область",1,1
1923,30,68,1,0.156322,39,0,4.533333,0.156322,0.06913,0.349578,2.9,2.2,2.333333,0.464206,0.0,35,33,0,0,8.0,Тобольский уезд,0.295426,Нарымский уезд,0.467742,Нарымский уезд,3.0,Сургутский уезд,0,0
1926,265,713,1,0.020383,449,1,5.381132,0.020383,0.029723,0.116971,3.464151,1.433962,3.94717,0.249269,0.116981,523,174,16,0,9.0,Большереченский,0.369227,Каргасокский,0.157706,Колпашевский,4.0,Бащелакский,1,1
1930,195,527,1,0.027861,333,4,5.405128,0.027861,0.029911,0.151108,3.702564,1.476923,3.928205,0.246783,0.133333,383,131,13,0,9.0,Павловский,0.288645,Безымянный район №24 (Томский округ),0.199179,Безымянный район №23 (Томский округ),4.0,Безымянный район №1 (Тобольский округ),4,4
1939,207,552,1,0.02589,346,6,5.333333,0.02589,0.030434,0.141801,3.415459,0.415459,4.917874,0.071286,0.0,509,0,43,0,11.0,Тогульский,0.242513,Каргасокский,0.186089,Пихтовский,4.0,Ойрот-Турский (рц в г. Ойрот-Туре),6,6
1947,220,586,3,0.024325,369,1,5.327273,0.024325,0.029661,0.132946,3.1,0.918182,4.409091,0.161501,0.736364,485,20,81,0,10.0,Троицкий район,0.191662,Михайловский район,0.180688,Михайловский район,4.0,Мамонтовский район,1,1
1959,218,590,1,0.024944,373,1,5.412844,0.024944,0.030914,0.133849,3.385321,0.917431,4.495413,0.156411,0.743119,490,19,81,0,9.0,Колыванский район (сельское население),0.253539,Каргасокский район,0.180532,Михайловский район (сельское население),4.0,Ленинск-Кузнецкий район (сельское население),1,1
1964,126,324,1,0.041143,199,3,5.142857,0.041143,0.036602,0.18461,2.912698,1.126984,4.015873,0.199228,0.873016,253,16,55,0,10.0,Тобольский район,0.306899,Каргасокский район,0.236295,Куйбышевский район,3.0,Кош-Агачский район,3,3
1970,193,512,1,0.027634,320,3,5.305699,0.027634,0.030347,0.150678,3.103627,0.963731,4.341969,0.164769,0.756477,419,20,73,0,9.0,Убинский,0.334567,Каргасокский,0.201893,Колыванский,4.0,Тогучинский,3,3
1979,204,539,1,0.026031,336,5,5.284314,0.026031,0.029315,0.148121,2.901961,0.921569,4.362745,0.155719,0.715686,445,21,73,0,10.0,Уватский,0.325562,Каргасокский,0.201389,Колыванский,3.0,Кош-Агачский,5,5
1989,221,579,1,0.023817,359,7,5.239819,0.023817,0.027716,0.144964,3.122172,0.895928,4.343891,0.149923,0.687783,480,23,76,0,12.0,Новокузнецкий муниципальный район,0.315937,Каргасокский муниципальный район,0.195035,Колыванский муниципальный район,4.0,Шебалинский район,8,7
2021,280,693,1,0.017742,414,22,4.95,0.017742,0.025239,0.128715,2.882143,0.778571,4.171429,0.129679,0.671429,584,15,94,0,13.0,Новокузнецкий муниципальный район,0.402644,Каргасокский муниципальный район,0.175693,Каргасокский муниципальный район,4.0,Чемальский муниципальный район,26,22
