year,nodes_rebuilt,edge_endpoint_nodes,retained_isolated_nodes,edges_used,nodes_moved_to_edge_endpoint,max_shift_degrees
1700,19,18,1,35,18,8.90076037
1719,28,27,1,50,27,5.67892857
1724,28,27,1,50,27,5.67892857
1727,18,17,1,35,17,5.67892857
1745,15,15,0,32,15,1.30232761
1765,17,17,0,37,17,2.08876659
1780,5,5,0,6,5,0.21242879
1783,22,22,0,46,22,10.0510522
1798,18,18,0,37,18,10.05437569
1805,19,19,0,38,19,1.30868178
1809,17,17,0,35,17,1.92793742
1821,17,17,0,34,17,2.20555057
1838,19,19,0,40,19,1.18763571
1848,15,15,0,30,15,1.23468151
1855,26,26,0,58,26,1.53017511
1876,29,29,0,65,29,9.40597617
1897,28,28,0,59,28,9.40597617
1914,27,27,0,60,27,7.70264829
1918,33,32,1,74,32,7.92731435
1923,30,30,0,68,30,7.92731435
1926,265,265,0,713,265,0.837378
1930,195,195,0,527,195,0.91786494
1939,207,207,0,552,207,0.5276576
1947,220,218,2,586,218,1.36245595
1959,218,218,0,590,218,2.08053849
1964,126,126,0,324,126,2.08053849
1970,193,193,0,512,193,2.16477341
1979,204,204,0,539,204,2.18527158
1989,221,221,0,579,221,0.79062428
2021,280,280,0,693,280,1.1881916
