year,features_total,nodes_in_graph,edges,excluded,removed_edges,components,density,cyclomatic,bridges,articulation_points
1700,20,17,33,3,2,1,0.242647,17,1,2
1719,34,27,48,7,2,1,0.136752,22,3,4
1724,34,27,48,7,2,1,0.136752,22,3,4
1727,24,17,33,7,2,1,0.242647,17,0,0
1745,18,15,32,3,0,1,0.304762,18,0,0
1765,19,17,37,2,0,1,0.272059,21,0,0
1780,12,4,5,8,1,1,0.833333,2,0,0
1783,25,21,45,4,1,1,0.214286,25,0,0
1798,22,17,36,5,1,1,0.264706,20,0,0
1805,26,19,36,7,2,1,0.210526,18,1,1
1809,19,17,35,2,0,1,0.257353,19,0,0
1821,26,17,32,9,2,1,0.235294,16,0,0
1838,27,19,40,8,0,1,0.233918,22,0,0
1848,18,15,30,3,0,1,0.285714,16,0,0
1855,26,25,56,1,2,1,0.186667,32,0,0
1876,29,29,65,0,0,1,0.160099,37,1,1
1897,29,28,59,1,0,1,0.156085,32,3,2
1914,28,27,60,1,0,1,0.17094,34,0,0
1918,52,27,52,25,22,3,0.148148,28,1,1
1923,49,27,58,22,10,1,0.165242,32,0,0
1926,287,265,713,22,0,1,0.020383,449,1,1
1930,219,195,527,24,0,1,0.027861,333,4,4
1939,241,207,552,34,0,1,0.02589,346,6,6
1947,252,220,586,32,0,3,0.024325,369,1,1
1959,250,218,590,32,0,1,0.024944,373,1,1
1964,158,126,324,32,0,1,0.041143,199,3,3
1970,235,192,511,43,1,1,0.027869,320,2,2
1979,247,203,538,44,1,1,0.02624,336,4,4
1989,221,221,579,0,0,1,0.023817,359,8,7
2021,288,280,693,8,0,1,0.017742,414,26,22
