year,unit_id,name,unit_type,area_km2,reason,special_status_code
1700,adm_1700_014,Безымянный объект №14,уезд,0.0,zero_or_micro_area_fragment_le_1_km2,normal
1700,adm_1700_015,Безымянный объект №15,уезд,0.013,micro_or_city_polygon_area_lt_50_km2,normal
1700,adm_1700_018,Зона слабого контроля в Верхнем Енисее / Хакасии,особая реконструкционная территория,32754.589,special_or_uncertain_status,low_control_frontier
1719,adm_1719_004,Спорная зона Берёзовского / Мангазейского уездов,спорная территория,133682.37,special_or_uncertain_status,disputed_berezov_mangazeya
1719,adm_1719_005,Спорная зона Мангазейского / Берёзовского уездов,спорная территория,47614.565,special_or_uncertain_status,disputed_berezov_mangazeya
1719,adm_1719_007,"Барабинская степь (уезд не указан, на территории находятся крепость Омская и Железинская)",степная территория без уезда,176416.566,special_or_uncertain_status,no_uezd_russian_siberia
1719,adm_1719_008,Южно-сибирская зона слабого контроля,особая реконструкционная территория,0.0,special_or_uncertain_status,low_control_frontier
1719,adm_1719_009,"Телеутская степь (уезд не указан, это левобережье оби между иртышом и обью), находятся крепость Семипалатинская, Ямышевская, и крепость Усть-Каменогорск",степная территория без уезда,148988.33,special_or_uncertain_status,no_uezd_russian_siberia
1719,adm_1719_016,Неклассифицированные,АТЕ,43.401,micro_or_city_polygon_area_lt_50_km2,normal
1719,adm_1719_023,Енисейский уезд,уезд,0.003,micro_or_city_polygon_area_lt_50_km2,normal
1719,adm_1719_024,Томский уезд,уезд,32.364,micro_or_city_polygon_area_lt_50_km2,normal
1719,adm_1719_026,Зона неустойчивого контроля,зона неустойчивого контроля,89111.693,special_or_uncertain_status,unstable_control
1724,adm_1724_004,Спорная зона Берёзовского / Мангазейского уездов,спорная территория,133682.37,special_or_uncertain_status,disputed_berezov_mangazeya
1724,adm_1724_005,Спорная зона Мангазейского / Берёзовского уездов,спорная территория,47614.565,special_or_uncertain_status,disputed_berezov_mangazeya
1724,adm_1724_007,"Барабинская степь (уезд не указан, на территории находятся крепость Омская и Железинская)",степная территория без уезда,176416.566,special_or_uncertain_status,no_uezd_russian_siberia
1724,adm_1724_009,Южно-сибирская зона слабого контроля,особая реконструкционная территория,0.0,special_or_uncertain_status,low_control_frontier
1724,adm_1724_010,"Телеутская степь (уезд не указан, это левобережье оби между иртышом и обью), находятся крепость Семипалатинская, Ямышевская, и крепость Усть-Каменогорск",степная территория без уезда,148988.33,special_or_uncertain_status,no_uezd_russian_siberia
1724,adm_1724_018,Неклассифицированные,АТЕ,43.401,micro_or_city_polygon_area_lt_50_km2,normal
1724,adm_1724_025,Енисейский уезд,уезд,0.003,micro_or_city_polygon_area_lt_50_km2,normal
1724,adm_1724_026,Томский уезд,уезд,32.364,micro_or_city_polygon_area_lt_50_km2,normal
1724,adm_1724_028,Зона неустойчивого контроля,зона неустойчивого контроля,89111.693,special_or_uncertain_status,unstable_control
1727,adm_1727_003,Спорная зона Берёзовского / Мангазейского уездов,спорная территория,47614.565,special_or_uncertain_status,disputed_berezov_mangazeya
1727,adm_1727_005,Спорная зона Мангазейского / Берёзовского уездов,спорная территория,133682.37,special_or_uncertain_status,disputed_berezov_mangazeya
1727,adm_1727_007,"Барабинская степь (уезд не указан, на территории находятся крепость Омская и Железинская)",степная территория без уезда,176416.566,special_or_uncertain_status,no_uezd_russian_siberia
1727,adm_1727_009,Южно-сибирская зона слабого контроля,особая реконструкционная территория,0.0,special_or_uncertain_status,low_control_frontier
1727,adm_1727_010,"Телеутская степь (уезд не указан, это левобережье оби между иртышом и обью), находятся крепость Семипалатинская, Ямышевская, и крепость Усть-Каменогорск",степная территория без уезда,148988.33,special_or_uncertain_status,no_uezd_russian_siberia
