year,features_total,nodes_in_graph,edges,excluded,components,density,cyclomatic,bridges,articulation_points,max_degree,avg_degree,removed_features
1700,20,17,35,3,1,0.257353,19,1,1,6,4.118,
1719,34,25,48,9,1,0.16,24,2,3,7,3.84,
1724,34,25,48,9,1,0.16,24,2,3,7,3.84,
1727,24,16,34,8,1,0.283333,19,0,0,6,4.25,
1783,25,21,46,4,1,0.219048,26,0,0,7,4.381,
1805,25,18,38,7,1,0.248366,21,0,0,6,4.222,"[{""unit_id"":""adm_1805_017"",""name"":""Туруханский уезд"",""area_km2"":801.674}]"
1821,26,17,35,9,1,0.257353,19,0,0,6,4.118,
1838,27,19,42,8,1,0.245614,24,0,0,8,4.421,
1848,18,15,31,3,1,0.295238,17,0,0,6,4.133,
1918,52,26,58,26,1,0.178462,33,0,0,7,4.462,
1923,49,27,60,22,1,0.17094,34,0,0,8,4.444,
