year,features,rail_km_before_webmercator_like,rail_km_after_geodesic,ratio_after_before
1700,20,0.0,0.0,
1719,34,0.0,0.0,
1724,34,0.0,0.0,
1727,24,0.0,0.0,
1745,18,0.0,0.0,
1765,19,0.0,0.0,
1780,12,0.0,0.0,
1783,25,0.0,0.0,
1798,22,0.0,0.0,
1805,25,0.0,0.0,
1809,19,0.0,0.0,
1821,26,0.0,0.0,
1838,27,0.0,0.0,
1848,18,0.0,0.0,
1855,26,0.0,0.0,
1876,27,0.0,0.0,
1897,30,1270.66,1271.4,1.0006
1914,28,4318.73,2444.17,0.5659
1918,33,0.0,3642.17,
1923,30,0.0,3547.46,
1926,278,7442.97,4250.44,0.5711
1930,206,0.0,3504.85,
1939,241,6702.69,3863.58,0.5764
1947,252,7332.0,4241.28,0.5785
1959,250,8514.49,4902.98,0.5758
1964,158,10082.27,5827.54,0.578
1970,235,11055.92,6325.13,0.5721
1979,247,13755.27,7644.86,0.5558
1989,221,16177.03,8677.05,0.5364
2021,288,17783.54,9591.2,0.5393
