year,nodes,edges,total_edges,blocked_edges,blocked_highland_edges,blocked_wetland_edges,corridor_edges,barrier_edges,rail_corridor_edges,old_road_corridor_edges,navigable_river_corridor_edges,mixed_corridor_edges,minor_river_barrier_edges,main_watershed_barrier_edges,highland_barrier_edges,normal_contact_edges
1700,17,24,35,11,4,7,17,17,0,5,12,0,4,2,0,1
1719,25,36,48,12,7,5,26,21,0,9,17,0,6,3,0,1
1724,25,36,48,12,7,5,26,21,0,9,17,0,6,3,0,1
1727,16,24,34,10,5,5,16,17,0,5,11,0,4,3,0,1
1745,15,25,32,7,5,2,16,13,0,6,10,0,5,1,0,3
1765,17,24,37,13,5,8,16,18,0,5,11,0,4,1,0,3
1780,4,4,5,1,1,0,4,1,0,1,3,0,0,0,0,0
1783,21,41,46,5,2,3,30,14,0,10,20,0,9,0,0,2
1798,17,31,36,5,1,4,26,9,0,6,20,0,4,0,0,1
1805,18,32,38,6,1,5,27,10,0,6,21,0,4,0,0,1
1809,17,31,35,4,1,3,26,8,0,6,20,0,4,0,0,1
1821,17,31,35,4,1,3,24,10,0,4,20,0,6,0,0,1
1838,19,37,42,5,1,4,23,13,0,7,16,0,8,0,0,6
1848,15,26,31,5,1,4,18,12,0,6,12,0,7,0,0,1
1855,25,50,56,6,2,4,28,21,0,14,14,0,10,5,0,7
1876,27,52,62,10,5,5,27,27,0,14,13,0,12,5,0,8
1897,29,44,62,18,8,10,25,32,7,0,18,0,10,4,0,5
1914,27,49,60,11,8,3,29,25,13,0,16,0,9,5,0,6
1918,26,32,58,26,12,14,15,35,15,0,0,0,8,1,0,8
1923,27,36,60,24,9,15,17,33,17,0,0,0,9,0,0,10
1926,265,525,715,190,68,122,103,288,103,0,0,0,98,0,0,324
1930,191,351,523,172,67,105,74,256,74,0,0,0,84,0,0,193
1939,201,442,547,105,40,65,155,116,155,0,0,0,10,1,0,276
1947,219,464,584,120,40,80,155,128,155,0,0,0,7,1,0,301
1959,218,481,590,109,40,69,196,119,196,0,0,0,9,1,0,275
1964,126,246,324,78,26,52,120,81,120,0,0,0,3,0,0,123
1970,192,413,511,98,33,65,210,106,210,0,0,0,7,1,0,195
1979,203,439,538,99,35,64,252,107,252,0,0,0,7,1,0,179
1989,221,477,579,102,42,60,277,111,277,0,0,0,8,1,0,191
2021,280,571,693,122,46,76,332,132,332,0,0,0,10,0,0,229
