year,nodes,edges,components,density,corridor_edges,rail_corridor_edges,old_road_corridor_edges,navigable_river_corridor_edges,barrier_edges,wetland_impedance_edges,relief_impedance_edges,watershed_impedance_edges,blocked_edges,mixed_corridor_edges,normal_contact_edges,avg_degree,avg_weighted_degree,avg_betweenness,avg_closeness,avg_edge_strength,avg_edge_impedance,largest_component,class_mixed_corridor,class_mixed_corridor_impedance,class_rail_corridor,class_rail_with_impedance,class_old_road_corridor,class_old_road_with_impedance,class_navigable_river_corridor,class_navigable_river_with_impedance,class_normal_contact,class_normal_wetland_impedance,class_normal_relief_impedance,class_normal_watershed_impedance,class_normal_minor_river_impedance,class_normal_multiple_impedance,class_blocked_high_impedance
1700,17,31,1,0.227941,18,0,5,17,32,20,10,11,4,4,1,3.647059,4.874506,0.17598,0.000774,1.183809,946.023019,17,1,3,0,0,1,0,0,13,1,0,0,0,1,11,4
1719,25,42,1,0.14,28,0,9,25,40,19,15,16,6,6,0,3.36,9.963488,0.207391,0.000972,2.594658,822.155355,25,2,4,0,0,1,2,5,14,0,2,1,0,4,7,6
1724,25,42,1,0.14,28,0,9,25,40,19,15,16,6,6,0,3.36,9.963488,0.207391,0.000972,2.594658,822.155355,25,2,4,0,0,1,2,5,14,0,2,1,0,4,7,6
1727,16,29,1,0.241667,18,0,5,17,32,19,10,12,5,4,0,3.625,5.39015,0.178571,0.001019,1.268271,1107.873497,16,1,3,0,0,1,0,0,13,0,2,0,0,2,7,5
1745,15,26,1,0.247619,18,0,6,16,26,16,8,11,6,4,2,3.466667,5.042947,0.155311,0.001623,1.181941,524.128596,15,1,3,0,0,1,1,2,10,2,0,0,0,2,4,6
1765,17,32,1,0.235294,25,0,7,20,30,20,9,13,5,2,1,3.764706,4.780812,0.138235,0.001447,1.098295,609.486831,17,0,2,0,0,2,3,4,14,1,1,0,0,1,4,5
1780,4,5,1,0.833333,4,0,1,4,3,1,2,0,0,1,0,2.5,5.30815,0.166667,0.005076,2.12326,636.8457,4,1,0,0,0,0,0,1,2,0,0,0,0,0,1,0
1783,21,46,1,0.219048,36,0,13,29,29,19,7,6,0,6,2,4.380952,9.780638,0.13183,0.002104,2.232537,415.906878,21,2,4,0,0,5,2,8,15,2,1,0,0,2,5,0
1798,17,35,1,0.257353,28,0,8,25,30,22,6,8,1,5,0,4.117647,7.570224,0.130392,0.00201,1.787414,503.133011,17,0,5,0,0,1,2,5,15,0,1,0,0,2,4,1
1805,18,37,1,0.24183,30,0,10,27,30,23,5,4,1,7,0,4.111111,8.556178,0.145833,0.001761,2.026463,432.398322,18,0,7,0,0,1,2,7,13,0,1,0,0,2,4,1
1809,17,33,1,0.242647,28,0,12,24,29,23,5,6,2,8,1,3.882353,7.963965,0.136765,0.001759,1.934106,361.877067,17,0,8,0,0,1,3,4,12,1,0,0,0,2,2,2
1821,17,34,1,0.25,27,0,8,23,30,24,5,4,1,4,0,4.0,7.384471,0.133333,0.001902,1.793371,493.111765,17,1,3,0,0,1,3,3,16,0,0,0,0,2,5,1
1838,19,42,1,0.245614,28,0,11,22,31,24,5,0,0,5,4,4.421053,8.739442,0.130719,0.00234,1.976779,388.532374,19,1,4,0,0,0,6,6,11,4,0,0,0,2,8,0
1848,15,31,1,0.295238,21,0,9,15,23,18,2,1,0,3,1,4.133333,8.82624,0.158974,0.002337,2.135381,424.779529,15,2,1,0,0,2,4,3,9,1,1,0,0,3,5,0
1855,25,56,1,0.186667,35,0,20,27,37,22,6,7,0,12,5,4.48,9.120984,0.118551,0.002029,2.035934,421.732989,25,7,5,0,0,3,5,4,11,5,3,0,0,5,8,0
1876,27,62,1,0.176638,31,0,18,24,45,29,7,7,0,11,5,4.592593,9.870504,0.108832,0.001638,2.149223,529.9195,27,7,4,0,0,2,5,3,10,5,5,0,3,5,13,0
1897,29,58,2,0.142857,31,10,0,23,46,28,10,9,4,2,4,4.0,5.844331,0.099343,0.0013,1.366819,516.556388,28,2,0,2,6,0,0,8,13,4,3,1,2,6,11,4
1914,27,59,1,0.168091,33,14,0,24,38,22,9,8,1,5,4,4.37037,9.785289,0.121254,0.001813,2.20169,517.60429,27,5,0,4,5,0,0,9,10,4,4,0,1,3,14,1
1918,26,57,1,0.175385,36,16,0,27,43,24,14,3,1,7,2,4.384615,10.627962,0.145,0.002224,2.382129,452.765914,26,3,4,5,4,0,0,5,15,2,3,4,0,4,8,1
1923,27,59,1,0.168091,37,19,0,28,41,27,12,2,1,10,3,4.37037,14.024563,0.175043,0.002559,3.155527,450.83539,27,5,5,5,4,0,0,6,12,3,3,3,0,2,11,1
1926,265,711,1,0.020326,321,186,0,191,327,197,70,8,4,56,177,5.366038,33.273976,0.056742,0.11645,6.166156,111.112698,265,47,9,97,33,0,0,67,68,177,64,28,0,59,62,4
1930,191,519,1,0.028603,251,128,0,163,275,159,69,7,4,40,95,5.434555,28.194008,0.061034,0.149717,5.148237,128.3192,191,31,9,66,22,0,0,56,67,95,43,25,0,48,57,4
1939,201,546,1,0.027164,246,166,0,114,130,79,43,2,1,34,206,5.432836,38.222664,0.059106,0.141774,7.022628,116.21309,201,32,2,117,15,0,0,62,18,206,47,37,1,7,2,1
1947,219,584,3,0.024465,257,171,0,122,148,97,44,1,0,36,220,5.333333,36.332952,0.053581,0.133087,6.812428,118.863064,217,34,2,116,19,0,0,66,20,220,59,37,1,6,4,0
1959,218,589,1,0.024902,290,208,0,122,144,87,48,3,1,40,203,5.40367,43.360308,0.057626,0.133782,8.010633,110.788675,218,38,2,144,24,0,0,61,21,203,45,39,1,8,3,1
1964,126,323,1,0.041016,159,122,0,61,94,60,31,1,1,24,102,5.126984,32.673308,0.063761,0.002175,6.353143,165.534565,126,22,2,86,12,0,0,20,17,102,34,23,0,3,2,1
1970,192,509,1,0.02776,277,223,0,103,130,84,39,4,2,49,147,5.302083,47.092699,0.054557,0.150968,8.847161,117.257361,192,45,4,153,21,0,0,36,18,147,45,32,1,6,1,2
1979,203,538,1,0.02624,314,263,0,117,149,100,42,4,0,66,136,5.300493,51.839531,0.058963,0.148376,9.780135,108.755743,203,55,11,165,32,0,0,33,18,136,45,32,1,6,4,0
1989,221,579,1,0.023817,341,289,0,124,159,101,50,4,0,72,144,5.239819,55.958371,0.050988,0.144964,10.679447,99.000703,221,61,11,179,38,0,0,36,16,144,44,39,1,7,3,0
2021,280,693,1,0.017742,416,356,0,145,184,120,57,3,0,85,170,4.95,56.320896,0.049956,0.128715,11.377959,91.392303,280,70,15,229,42,0,0,40,20,170,52,44,0,7,4,0
