year,nodes,edges,components,density,blocked_edges,corridor_edges,barrier_edges,rail_corridor_edges,old_road_corridor_edges,navigable_river_corridor_edges,rail_local_km,old_road_local_km,navigable_river_local_km,relief_barrier_km,main_watershed_barrier_km,wetland_impedance_edges,relief_impedance_edges,watershed_impedance_edges,avg_edge_strength,avg_edge_impedance,avg_degree,avg_weighted_degree,largest_component
1700,17,31,1,0.227941,4,18,32,0,5,17,0.0,375.0,1177.145,80.0,88.0,20,10,11,1.152751,1046.139306,3.647059,4.746624,17
1719,25,41,1,0.136667,7,28,40,0,9,25,0.0,675.0,1748.547,120.0,128.0,19,15,16,2.570925,784.545554,3.28,9.872352,25
1724,25,41,1,0.136667,7,28,40,0,9,25,0.0,675.0,1748.547,120.0,128.0,19,15,16,2.570925,784.545554,3.28,9.872352,25
1727,16,28,1,0.233333,6,18,32,0,5,17,0.0,375.0,1196.181,80.0,96.0,19,10,12,1.234765,1063.006221,3.5,5.24775,16
1745,15,26,1,0.247619,6,18,26,0,6,16,0.0,450.0,996.792,64.0,88.0,16,8,11,1.119728,576.033815,3.466667,4.777507,15
1765,17,32,1,0.235294,5,25,30,0,7,20,0.0,469.668,1171.513,72.0,104.0,20,9,13,1.039362,632.687797,3.764706,4.524282,17
1780,4,5,1,0.833333,0,4,3,0,1,4,0.0,75.0,300.0,16.0,0.0,1,2,0,2.12326,636.8457,2.5,5.30815,4
1783,21,46,1,0.219048,0,36,29,0,13,29,0.0,812.885,1973.395,56.0,48.0,19,7,6,2.202657,433.401017,4.380952,9.649733,21
1798,17,35,1,0.257353,1,28,30,0,8,25,0.0,469.583,1681.701,48.0,64.0,22,6,8,1.644536,529.967131,4.117647,6.965094,17
1805,18,37,1,0.24183,1,30,30,0,10,27,0.0,565.973,1805.771,40.0,32.0,23,5,4,1.893787,449.924,4.111111,7.995989,18
1809,17,33,1,0.242647,2,28,29,0,12,24,0.0,656.901,1696.134,40.0,48.0,23,5,6,1.798729,393.221091,3.882353,7.406529,17
1821,17,34,1,0.25,1,27,30,0,8,23,0.0,428.252,1547.712,40.0,32.0,24,5,4,1.694143,551.214397,4.0,6.975882,17
1838,19,42,1,0.245614,0,28,31,0,11,22,0.0,614.921,1453.862,40.0,0.0,24,5,0,1.85339,429.461074,4.421053,8.193937,19
1848,15,31,1,0.295238,0,21,23,0,9,15,0.0,523.689,1040.318,16.0,8.0,18,2,1,2.119497,482.677761,4.133333,8.760587,15
1855,25,55,1,0.183333,1,35,37,0,20,27,0.0,1199.883,1553.033,48.0,56.0,22,6,7,1.999502,434.610736,4.4,8.957768,25
1876,27,62,1,0.176638,0,31,45,0,18,24,0.0,1115.722,1621.292,56.0,56.0,29,7,7,2.020705,579.666427,4.592593,9.280274,27
1897,29,58,2,0.142857,4,31,46,10,0,23,427.285,0.0,1544.462,80.0,72.0,28,10,9,1.33709,536.601084,4.0,5.717214,28
1914,27,58,1,0.165242,2,33,38,14,0,24,680.353,0.0,1556.127,72.0,64.0,22,9,8,2.154618,562.28315,4.296296,9.576081,27
1918,26,57,1,0.175385,1,36,43,16,0,27,824.043,0.0,1811.765,112.0,24.0,24,14,3,2.341484,469.145918,4.384615,10.446623,26
1923,27,59,1,0.168091,1,37,41,19,0,28,953.681,0.0,1799.564,96.0,16.0,27,12,2,3.069668,465.318227,4.37037,13.64297,27
1926,265,711,1,0.020326,4,318,327,182,0,190,7342.64,0.0,11572.683,555.536,64.0,197,70,8,6.108175,114.560467,5.366038,32.961094,265
1930,191,519,1,0.028603,4,249,275,127,0,162,5227.051,0.0,10022.358,546.266,56.0,159,69,7,5.085136,132.207161,5.434555,27.848439,191
1939,201,546,1,0.027164,1,242,130,166,0,109,8004.073,0.0,5137.355,326.045,16.0,79,43,2,7.022212,116.220172,5.432836,38.220397,201
1947,219,584,3,0.024465,0,253,148,170,0,117,8391.216,0.0,5422.519,341.046,8.0,97,44,1,6.811916,118.870072,5.333333,36.330219,217
1959,218,589,1,0.024902,1,290,144,208,0,122,10051.098,0.0,5440.681,368.851,24.0,87,48,3,8.010388,110.79372,5.40367,43.358979,218
1964,126,323,1,0.041016,1,158,94,122,0,60,6306.519,0.0,2804.509,241.764,8.0,60,31,1,6.351499,165.803373,5.126984,32.664854,126
1970,192,509,1,0.02776,2,275,130,222,0,101,10724.867,0.0,4596.354,309.89,32.0,84,39,4,8.846856,117.264498,5.302083,47.091078,192
1979,203,538,1,0.02624,0,313,149,262,0,115,12758.458,0.0,5216.275,327.314,32.0,100,42,4,9.779673,108.76151,5.300493,51.837087,203
1989,221,579,1,0.023817,0,341,159,289,0,122,14220.815,0.0,5510.905,382.807,32.0,101,50,4,10.679057,99.005375,5.239819,55.956328,221
2021,280,693,1,0.017742,0,414,184,356,0,143,17198.947,0.0,6587.034,442.609,24.0,120,57,3,11.37754,91.396291,4.95,56.318821,280
