year,nodes,edges,components,density,blocked_edges,corridor_edges,barrier_edges,rail_corridor_edges,old_road_corridor_edges,navigable_river_corridor_edges,rail_local_km,old_road_local_km,navigable_river_local_km,relief_barrier_km,main_watershed_barrier_km,wetland_impedance_edges,relief_impedance_edges,watershed_impedance_edges,mixed_corridor_edges,normal_contact_edges,avg_edge_strength,avg_edge_impedance,avg_degree,avg_weighted_degree,avg_betweenness,avg_closeness,largest_component
1700,17,31,1,0.227941,4,18,32,0,5,17,0,375.0,1177.146,4299.404,124.0,20,10,11,4,1,1.183766,946.404216,3.6471,4.874329,0.17598,0.000771,17
1719,25,42,1,0.14,6,28,40,0,9,25,0,675.0,1748.549,6028.522,184.0,19,15,16,6,0,2.594658,822.155355,3.36,9.963488,0.207391,0.000972,25
1724,25,42,1,0.14,6,28,40,0,9,25,0,675.0,1748.549,6028.522,184.0,19,15,16,6,0,2.594658,822.155355,3.36,9.963488,0.207391,0.000972,25
1727,16,29,1,0.241667,5,18,32,0,5,17,0,375.0,1196.182,5195.021,140.0,19,10,12,4,0,1.268271,1107.873497,3.625,5.39015,0.178571,0.001019,16
1745,15,26,1,0.247619,6,18,26,0,6,16,0,450.0,996.794,4043.409,124.0,16,8,11,4,2,1.181941,524.128596,3.4667,5.042947,0.155311,0.001623,15
1765,17,32,1,0.235294,5,25,30,0,7,20,0,469.668,1171.513,4398.747,143.855,20,9,13,2,1,1.098295,609.486831,3.7647,4.780812,0.138235,0.001447,17
1780,4,5,1,0.833333,0,4,3,0,1,4,0,75.0,300.0,418.463,0,1,2,0,1,0,2.12326,636.8457,2.5,5.30815,0.166667,0.005076,4
1783,21,46,1,0.219048,0,36,29,0,13,29,0,812.885,1973.395,3529.824,72.0,19,7,6,6,2,2.232537,415.906878,4.381,9.780638,0.13183,0.002104,21
1798,17,35,1,0.257353,1,28,30,0,8,25,0,469.583,1681.536,2788.129,88.0,22,6,8,5,0,1.787414,503.133011,4.1176,7.570224,0.130392,0.00201,17
1805,18,37,1,0.24183,1,30,30,0,10,27,0,565.974,1809.473,3056.033,47.997,23,5,4,7,0,2.026463,432.398322,4.1111,8.556178,0.145833,0.001761,18
1809,17,33,1,0.242647,2,28,29,0,12,24,0,656.902,1694.32,3371.91,68.0,23,5,6,8,1,1.934106,361.877067,3.8824,7.963965,0.136765,0.001759,17
1821,17,34,1,0.25,1,27,30,0,8,23,0,428.253,1547.712,3533.465,48.0,24,5,4,4,0,1.793371,493.111765,4.0,7.384471,0.133333,0.001902,17
1838,19,42,1,0.245614,0,28,31,0,11,22,0,614.921,1454.649,1174.083,0,24,5,0,5,4,1.982102,388.286536,4.4211,8.762979,0.130719,0.002342,19
