features,output,total_km,year,disputed_km,intermediate_km,lower_km,upper_km
1,data/admin_boundary_levels/admin_boundary_levels_1700.geojson,12294.745,1700,,,12294.745,
2,data/admin_boundary_levels/admin_boundary_levels_1719.geojson,15167.939,1719,,3764.739,11403.2,
2,data/admin_boundary_levels/admin_boundary_levels_1724.geojson,15167.94,1724,,5542.391,9625.549,
2,data/admin_boundary_levels/admin_boundary_levels_1727.geojson,12649.663,1727,,4740.509,7909.154,
2,data/admin_boundary_levels/admin_boundary_levels_1745.geojson,11870.963,1745,,2720.028,9150.935,
2,data/admin_boundary_levels/admin_boundary_levels_1765.geojson,12169.287,1765,,3053.903,9115.384,
1,data/admin_boundary_levels/admin_boundary_levels_1780.geojson,1718.791,1780,,,1718.791,
3,data/admin_boundary_levels/admin_boundary_levels_1783.geojson,13645.55,1783,,1634.308,11165.303,845.939
2,data/admin_boundary_levels/admin_boundary_levels_1798.geojson,11358.67,1798,,3243.385,8115.285,
2,data/admin_boundary_levels/admin_boundary_levels_1805.geojson,11983.913,1805,,,10605.781,1378.132
2,data/admin_boundary_levels/admin_boundary_levels_1809.geojson,11452.692,1809,,,9885.585,1567.107
2,data/admin_boundary_levels/admin_boundary_levels_1821.geojson,11275.557,1821,,,9878.251,1397.306
2,data/admin_boundary_levels/admin_boundary_levels_1838.geojson,8059.996,1838,,,5942.855,2117.141
2,data/admin_boundary_levels/admin_boundary_levels_1848.geojson,8203.838,1848,,,7161.865,1041.973
3,data/admin_boundary_levels/admin_boundary_levels_1855.geojson,17006.228,1855,917.248,,11498.945,4590.035
2,data/admin_boundary_levels/admin_boundary_levels_1876.geojson,17243.11,1876,,,12674.568,4568.542
2,data/admin_boundary_levels/admin_boundary_levels_1897.geojson,18162.423,1897,,,12819.968,5342.455
2,data/admin_boundary_levels/admin_boundary_levels_1914.geojson,19064.915,1914,,,14028.632,5036.283
2,data/admin_boundary_levels/admin_boundary_levels_1918.geojson,13533.264,1918,,2607.661,10925.603,
2,data/admin_boundary_levels/admin_boundary_levels_1923.geojson,14345.539,1923,,5884.482,8461.057,
3,data/admin_boundary_levels/admin_boundary_levels_1926.geojson,40718.628,1926,,7951.551,31048.229,1718.848
3,data/admin_boundary_levels/admin_boundary_levels_1930.geojson,37605.797,1930,,7466.251,28334.664,1804.882
2,data/admin_boundary_levels/admin_boundary_levels_1939.geojson,40868.386,1939,,,37872.957,2995.429
3,data/admin_boundary_levels/admin_boundary_levels_1947.geojson,44151.314,1947,,2816.347,35903.68,5431.287
3,data/admin_boundary_levels/admin_boundary_levels_1959.geojson,46115.054,1959,,3116.86,37430.386,5567.808
3,data/admin_boundary_levels/admin_boundary_levels_1964.geojson,36107.384,1964,,2836.545,28807.362,4463.477
3,data/admin_boundary_levels/admin_boundary_levels_1970.geojson,44053.18,1970,,3124.596,35348.212,5580.372
3,data/admin_boundary_levels/admin_boundary_levels_1979.geojson,45492.813,1979,,3110.565,36791.676,5590.572
3,data/admin_boundary_levels/admin_boundary_levels_1989.geojson,46547.273,1989,,3110.565,37993.236,5443.472
3,data/admin_boundary_levels/admin_boundary_levels_2021.geojson,53313.765,2021,,2626.585,44234.506,6452.674
