year,features,total_km,lower_km,intermediate_km,upper_km,disputed_km,lower_groups,intermediate_groups,upper_groups,disputed_groups,source_v143,output
1700,4,64313.82,38359.776,12502.655,12502.655,948.734,20,2,2,1,True,data/admin_boundary_levels/admin_boundary_levels_1700.geojson
1719,4,111054.582,57376.737,29187.201,15922.877,8567.767,34,8,1,6,True,data/admin_boundary_levels/admin_boundary_levels_1719.geojson
1724,4,115385.14,57376.737,33517.759,15922.877,8567.767,34,8,1,6,True,data/admin_boundary_levels/admin_boundary_levels_1724.geojson
1727,4,104589.289,50724.723,30707.932,14588.867,8567.767,24,6,1,6,True,data/admin_boundary_levels/admin_boundary_levels_1727.geojson
1745,4,89459.587,42943.371,22641.099,17156.172,6718.945,18,5,4,3,True,data/admin_boundary_levels/admin_boundary_levels_1745.geojson
1765,4,76372.333,39844.244,20433.478,13817.796,2276.815,19,5,3,2,True,data/admin_boundary_levels/admin_boundary_levels_1765.geojson
1780,4,70866.602,26046.902,11294.089,16241.545,17284.066,12,1,2,7,True,data/admin_boundary_levels/admin_boundary_levels_1780.geojson
1783,4,73014.265,40861.778,17157.981,13859.323,1135.183,25,4,3,3,True,data/admin_boundary_levels/admin_boundary_levels_1783.geojson
1798,4,72148.842,38219.026,20505.027,10542.802,2881.987,22,4,1,4,True,data/admin_boundary_levels/admin_boundary_levels_1798.geojson
1805,4,80216.184,40494.331,17468.063,17468.063,4785.727,25,4,4,7,True,data/admin_boundary_levels/admin_boundary_levels_1805.geojson
1809,4,65583.226,35697.764,14463.808,14463.808,957.846,19,3,3,2,True,data/admin_boundary_levels/admin_boundary_levels_1809.geojson
1821,4,84412.541,40827.966,18809.69,18809.69,5965.195,26,4,4,9,True,data/admin_boundary_levels/admin_boundary_levels_1821.geojson
1838,4,80076.143,36198.713,18794.753,16046.624,9036.053,27,5,3,8,True,data/admin_boundary_levels/admin_boundary_levels_1838.geojson
1848,4,78041.53,34592.079,18398.272,17179.85,7871.329,18,4,3,3,True,data/admin_boundary_levels/admin_boundary_levels_1848.geojson
1855,4,89154.259,44837.667,21549.085,21549.085,1218.422,26,5,5,1,True,data/admin_boundary_levels/admin_boundary_levels_1855.geojson
1876,3,87151.242,46158.55,20496.346,20496.346,,27,4,4,,True,data/admin_boundary_levels/admin_boundary_levels_1876.geojson
1897,3,62363.087,30133.399,16114.844,16114.844,,30,7,7,,True,data/admin_boundary_levels/admin_boundary_levels_1897.geojson
1914,3,88195.859,48103.453,20046.203,20046.203,,28,5,5,,True,data/admin_boundary_levels/admin_boundary_levels_1914.geojson
1918,4,62809.544,39119.24,14411.405,8929.145,349.754,33,3,1,1,True,data/admin_boundary_levels/admin_boundary_levels_1918.geojson
1923,4,70227.051,38920.247,21687.162,8602.905,1016.737,30,7,1,3,True,data/admin_boundary_levels/admin_boundary_levels_1923.geojson
1926,3,135452.337,92292.586,29578.479,13581.272,,278,19,3,,True,data/admin_boundary_levels/admin_boundary_levels_1926.geojson
1930,3,127225.132,85539.205,28310.726,13375.201,,206,15,2,,True,data/admin_boundary_levels/admin_boundary_levels_1930.geojson
1939,3,125975.147,93742.935,16116.106,16116.106,,241,3,3,,True,data/admin_boundary_levels/admin_boundary_levels_1939.geojson
1947,3,147440.084,99298.895,26887.652,21253.537,,252,11,8,,True,data/admin_boundary_levels/admin_boundary_levels_1947.geojson
1959,3,152439.863,103239.866,27717.143,21482.854,,250,9,6,,True,data/admin_boundary_levels/admin_boundary_levels_1959.geojson
1964,3,135986.518,85290.998,28403.598,22291.922,,158,9,6,,True,data/admin_boundary_levels/admin_boundary_levels_1964.geojson
1970,3,148228.39,98742.398,27876.713,21609.279,,235,9,6,,True,data/admin_boundary_levels/admin_boundary_levels_1970.geojson
1979,3,150958.687,101587.085,27796.523,21575.079,,247,9,6,,True,data/admin_boundary_levels/admin_boundary_levels_1979.geojson
1989,3,156016.299,105798.66,28219.541,21998.098,,221,9,6,,True,data/admin_boundary_levels/admin_boundary_levels_1989.geojson
2021,3,175071.539,120580.71,29893.298,24597.531,,288,10,8,,True,data/admin_boundary_levels/admin_boundary_levels_2021.geojson
